ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Category	Label
SRSF2	2.47314542158649	21.3290432598868	6.66584881032416	4.93759291531059e-06	0.000178596348619649	4.33300981223994	Up-regulated	SRSF2
SRSF6	2.32215723235683	19.7949658657822	6.07077060008327	1.49722528888162e-05	0.000338447071059162	3.23755807285248	Up-regulated	SRSF6
FLVCR1	1.8567708748528	17.5568051902796	10.3634722891917	1.39198541679439e-08	1.30306991527684e-05	10.0225944585381	Up-regulated	FLVCR1
SRSF3	1.82141846012947	22.7875329597443	5.79707880392573	2.53434037262104e-05	0.000474819292559267	2.71693162788017	Up-regulated	SRSF3
UBE2S	1.67088363109954	19.9461584035299	5.60818056377302	3.66554123320726e-05	0.000588736207456285	2.35169980153187	Up-regulated	UBE2S
NOLC1	1.60282805894652	19.4779409787426	3.5684384750335	0.00250201200727168	0.0110981569495032	-1.80756363419602	Up-regulated	NOLC1
ERVK3-1	1.4299049609418	20.4695477623811	7.05290895206457	2.46282049919393e-06	0.000129310550456874	5.01792998564952	Up-regulated	ERVK3-1
SLC5A6	1.39690411864709	19.6055780462343	8.5842130182299	1.90900333595154e-07	4.44866498646542e-05	7.5154523365994	Up-regulated	SLC5A6
NDFIP1	1.39169600484433	20.1961035345385	6.21959652525765	1.12935835293858e-05	0.000292897608484427	3.51628107369014	Up-regulated	NDFIP1
TMX2	1.37137836799276	20.5112007073492	6.53700898542431	6.25231100746068e-06	0.000205883149237232	4.10016674427729	Up-regulated	TMX2
ERAL1	1.37096515812283	19.499724691482	7.62533512179513	9.13653783371741e-07	8.08827825536877e-05	5.990750060688	Up-regulated	ERAL1
KRT1	1.35937899276767	20.4300696606896	1.21866011455887	0.240321092987144	0.352482407129649	-5.95890458100141	Not significant	NA
SRSF11	1.34940850566744	21.981266002762	3.40800168864892	0.00352056556013266	0.0144226484134716	-2.13890468077899	Up-regulated	SRSF11
AK6	1.3320688688347	20.6448357464997	3.03153452274169	0.00781165839353163	0.0259205915558458	-2.9058488674857	Up-regulated	AK6
TYMS	1.32696354209232	20.4925642382294	3.79093555160534	0.00155770976174395	0.00782195341986323	-1.34572817527365	Up-regulated	TYMS
NDUFA4	1.28804263310604	21.5320452889988	4.96988746569812	0.000131847077329221	0.00134986724504128	1.08490313492334	Not significant	NA
ECD	1.2878157148566	17.5835977089767	7.18124179479879	1.96438391683939e-06	0.000124317906250702	5.24018011684579	Not significant	NA
SQSTM1	1.26216279281146	20.8598850429218	5.73241790520718	2.87408192827097e-05	0.000511471619955101	2.5924425077325	Not significant	NA
JMJD6	1.24777216328534	19.606424697452	6.35840078670099	8.70565739441609e-06	0.00025310198225669	3.77339747114599	Not significant	NA
IMUP	1.2475848371438	20.9940828908771	3.31898120655187	0.00425378755210095	0.016571892135987	-2.32181949411597	Not significant	NA
DNMT1	1.21855069114473	17.7501811924366	9.15053403834568	7.98340420436168e-08	4.19009438646569e-05	8.35691507082575	Not significant	NA
KRT9	1.21262240240829	19.5647127211567	1.05819763858394	0.305399143095707	0.421466808275568	-6.13557962164832	Not significant	NA
SUB1	1.20543854045199	20.4969946868003	5.74733131744682	2.79175369638005e-05	0.000504898869723368	2.62120428826085	Not significant	NA
KIF4A	1.19923384507121	18.2115597072953	5.8680595308314	2.20885462260985e-05	0.000432916044757323	2.85294006889724	Not significant	NA
CDC20	1.19297469865657	18.8440712069848	4.29837176728891	0.000531556109497554	0.00356277443107817	-0.291126722015769	Not significant	NA
KPNA2	1.18825343203765	20.9387160428037	5.33790319720754	6.26493754141854e-05	0.000823033490027323	1.82115567287425	Not significant	NA
NAA40	1.18446402952838	16.6597874404787	6.03424461786992	1.60524040719181e-05	0.000347608653321102	3.16867562096189	Not significant	NA
GTPBP10	1.17745691473201	16.6945537907874	4.96431837475498	0.00013335597976028	0.00135766762918417	1.07364945033718	Not significant	NA
TIMM17A	1.16139837688446	21.3622428170261	5.42599393978626	5.25544776560777e-05	0.000737586344138453	1.99507176995238	Not significant	NA
PRKAR1B	1.13008608848922	19.1285643264316	2.46141861582423	0.0253475010652255	0.063856756647332	-4.01523239405649	Not significant	NA
POLA2	1.12939780691204	18.2985085113078	3.68468959842544	0.00195318251881293	0.00921496185174839	-1.56649831123935	Not significant	NA
UBTF	1.12887499811501	19.7304803222976	6.53343670429732	6.29357345386908e-06	0.000205883149237232	4.09367641178554	Not significant	NA
LUC7L3	1.11949310943526	19.6203349698792	2.11470011420662	0.0501995180113243	0.106962478751141	-4.63949810351315	Not significant	NA
MYO3B	1.10952391471523	19.1861058340605	3.70507456825658	0.00187019142399239	0.00888940346724588	-1.52416683157182	Not significant	NA
KIF22	1.10885467560783	17.7497506592623	3.71397802145004	0.001835061400929	0.00881423875758812	-1.50567336102897	Not significant	NA
MT2A	1.08756793728208	20.2394347960771	1.89251202080388	0.0763244622173984	0.147445737040906	-5.01146635309328	Not significant	NA
MRFAP1	1.08566249990949	18.9957143978485	5.33196377062028	6.33981577788624e-05	0.000826025311857197	1.80939582576287	Not significant	NA
PCNA	1.07803203049241	21.7588077596805	5.92413485153162	1.98249056765233e-05	0.000405645299393352	2.95990298500469	Not significant	NA
MFGE8	1.04942462065561	20.6753457266229	3.994281330314	0.00101101711085123	0.0057081410230674	-0.922704514922876	Not significant	NA
ABT1	1.04433554320895	20.8963193404742	7.03801783366507	2.52866214649316e-06	0.000129310550456874	4.9919851278323	Not significant	NA
DDX21	1.03782631981814	20.6394718400625	7.6669957935829	8.51484477532889e-07	7.97842264387059e-05	6.05969633720314	Not significant	NA
SPAG5	1.03132531337736	18.3803856722599	4.42582938036006	0.000406720383367734	0.00297126270213965	-0.0274854394558846	Not significant	NA
