ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Category	Label
SRSF2	3.9627408053109	21.3290432598868	10.6807431751263	9.03907285091861e-09	1.34049450379123e-05	10.1007809513758	Up-regulated	SRSF2
SRSF3	3.8160790338957	22.7875329597443	12.1455400643791	1.38907754794885e-09	5.60681650713744e-06	11.6869936315976	Up-regulated	SRSF3
SRSF6	3.80312598252177	19.7949658657822	9.94243847117677	2.50752264022791e-08	2.78899205659349e-05	9.20946231122696	Up-regulated	SRSF6
HMGB1	2.88740192474478	21.9947824975826	4.6479654828903	0.000255896581945181	0.0183626434366792	0.590419500699632	Up-regulated	HMGB1
NOLC1	2.74150969865743	19.4779409787426	6.10352971659144	1.40676235542928e-05	0.00391167857456554	3.36947799124799	Up-regulated	NOLC1
SRSF1	2.52929787659473	21.9050347286535	4.56423796576689	0.000304573425230645	0.0208468795207867	0.423096781059469	Up-regulated	SRSF1
HMGA2	2.47889040542844	21.8291943541654	5.0895439338827	0.000103335806238663	0.0109462143322812	1.46153255031981	Up-regulated	HMGA2
SUB1	2.44624730871132	20.4969946868003	11.6633020231001	2.52048393218136e-09	5.60681650713744e-06	11.1898823353445	Up-regulated	SUB1
TRA2A	2.22718786938669	20.261412332828	8.42497366167738	2.45620718465213e-07	0.000156109510921676	7.15747111818601	Up-regulated	TRA2A
NCL	2.15232735434492	21.7583323347048	3.30160185984696	0.00441366768939879	0.0788332829823115	-2.13265534215606	Not significant	NA
ANP32A	2.13122953451943	21.9511583460111	2.57327304596152	0.0202076278189081	0.167107316294279	-3.55364197520605	Not significant	NA
IMUP	2.12598254176822	20.9940828908771	5.65580463268551	3.33841532168216e-05	0.00645765642007127	2.54459547976997	Up-regulated	IMUP
BCLAF1	2.05844019539501	19.4443095915766	5.84241867773851	2.32112590749225e-05	0.00551518529504947	2.89195763966538	Up-regulated	BCLAF1
HMGB3	2.04951534523462	21.6071312890351	3.70018100562865	0.00188978598611315	0.0512662064159597	-1.3263894558736	Not significant	NA
THRAP3	2.00002978603621	19.3623904952646	4.32094412085922	0.00050690087932524	0.0271711085797348	-0.0661904291035489	Up-regulated	THRAP3
LUC7L3	1.97541325224558	19.6203349698792	3.73151616112789	0.00176778487377076	0.0504477944114959	-1.26269634620282	Not significant	NA
PDAP1	1.96891802027682	21.69133816943	2.95218423454072	0.00922747948591872	0.111460197440171	-2.82673625030459	Not significant	NA
ANP32E	1.96809655501884	21.5710085700909	3.13820676128032	0.00623860031354827	0.0937954585559415	-2.45932650757387	Not significant	NA
IWS1	1.8516778165959	18.9801164493871	4.8709424231426	0.000161469898848428	0.013814991922628	1.03285024951244	Up-regulated	IWS1
LUC7L2	1.83417492853923	21.0545623354943	3.91145230606071	0.00120546771123254	0.0412548142097965	-0.896745138563104	Up-regulated	LUC7L2
KRT9	1.82192829426144	19.5647127211567	1.58990978133651	0.131064901122573	0.436168492568056	-5.19826342369587	Not significant	NA
RNPS1	1.80375510222484	20.9838257201311	4.81029619816083	0.000182921740934713	0.0150707189892322	0.913002512274202	Up-regulated	RNPS1
