ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Category	Label
NDFIP1	1.93611134473922	20.1961035345385	8.65263056754907	1.71470101561124e-07	0.000381435240922721	7.47542649969457	Up-regulated	NDFIP1
FLVCR1	1.74506747726231	17.5568051902796	9.74000545156728	3.34959494230441e-08	0.000149023478983123	8.93844190386654	Up-regulated	FLVCR1
MFGE8	1.36437690743746	20.6753457266229	5.19304112141411	8.38100280288186e-05	0.0041430090522246	1.6655159618112	Up-regulated	MFGE8
TTYH3	1.3598455977652	18.9882754645124	6.99919638558187	2.70909090405517e-06	0.00167472493624665	4.92556892193565	Up-regulated	TTYH3
TMX2	1.35906144512481	20.5112007073492	6.47829737283089	6.96767916980287e-06	0.00210037494583845	4.03563463070291	Up-regulated	TMX2
ERAL1	1.35575479288042	19.499724691482	7.54073477173436	1.05495981265137e-06	0.000938703241297193	5.80618071331493	Up-regulated	ERAL1
NDUFA4	1.27300440403902	21.5320452889988	4.91186275112307	0.000148468216568123	0.00550445912926314	1.11728634648999	Not significant	NA
CLU	1.21151516554693	20.0683882971247	4.56214819773011	0.00030590257534222	0.00810095570058057	0.423681044931072	Not significant	NA
AK6	1.20714569982751	20.6448357464997	2.74723323142266	0.0141384985801326	0.0700194949205582	-3.21533366415747	Not significant	NA
COL1A1	1.13848024253132	20.5460890334618	4.19655052242828	0.00065883641081969	0.0106223241205662	-0.312076699845734	Not significant	NA
SLC5A6	1.09792762286527	19.6055780462343	6.74695168226886	4.26072020156498e-06	0.00196398321814245	4.49987722976753	Not significant	NA
SPPL2A	1.09465856263885	20.6339869222613	4.09118549347741	0.000823269312145771	0.0120089349827427	-0.525496029200428	Not significant	NA
UBE2S	1.07888594011284	19.9461584035299	3.62119003816393	0.00223608434920443	0.0215256601463688	-1.47974854713806	Not significant	NA
GTPBP10	1.06739187565044	16.6945537907874	4.50026921160146	0.000348061051491395	0.00837039793559577	0.299803787458494	Not significant	NA
HBA1	1.05172457230183	23.2786906828455	2.16247486667811	0.0457785789499883	0.146208828247307	-4.28396702920376	Not significant	NA
TIMM17A	1.03751420177011	21.3622428170261	4.84721339661977	0.00016953847925658	0.00603421355370021	0.989976775895012	Not significant	NA
FDFT1	1.02357118034229	20.2815565567837	5.67309250553001	3.22726551612302e-05	0.00282976197233876	2.57843079797467	Not significant	NA
BBS10	1.01190440201901	18.6158737617261	2.88861889602934	0.0105393519485991	0.0590142930901832	-2.94236616570569	Not significant	NA
MT2A	0.990951722973776	20.2394347960771	1.72438703227215	0.103550874204796	0.242511277958121	-4.99190792940907	Not significant	NA
DOHH	0.987971922020957	19.6690786447821	6.97364241970721	2.83514400577936e-06	0.00167472493624665	4.88289366638541	Not significant	NA
EID2	0.984005550367293	19.826640121076	5.61821374288565	3.593971300018e-05	0.0030409680337329	2.47565170680637	Not significant	NA
ECD	0.982068076968872	17.5835977089767	5.47630242301543	4.75575445396033e-05	0.003255131010103	2.20793356755698	Not significant	NA
GTSE1	0.97318762003405	16.0781176017237	2.97054128635459	0.0088791926655722	0.0521154725186421	-2.78233186749969	Not significant	NA
CKS2	0.969327794883682	19.8976574872454	3.89709848904338	0.0012428129830536	0.0151220835899216	-0.919482697600332	Not significant	NA
PRKAR1B	0.967394443923958	19.1285643264316	2.10706309667316	0.0509414779728437	0.155979790434399	-4.37869721269619	Not significant	NA
RBM3	0.965776638980714	22.0272386539372	5.03171905343861	0.000116225566241923	0.00474392242394786	1.35210020441754	Not significant	NA
SCAMP4	0.964467056664581	21.1194199713418	2.22916002732221	0.0402056894022564	0.134593763845477	-4.16822385819541	Not significant	NA
NAA40	0.948572464452131	16.6597874404787	4.83249650946257	0.000174749146363959	0.00617030914423216	0.960934287517943	Not significant	NA
DHCR24	0.942169044343512	19.4739732172856	5.03246290046329	0.000116049672479621	0.00474392242394786	1.35355241756071	Not significant	NA
ERVK3-1	0.939047773115657	20.4695477623811	4.63178926315597	0.00026463906646053	0.00759599488182515	0.562717833467903	Not significant	NA
SAC3D1	0.923507850434362	18.4837790394347	4.64969691070443	0.000254978478969454	0.00751257783400729	0.598401793132464	Not significant	NA
BRAT1	0.91235417610525	18.9607390416247	6.07781813518305	1.47726694854521e-05	0.00234014621719889	3.32299892494252	Not significant	NA
SQSTM1	0.91226183844023	20.8598850429218	4.14325800657093	0.000737370376422474	0.0113122786369089	-0.419966570343285	Not significant	NA
SPINT2	0.904366142872796	22.0223276721987	6.34238148625394	8.96990873700396e-06	0.00210037494583845	3.7965229968383	Not significant	NA
MMP24OS	0.88587587434786	20.1198459583797	5.20696347724832	8.14896524442868e-05	0.00411985754232536	1.6924161884809	Not significant	NA
SDCBP	0.885577697605648	20.7714203216085	5.55541461647888	4.06693691362054e-05	0.0031702762211329	2.35752239960965	Not significant	NA
TFRC	0.873876613397048	21.3354532567596	2.55129829454648	0.0211319009997929	0.0897954417842204	-3.58555216652511	Not significant	NA
SDHAF2	0.858817167957703	18.8181955567515	3.19984588924886	0.00547619753288172	0.0391046887495461	-2.32850070858523	Not significant	NA
ZFAND5	0.856573292403169	17.4909814639233	3.09219897235138	0.0068747727373413	0.0448473077836238	-2.54252091121738	Not significant	NA
VWA1	0.8490859295087	20.5556256395511	3.81195708733136	0.00148955173742586	0.0168831702955478	-1.09246215316089	Not significant	NA
URGCP	0.844272226434288	17.6120829102861	4.88680605572769	0.000156296277409685	0.00569968965734172	1.06799674262302	Not significant	NA
KMT2C	0.839693349535651	21.0007195771472	2.43307687642473	0.0268341564707178	0.103787928037366	-3.80354992317419	Not significant	NA
ATXN7L3B	0.83779778445443	20.7201222852227	4.05139316569982	0.000895682163195235	0.0124918180064439	-0.606200737195824	Not significant	NA
SLC29A1	0.836102380243194	19.532460115703	2.52434675170063	0.0223204799550888	0.0928073040375607	-3.63563524478607	Not significant	NA
MRFAP1	0.833816658633051	18.9957143978485	4.0950849969873	0.000816499585562586	0.0119493640005524	-0.517589985186921	Not significant	NA
POLA2	0.824435560097427	18.2985085113078	2.68974236913817	0.0159189760439817	0.0757470849408286	-3.32501095867443	Not significant	NA
PCNA	0.813257333054707	21.7588077596805	4.46911220978509	0.000371485987979532	0.00853603004608026	0.23731643563009	Not significant	NA
