ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Category	Label
LXN	3.03496022086585	21.2250848882792	10.5173643226252	1.12757832173913e-08	2.09024831392392e-06	10.2849322965061	Up-regulated	LXN
MFGE8	2.86660315027846	20.6753457266229	10.1014002682279	2.00359972081842e-08	2.87548876061973e-06	9.71467296065971	Up-regulated	MFGE8
GPRC5A	2.55839454828557	20.3393649786413	6.90110627453448	3.22738583445775e-06	7.55717872500133e-05	4.61315628264525	Up-regulated	GPRC5A
SCARB1	2.37115151953212	19.403552894642	9.55550010881544	4.37789046897196e-08	5.12558807801481e-06	8.93640872800924	Up-regulated	SCARB1
CEND1	2.25093073999671	17.5448861907473	7.96677552138601	5.1622952170701e-07	2.31990418391362e-05	6.46221024277994	Up-regulated	CEND1
UGDH	2.24109643521292	21.9669075467798	7.80303394364526	6.77525285033191e-07	2.66753096735634e-05	6.18833978785658	Up-regulated	UGDH
TTYH3	2.1709788005441	18.9882754645124	10.3452446938021	1.42737679836485e-08	2.44185491421796e-06	10.0512922474651	Up-regulated	TTYH3
SDHAF2	2.07199705748948	18.8181955567515	7.14733411356654	2.08487597183306e-06	5.7972582491783e-05	5.05448093262476	Up-regulated	SDHAF2
UPP1	2.03770065986301	20.3642343419053	8.08246040738993	4.26889739107347e-07	2.04218542934257e-05	6.65350152173063	Up-regulated	UPP1
G6PD	2.00520620241694	22.0349269629367	7.98825539615658	4.98268621251067e-07	2.26421335294737e-05	6.49786564172792	Up-regulated	G6PD
MRPS15	1.99476736235482	17.8536956309811	7.09817837882572	2.27342204987718e-06	6.1299725453961e-05	4.96705797979205	Up-regulated	MRPS15
NDFIP1	1.97803702098943	20.1961035345385	8.18424934920203	3.61668858861358e-07	1.80793792480245e-05	6.82031976379731	Up-regulated	NDFIP1
DHCR24	1.93680285726298	19.4739732172856	9.57775609438065	4.23793523557306e-08	5.09583077380123e-06	8.96882193793536	Up-regulated	DHCR24
ARRB1	1.85490699963915	19.8499128723383	7.25777653311481	1.71837321152866e-06	5.11364014030003e-05	5.24966403970189	Up-regulated	ARRB1
ABLIM1	1.85248995436974	19.5220807661028	9.09395218824921	8.69530286849005e-08	8.05945884623172e-06	8.25068572358819	Up-regulated	ABLIM1
ALDH1A3	1.82292856643013	19.8272400354862	11.8446268609083	2.0099996887158e-09	8.12953510463325e-07	11.9827643981071	Up-regulated	ALDH1A3
SLC39A14	1.81131199834353	18.6468638820655	8.10574001839492	4.10958344318032e-07	1.9873409498597e-05	6.69177673489437	Up-regulated	SLC39A14
KMT2C	1.80693861953295	21.0007195771472	4.84735830662929	0.000169487971568843	0.00136372134489261	0.615704223461845	Up-regulated	KMT2C
ARR3	1.79668755079731	20.7467204753959	4.68696597393697	0.000236011798208603	0.00177068548099507	0.283274309605575	Up-regulated	ARR3
CD63	1.76903161155325	19.6318487384242	6.83678539471355	3.62254115265652e-06	8.3075698908087e-05	4.4964669312964	Up-regulated	CD63
TFRC	1.69653630200271	21.3354532567596	4.5856497872257	0.000291289772356682	0.00205055094496025	0.0722690072620527	Up-regulated	TFRC
MPP1	1.68794230895084	20.0164064729601	6.26478082656952	1.03731898886857e-05	0.000166607659981093	3.43330570849323	Up-regulated	MPP1
MYO3B	1.68056385870129	19.1861058340605	5.19567419937812	8.33660281041326e-05	0.000820565174856828	1.32959042992683	Up-regulated	MYO3B
LIPA	1.61306984547999	20.0811481766206	14.4083947297141	1.07476632916387e-10	7.3941216064597e-08	14.8096591499318	Up-regulated	LIPA
TPBG	1.60174795498616	20.1262984940204	7.31299261321715	1.56101441393526e-06	4.9254986720553e-05	5.34660513536127	Up-regulated	TPBG
CD44	1.58890410674581	23.2321903603628	5.36243307641186	5.96521761266244e-05	0.000631886979969885	1.66691751675909	Up-regulated	CD44
PDLIM1	1.58014422425211	22.105476038154	5.42847742499803	5.22955241862426e-05	0.000573061051981757	1.79964670526632	Up-regulated	PDLIM1
MMP24OS	1.57061016092263	20.1198459583797	8.54686147262534	2.0247015615529e-07	1.28527836926218e-05	7.40336414933247	Up-regulated	MMP24OS
MCRIP2	1.55108994374067	18.6571511790879	10.1731839816943	1.8121057491225e-08	2.68735282594866e-06	9.81446017500979	Up-regulated	MCRIP2
RPL35	1.54837601062956	20.4037435454222	7.71534048350638	7.84847444238289e-07	2.8974001178965e-05	6.04015423613825	Up-regulated	RPL35
SPPL2A	1.53083069728939	20.6339869222613	5.29693031871088	6.80064581970073e-05	0.000698754578564631	1.53478402232408	Up-regulated	SPPL2A
DNAJC1	1.52272341520049	16.3764968082637	6.09793938029857	1.42178901877664e-05	0.000210345376264455	3.11470263908389	Up-regulated	DNAJC1
YBX2	1.49400661339104	19.4839507700215	9.40725167671821	5.44326906936953e-08	5.90661075356709e-06	8.71898555611902	Up-regulated	YBX2
CYB5B	1.46860343564506	22.3913454220045	7.42751180721527	1.28074518951922e-06	4.22076692457111e-05	5.54630282713517	Up-regulated	CYB5B
RPF2	1.45541464987837	18.6399512653026	8.34356565310054	2.79733895895477e-07	1.53646432449257e-05	7.07863074957437	Up-regulated	RPF2
SLC29A1	1.44745101078046	19.532460115703	4.04594551393818	0.000906084759544827	0.00486269130906506	-1.06091916224205	Up-regulated	SLC29A1
SLC26A2	1.39079505154086	18.6431070996163	7.48278262845148	1.1648083441949e-06	3.95590253688788e-05	5.64202852224217	Up-regulated	SLC26A2
EEF1A2	1.38035694473453	22.0765156528769	5.90302769564983	2.06473503703658e-05	0.000280061164017553	2.73776503457299	Up-regulated	EEF1A2
KRT18	1.37616017936504	23.4159570321445	6.29505778530481	9.80033830195273e-06	0.000159310401527374	3.49071676391952	Up-regulated	KRT18
ITGA2	1.37417675945162	20.4230574855316	5.6450478989703	3.40956462853028e-05	0.0004155932337625	2.23125376869554	Up-regulated	ITGA2
PRKAR1B	1.36208253155028	19.1285643264316	2.74665416684002	0.0141554367015702	0.0413781457853388	-3.74713929505938	Up-regulated	PRKAR1B
RPL18	1.35025667377908	21.4869788309567	6.71522298199608	4.51322416640997e-06	9.74724966813493e-05	4.27434448022294	Up-regulated	RPL18
EML4	1.33180059528807	19.910698047128	11.2871619825633	4.06741480294595e-09	1.20639523055377e-06	11.2913172425298	Up-regulated	EML4
KIAA0319L	1.33002392261962	17.3761506491748	7.01910296603379	2.61495232746603e-06	6.64795594565506e-05	4.82571055686999	Up-regulated	KIAA0319L
ALDH1B1	1.32439600674143	20.5687917367405	8.78069716267701	1.4046963797173e-07	1.02450724481349e-05	7.77020834087809	Up-regulated	ALDH1B1
RPL18A	1.32114825917035	20.052694405741	7.1536571120618	2.0618352945446e-06	5.76924856945216e-05	5.0657016761012	Up-regulated	RPL18A
AK6	1.3134118895348	20.6448357464997	2.76734552817764	0.0135621740033833	0.0398155269701564	-3.70633717979395	Up-regulated	AK6
MYO1B	1.29566448424037	19.1007824560996	6.97486560809471	2.8289729858006e-06	6.95364685846787e-05	4.74625267717182	Not significant	NA
ZNF281	1.29268454827841	16.1615759764901	4.60703415351287	0.000278612903485494	0.00198645642244705	0.116865176844301	Not significant	NA
TMX2	1.28706911461759	20.5112007073492	5.68002518369184	3.18377423303484e-05	0.000394557425146853	2.30042237645204	Not significant	NA
ELOVL5	1.28327982019022	21.3141997685207	5.6263657509461	3.53688445679186e-05	0.000425286458061269	2.19424690779161	Not significant	NA
NPC1	1.28258999679803	20.2240826648305	7.74004563229986	7.52923083269486e-07	2.88771965298788e-05	6.08200841590163	Not significant	NA
SLC16A2	1.2799079716778	20.2043666018013	8.52201742973663	2.10571217327878e-07	1.28527836926218e-05	7.36397099224036	Not significant	NA
FADS2	1.27308277864934	19.873559240015	3.70292230183732	0.00187878421692211	0.00852929691947598	-1.78362084556508	Not significant	NA
KTN1	1.2721724139235	20.0486219720918	12.8124817267639	6.2850613973982e-10	3.10691535078051e-07	13.1144923105579	Not significant	NA
COX16	1.26963091259923	19.1812694457964	6.29272626251377	9.84326065565858e-06	0.000159310401527374	3.48630020166175	Not significant	NA
MYADM	1.26863064030604	20.6436898973647	5.85696499026026	2.25672671137954e-05	0.000300604105955915	2.6479534909646	Not significant	NA
IREB2	1.26421454928044	18.9266739094607	5.80763100100051	2.48297160210812e-05	0.000323004112800556	2.55145837532321	Not significant	NA
TMEM106B	1.25017696482611	20.7435091028354	8.52769921112357	2.08689009413772e-07	1.28527836926218e-05	7.37298724691692	Not significant	NA
SCD	1.23515604843394	20.5840635752167	2.16888393011727	0.0452135449090599	0.100981456476108	-4.83197746347235	Not significant	NA
APOBEC3C	1.229400204622	16.910798662211	3.36063153263005	0.00389359094295606	0.0149050419210938	-2.49981393882873	Not significant	NA
MTRR	1.19928987878417	17.0967765649351	6.62207832505328	5.34854063938889e-06	0.000104669183275233	4.10274595731515	Not significant	NA
MT2A	1.1975463974966	20.2394347960771	1.92930639976781	0.0712924352061713	0.14476496770071	-5.24187053846932	Not significant	NA
SDSL	1.19230020359873	18.4540387328358	6.52078425324917	6.44201155744901e-06	0.000119418789246211	3.91475783832104	Not significant	NA
H1-5	1.18765385050102	22.3733776956551	4.67817775084175	0.000240350182293791	0.00179717304373962	0.265001011047436	Not significant	NA
RPL6	1.18433484065444	21.8367595486678	8.51484124546003	2.12973953911303e-07	1.28527836926218e-05	7.35257727294065	Not significant	NA
GDF15	1.17053688043297	18.6318678209659	6.3006833989072	9.69757177983414e-06	0.000158619473707655	3.50137019499496	Not significant	NA
ADAM10	1.15281484986664	19.3434290427609	10.8726516562043	6.99453221122589e-09	1.63782493724968e-06	10.757101614545	Not significant	NA
DNAJB12	1.1506635832041	17.9948628460916	9.11301695458767	8.44826484006555e-08	8.05945884623172e-06	8.27952897608219	Not significant	NA
MRM1	1.14995181965563	17.6600189041793	6.06309185542043	1.51928986838692e-05	0.000221617069654211	3.047682575358	Not significant	NA
EPHA2	1.14725242183271	20.1880053928392	7.07800022027636	2.35589358004199e-06	6.20199440095079e-05	4.93107303152404	Not significant	NA
ZNF446	1.14237081550419	15.3927872643831	3.43092112054277	0.00335304146760685	0.01318981564048	-2.35349056541585	Not significant	NA
C1QBP	1.14150661360046	21.0961485407303	8.82031869845032	1.32117386064852e-07	9.79650417670879e-06	7.83166880227697	Not significant	NA
MPZL1	1.13023265655978	19.1557468107689	9.83531833464542	2.9211283687058e-08	3.93821215526427e-06	9.33966489777078	Not significant	NA
AGR2	1.10968521582217	22.7605313352677	2.1916245570689	0.0432601619552581	0.0979462903506073	-4.79166157049145	Not significant	NA
RPL26L1	1.10540571828576	20.3587092722432	8.62546994813318	1.78922814887525e-07	1.23538354169056e-05	7.52747662627278	Not significant	NA
DNM2	1.10227611433212	18.9478464411045	9.13833155744408	8.1315796207485e-08	8.03942171838002e-06	8.31775770485646	Not significant	NA
FLYWCH2	1.10094896480782	20.6857464781425	7.08991564367357	2.3068229550592e-06	6.145542112011e-05	4.95232945675482	Not significant	NA
RPL14	1.1009232838725	21.23843436322	4.48525399026814	0.000359156005724524	0.00239204351716827	-0.13749793731511	Not significant	NA
RPL15	1.0938104420927	20.9282411264517	8.29376978172823	3.03018079062582e-07	1.60491361160646e-05	6.99825670761439	Not significant	NA
RPL13A	1.09266008197746	22.4489155076263	9.53221676223022	4.52951840988133e-08	5.1671352321954e-06	8.90243591228461	Not significant	NA
KRT8	1.09026941375796	23.2424850083209	5.59898966210284	3.7323955523482e-05	0.000443995396053399	2.13994056947042	Not significant	NA
NPC2	1.08928549864611	21.9425798640785	6.23585085608894	1.09530907065661e-05	0.000172191874747394	3.37833168653015	Not significant	NA
SDCBP	1.08538566443766	20.7714203216085	6.30377194099714	9.64162813811096e-06	0.000158619473707655	3.50721723481275	Not significant	NA
UXS1	1.08319316219058	19.9234157947743	5.31949496529541	6.50002536507044e-05	0.000677250886398089	1.58035656627024	Not significant	NA
FLVCR1	1.08167655301442	17.5568051902796	5.5894747202223	3.80293536623157e-05	0.00044998030437139	2.12104404795872	Not significant	NA
RPL7	1.07227585058082	21.9439675291579	7.28423560453338	1.64099777723579e-06	5.06999938258475e-05	5.29617068179597	Not significant	NA
OAT	1.06807405524947	21.2695566908202	8.23331204072186	3.34046421247497e-07	1.74843826838837e-05	6.90022977684623	Not significant	NA
DDX25	1.06799498959901	18.8018868699195	4.53539634112014	0.00032344979805634	0.00222072245609978	-0.0326515645990666	Not significant	NA
HIGD2A	1.06744756963563	19.1336901395054	5.5693909527505	3.95638665919327e-05	0.000458384485592471	2.0811216136324	Not significant	NA
TBC1D2B	1.06379188896653	18.135469094299	7.23099871645734	1.80056830138643e-06	5.21504815570468e-05	5.20249721839411	Not significant	NA
EEPD1	1.05902774963083	20.4231599833746	8.29584077187221	3.02010290073389e-07	1.60491361160646e-05	7.00160600356443	Not significant	NA
HPS3	1.05045258321561	17.936941573592	5.77648887863226	2.63776513722563e-05	0.000341145845799908	2.49038438984973	Not significant	NA
RRS1	1.05023111947604	19.7716936168835	8.61037795833689	1.83210123175828e-07	1.23538354169056e-05	7.50371074334106	Not significant	NA
RPL4	1.04884555898271	21.6783014105817	5.37118332484827	5.86191338728096e-05	0.00062391513540701	1.68453179332463	Not significant	NA
RPS9	1.04770275079289	21.3271368019589	4.59262552654799	0.00028709102683354	0.00202419647921144	0.0868200188261961	Not significant	NA
OSTM1	1.04157817837199	19.9098175010546	6.06133050117407	1.52439843927463e-05	0.000221618131698321	3.0442907517673	Not significant	NA
ETFA	1.038729820156	21.4866676376556	11.0203039043122	5.75577148231552e-09	1.42263485137899e-06	10.9494151719977	Not significant	NA
SLC1A5	1.03801370440363	19.1065612979369	8.90867444605473	1.15313987280922e-07	9.16128445380042e-06	7.96800374501825	Not significant	NA
BAG2	1.03590629024512	20.5746534480757	5.2022576003072	8.22664703325731e-05	0.000811537752792944	1.34296542707795	Not significant	NA
PSAP	1.03198843339045	22.3742379025073	7.93099740364114	5.47666818220813e-07	2.38879379829843e-05	6.40268117647915	Not significant	NA
KRT19	1.02593858413233	23.4245857038927	4.60435876586828	0.000280167564075892	0.00199115893382371	0.111287477876268	Not significant	NA
SLC5A6	1.02554213282365	19.6055780462343	5.83463913841235	2.35634545460346e-05	0.000311931411066654	2.60432406792998	Not significant	NA
SEPTIN6	1.0245256421615	18.8068466010948	4.43524526883908	0.000398776217558488	0.00258246781938532	-0.242210482867172	Not significant	NA
ARMC9	1.01412830910596	18.5600612247845	6.23864224726003	1.08956981308539e-05	0.000171897024766557	3.3836409933644	Not significant	NA
ABCC1	1.01111408383482	20.1089024214888	7.89346376683322	5.82809236460144e-07	2.46944599334398e-05	6.3400436469979	Not significant	NA
AGFG2	1.01020620925145	19.1515511165356	4.94595989539403	0.000138456765779641	0.00117994229492784	0.818975600443768	Not significant	NA
PPP1R1B	1.01020092262115	19.3748938675349	3.80669655530951	0.00150632157892232	0.00717518704992011	-1.56520593114714	Not significant	NA
SLC12A7	1.00910302039322	19.835559428105	6.48508636417486	6.88077603241541e-06	0.000124407087332546	3.8481667800797	Not significant	NA
SDR39U1	1.0033653741215	18.6017924249093	4.76703486879642	0.000199990833105754	0.00154740733302174	0.449486814901473	Not significant	NA
CD59	1.0000931285849	21.9469245652597	3.83448504599318	0.0014198323109125	0.00685122988204956	-1.5066669164224	Not significant	NA
ITGA5	0.999438821447622	19.8909273124749	5.08323812984891	0.000104667027390229	0.000966440159426344	1.10045865362853	Not significant	NA
RETSAT	0.998653586172285	19.3354264968866	4.91757972269288	0.000146739194811136	0.00123324670780366	0.760558945847122	Not significant	NA
GABARAPL2	0.987803504027031	18.6243087232254	2.00563841902062	0.0617912052113137	0.129368975051828	-5.11435861400449	Not significant	NA
TOM1L2	0.986152398685469	19.5317912673084	6.95774913121801	2.9166145122863e-06	7.04498600156896e-05	4.71543470489675	Not significant	NA
SPNS1	0.984321151406796	20.0292519176811	8.95962125704066	1.06659105522404e-07	8.69846467137511e-06	8.04616532788557	Not significant	NA
CHCHD1	0.984118345072797	19.7557661383525	7.54229462187018	1.05215733168168e-06	3.62871935554401e-05	5.74462401914608	Not significant	NA
TANC1	0.979338442899454	17.4107653288201	8.41852146042058	2.48158141318061e-07	1.41534052561907e-05	7.1989947645138	Not significant	NA
CERS2	0.978628996022927	20.658269703643	4.09285604684857	0.000820362225705243	0.00451428990044457	-0.962046756421525	Not significant	NA
RPL13	0.978292155771989	22.4497002094086	7.25244697366937	1.73441441873122e-06	5.11364014030003e-05	5.24028449353483	Not significant	NA
GRPEL1	0.975620463682819	20.3079064294778	8.42686262309645	2.44883015506779e-07	1.41491498180475e-05	7.21234308810731	Not significant	NA
AKR1B1	0.968643461936793	21.0157150116518	9.07110880878979	9.00133057770263e-08	8.17284076330592e-06	8.2160660422805	Not significant	NA
RSL1D1	0.968298855234913	19.9982341642053	6.59964820446808	5.57277691095673e-06	0.00010640894625256	4.06124209465276	Not significant	NA
NCDN	0.960993568723762	20.0298227998058	6.19294200928125	1.18759232003352e-05	0.000184741196917103	3.29658425733303	Not significant	NA
GSTM3	0.959064017905366	20.4843957060337	7.71295093785661	7.88009472388125e-07	2.8974001178965e-05	6.03610152950036	Not significant	NA
FDFT1	0.958449673265548	20.2815565567837	4.91810429947111	0.000146581581546566	0.00123324670780366	0.761639387450348	Not significant	NA
MRPL43	0.952314536323531	20.4937339674627	7.25069162758159	1.73973192475911e-06	5.11364014030003e-05	5.23719437018125	Not significant	NA
SCP2	0.950075489864105	21.5261741869524	7.85804632663756	6.18138472061282e-07	2.57018510486041e-05	6.2807612242903	Not significant	NA
RPL28	0.942001270342043	21.2448724355978	5.59549240867006	3.75816426392587e-05	0.000445868608272165	2.13299637180718	Not significant	NA
CD99L2	0.940246042235888	21.1926241825763	4.37273023384766	0.000454634946133888	0.00285285031784156	-0.373296272242868	Not significant	NA
LGALS8	0.933142404759803	19.5518393976767	6.61572517756003	5.41108387352296e-06	0.000104669183275233	4.09099746412291	Not significant	NA
NOTCH2	0.93212517361826	18.5694322353468	6.62789247268293	5.29196289527848e-06	0.000104669183275233	4.11349276691444	Not significant	NA
MICAL2	0.931223279209295	19.1312789529189	5.81406267943694	2.45219156235118e-05	0.000320876478261777	2.56405626334806	Not significant	NA
CA8	0.92892703918254	20.631982351106	3.71232055562074	0.00184155072329064	0.00841846713023552	-1.76385578984917	Not significant	NA
RPL8	0.926311279132296	22.3371442922433	4.76965952595824	0.000198910223818648	0.00154172750134001	0.454926642778164	Not significant	NA
RPL19	0.920838676108218	21.3660186096266	5.46420065170764	4.87129458466966e-05	0.000544532402190837	1.87122769072975	Not significant	NA
ZNF217	0.919444525318955	17.5056713465115	5.37163251866471	5.8566603050025e-05	0.00062391513540701	1.68543578501237	Not significant	NA
THEM6	0.915805641145351	19.43633396501	4.65356708044609	0.000252938442211129	0.00186311776390283	0.213797708670489	Not significant	NA
SCO2	0.912203969841858	19.7430534965651	7.7177470015861	7.81676368963401e-07	2.8974001178965e-05	6.04423493246575	Not significant	NA
TMEM120A	0.909464096042733	18.2855098274986	3.15549605949048	0.00601479751335109	0.0209552342497251	-2.92360147197866	Not significant	NA
KHDRBS3	0.906927683806693	16.6278495122904	4.23114485602203	0.000612448616556095	0.00361377174410884	-0.67082496836378	Not significant	NA
LAMP1	0.906454849242859	21.9614870639375	3.95250396561605	0.00110478421918506	0.00564963792086703	-1.25791299619271	Not significant	NA
MRPS12	0.902573067292835	19.3698848686436	6.78610658523487	3.96925738973307e-06	8.87398297835299e-05	4.40411723369568	Not significant	NA
MRPS18A	0.897838997501143	19.2816148298947	3.98498067681396	0.00103117192428888	0.00535319007136665	-1.18944282074545	Not significant	NA
ATP6AP1	0.894149458450677	20.107742741415	5.22151604856447	7.91348307808636e-05	0.000785872460142996	1.38206461309976	Not significant	NA
MBP	0.892901983727569	20.8155871461071	5.57737769651129	3.89461132616455e-05	0.00045358968036927	2.0970035357911	Not significant	NA
GNS	0.892434140622786	21.849773687561	6.666070846767	4.93559420650432e-06	0.00010119105357022	4.18394383329925	Not significant	NA
TSPYL1	0.887561447710684	18.8494828336482	6.04882367494502	1.56118902804174e-05	0.000225510713823301	3.0201945378184	Not significant	NA
SPART	0.886432836990053	18.6676553437222	3.58830892977562	0.00239832290379722	0.0101620367609465	-2.02432357778271	Not significant	NA
STUB1	0.885621448283871	19.5211433480376	8.35338832225363	2.75366662648891e-07	1.53138285265615e-05	7.09444634329784	Not significant	NA
ARHGEF2	0.885061348303307	19.9371240219015	9.09577481365097	8.6713609328433e-08	8.05945884623172e-06	8.25344514893983	Not significant	NA
ECD	0.882887226216749	17.5835977089767	4.5580351295938	0.000308535915976008	0.00214146067110337	0.0146345995152659	Not significant	NA
TCIRG1	0.880569808851345	19.5481564647859	4.82814317498263	0.000176321724580013	0.00140195206568613	0.575991054974684	Not significant	NA
ALG13	0.879994068204034	20.1568944227191	7.10766930108039	2.23567821118354e-06	6.06495875704607e-05	4.98396393439585	Not significant	NA
L2HGDH	0.879599895204922	19.2892635213256	6.94642224410974	2.97616448824945e-06	7.11879344528054e-05	4.69501815194004	Not significant	NA
CD320	0.878913446670339	20.184266439582	3.62051399932015	0.00223930691665626	0.00969131952548999	-1.95675847147187	Not significant	NA
SMS	0.877479062374135	21.2341069482598	5.90348346215741	2.06292229403553e-05	0.000280061164017553	2.73865229001304	Not significant	NA
DNAJA3	0.875083919920385	20.1941926391912	8.61008160242697	1.8329538244183e-07	1.23538354169056e-05	7.50324376502783	Not significant	NA
LAMP2	0.873628621121025	20.9646174937039	6.77946302127168	4.01720833975956e-06	8.93627995179514e-05	4.39198422871528	Not significant	NA
N6AMT1	0.872726153212767	18.9275325267635	3.15194227626713	0.00606014564281862	0.0210144878915823	-2.93089301702709	Not significant	NA
RPL7L1	0.871849356332639	19.3889092267609	5.76022165067051	2.72256039533891e-05	0.000347067942660825	2.45843276688462	Not significant	NA
DNLZ	0.867733018961086	19.8897421088328	4.82864123215763	0.000176141076671398	0.00140195206568613	0.57702082340931	Not significant	NA
MRPS6	0.867696631221012	19.2405032390943	6.99197926126285	2.74408803442441e-06	6.86173999075171e-05	4.77702437281844	Not significant	NA
VAMP7	0.866698921055182	19.6444582170073	6.60767335870388	5.49144508767915e-06	0.000105763806039327	4.07609961698105	Not significant	NA
REEP5	0.865774576971653	20.7856933508868	4.67519169380274	0.00024184276205807	0.00180386151230917	0.258790806931608	Not significant	NA
MRPS16	0.865006777364211	19.6337759171363	6.72151027240284	4.46197814910448e-06	9.68358087091017e-05	4.2858836497834	Not significant	NA
NDUFAF2	0.864798362093818	19.7843836582698	6.61809064318359	5.38770868588918e-06	0.000104669183275233	4.09537243639073	Not significant	NA
COA6	0.863236400168116	20.2199183366207	8.97456614526749	1.04251727225061e-07	8.69846467137511e-06	8.06903124385011	Not significant	NA
CRABP2	0.863044359892967	21.5580655397581	2.85070752332018	0.0114062468745226	0.0350248792820186	-3.54088550454072	Not significant	NA
AAK1	0.860715795421655	19.0690756894733	6.90252288191982	3.21920670386859e-06	7.55717872500133e-05	4.61571971138551	Not significant	NA
MSMO1	0.858159943889138	19.0131908093208	3.92042882101248	0.00118268959085764	0.00592793476139297	-1.32553337095858	Not significant	NA
MRPL17	0.857678864118814	20.4315547679267	4.07208076590239	0.000857265676648083	0.00465118901878942	-1.00583096373753	Not significant	NA
PANX1	0.856841757916968	18.6936225372864	4.94712078176037	0.000138128368598772	0.00117952612647973	0.8213635345094	Not significant	NA
ITGB5	0.855493317865726	19.8213142752121	7.83864696448428	6.38432973813875e-07	2.58814155554267e-05	6.24821742137476	Not significant	NA
NVL	0.855065030574444	18.224135176358	5.8110495269129	2.46656210882386e-05	0.000321810405341858	2.55815498967013	Not significant	NA
FBXO6	0.851840088052526	18.8292155367083	3.61253423393789	0.00227769781847655	0.00979720147729317	-1.97350532255437	Not significant	NA
GTPBP10	0.84884256505574	16.6945537907874	3.31335794725709	0.00430488089066786	0.0160809530500263	-2.59793622987532	Not significant	NA
FKBP4	0.845291178341878	20.4003370791874	7.34139703396023	1.48600100083027e-06	4.73731791184832e-05	5.3963075541365	Not significant	NA
SLIRP	0.842479763364274	21.7194909342503	4.26588829213211	0.000569192039068783	0.0034025210867904	-0.597743263228871	Not significant	NA
SQSTM1	0.842297633005202	20.8598850429218	3.54172352199736	0.00264850323670192	0.0109815385834919	-2.12194433535684	Not significant	NA
RIDA	0.842147939309179	20.6475054848882	6.7124734520279	4.53582713072751e-06	9.74874149981001e-05	4.26929648025166	Not significant	NA
C19orf53	0.84139039161354	17.3774170543085	3.75963553508514	0.00166504244771867	0.00772447742429652	-1.66429924323375	Not significant	NA
ABHD12	0.837339946594714	20.0178167084905	4.8819275101012	0.000157868971982616	0.00129818128142861	0.687069539180696	Not significant	NA
FBXO38	0.837288392888738	17.7564708996333	4.75992193991141	0.000202949638378411	0.00156757455059991	0.434741845943955	Not significant	NA
PCBD1	0.836448483474697	20.3532090242918	2.78660551293987	0.0130315629519825	0.0385488188652728	-3.66826067674693	Not significant	NA
