ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0035295	tube development	19/93	233/4252	3,96719178205656e-07	0,000178329928523162	0,000158598095195169	MARCKS/FKBP10/SEMA3C/MCAM/MMP14/RBBP9/EPCAM/FN1/TYMP/RCN3/CALD1/LAMA5/EGFL7/PODXL/GPX1/HSPG2/S100A1/LRP1/TGFBI	19
GO:0030198	extracellular matrix organization	10/93	59/4252	3,99489376381086e-07	0,000178329928523162	0,000158598095195169	ERO1A/FKBP10/MMP14/LAMC1/NID1/CTSV/LAMB2/FBLN1/LRP1/TGFBI	10
GO:0043062	extracellular structure organization	10/93	59/4252	3,99489376381086e-07	0,000178329928523162	0,000158598095195169	ERO1A/FKBP10/MMP14/LAMC1/NID1/CTSV/LAMB2/FBLN1/LRP1/TGFBI	10
GO:0045229	external encapsulating structure organization	10/93	60/4252	4,70838095110659e-07	0,000178329928523162	0,000158598095195169	ERO1A/FKBP10/MMP14/LAMC1/NID1/CTSV/LAMB2/FBLN1/LRP1/TGFBI	10
GO:0007155	cell adhesion	21/93	315/4252	2,55416811686652e-06	0,000773912939410556	0,000688281092545084	LGALS3BP/ALCAM/MCAM/MMP14/RAC3/PALLD/EPCAM/FN1/LAMC1/GPC4/LAMA5/PLAU/EGFL7/COL6A1/NID1/PODXL/LAMB2/FBLN1/HSPG2/DSC2/TGFBI	21
GO:1901136	carbohydrate derivative catabolic process	9/93	58/4252	3,41770141868433e-06	0,000862969608217794	0,000767483827353674	NT5C/SGSH/GLB1/NAGA/GLA/GPC1/FUCA1/TYMP/GUSB	9
GO:0001568	blood vessel development	14/93	162/4252	8,37824697537451e-06	0,00181329202395605	0,00161265505691419	FKBP10/SEMA3C/MCAM/MMP14/GAA/FN1/TYMP/CALD1/EGFL7/GPX1/HSPG2/S100A1/LRP1/TGFBI	14
GO:0009888	tissue development	24/93	439/4252	1,41983211572227e-05	0,00268880706914904	0,00239129619490066	MARCKS/ISG15/SEMA3C/MMP14/RBBP9/PALLD/EPCAM/GLIPR2/GAA/FN1/GPC1/SORBS2/EPPK1/LAMC1/RCN3/LAMA5/CD109/COL6A1/SELENOM/PODXL/GPX1/LAMB2/KRT16/TGFBI	24
GO:0001944	vasculature development	14/93	173/4252	1,7926826122945e-05	0,0030176823973624	0,00268378215641749	FKBP10/SEMA3C/MCAM/MMP14/GAA/FN1/TYMP/CALD1/EGFL7/GPX1/HSPG2/S100A1/LRP1/TGFBI	14
GO:0016137	glycoside metabolic process	4/93	10/4252	4,07405266157463e-05	0,00617218978228557	0,00548924990191108	NAGA/GLA/FUCA1/GUSB	4
GO:0035239	tube morphogenesis	14/93	189/4252	4,86595443813048e-05	0,0067017463397888	0,00596021213474355	FKBP10/MCAM/MMP14/FN1/TYMP/CALD1/LAMA5/EGFL7/PODXL/GPX1/HSPG2/S100A1/LRP1/TGFBI	14
GO:0048514	blood vessel morphogenesis	12/93	144/4252	5,65655191322478e-05	0,00714139679044629	0,00635121618326993	FKBP10/MCAM/MMP14/FN1/TYMP/CALD1/EGFL7/GPX1/HSPG2/S100A1/LRP1/TGFBI	12
