ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007155	cell adhesion	17/50	315/4252	4,1329182322659e-08	4,93470436932548e-05	4,14596955299937e-05	FN1/LAMB2/DSP/MCAM/PALLD/JUP/COL6A1/EGFL7/NID1/EPCAM/HSPG2/COL1A1/GPC4/PODXL/FBLN1/DSC2/TGFBI	17
GO:0001568	blood vessel development	12/50	162/4252	2,15165790953456e-07	7,73703529682076e-05	6,50039199318539e-05	FN1/GPX1/MCAM/JUP/ANXA3/S100A1/LRP1/EGFL7/CALD1/HSPG2/COL1A1/TGFBI	12
GO:0035295	tube development	14/50	233/4252	2,39107170961315e-07	7,73703529682076e-05	6,50039199318539e-05	FN1/GPX1/MCAM/JUP/ANXA3/S100A1/LRP1/EGFL7/EPCAM/CALD1/HSPG2/SRSF6/PODXL/TGFBI	14
GO:0048646	anatomical structure formation involved in morphogenesis	15/50	273/4252	2,59197162372555e-07	7,73703529682076e-05	6,50039199318539e-05	FN1/GPX1/CD109/MCAM/JUP/GPC1/COL6A1/ANXA3/S100A1/EGFL7/CALD1/HSPG2/COL1A1/PODXL/TGFBI	15
GO:0001944	vasculature development	12/50	173/4252	4,42814020587887e-07	0,000105743988116387	8,88424761305803e-05	FN1/GPX1/MCAM/JUP/ANXA3/S100A1/LRP1/EGFL7/CALD1/HSPG2/COL1A1/TGFBI	12
GO:0048514	blood vessel morphogenesis	11/50	144/4252	5,51236916060506e-07	0,000109696146296041	9,21629440360811e-05	FN1/GPX1/MCAM/JUP/ANXA3/S100A1/LRP1/EGFL7/CALD1/HSPG2/TGFBI	11
GO:0035239	tube morphogenesis	12/50	189/4252	1,1547974586072e-06	0,000196975452225285	0,000165492026774836	FN1/GPX1/MCAM/JUP/ANXA3/S100A1/LRP1/EGFL7/CALD1/HSPG2/PODXL/TGFBI	12
GO:0001525	angiogenesis	10/50	128/4252	1,58852017612098e-06	0,000237086636286057	0,000199192069453065	FN1/GPX1/MCAM/JUP/ANXA3/S100A1/EGFL7/CALD1/HSPG2/TGFBI	10
GO:0030198	extracellular matrix organization	7/50	59/4252	4,32005407830425e-06	0,000491371083472787	0,000412833150444826	LAMB2/LRP1/NID1/COL1A1/CTSV/FBLN1/TGFBI	7
GO:0043062	extracellular structure organization	7/50	59/4252	4,32005407830425e-06	0,000491371083472787	0,000412833150444826	LAMB2/LRP1/NID1/COL1A1/CTSV/FBLN1/TGFBI	7
GO:0045229	external encapsulating structure organization	7/50	60/4252	4,84714587124713e-06	0,000491371083472787	0,000412833150444826	LAMB2/LRP1/NID1/COL1A1/CTSV/FBLN1/TGFBI	7
GO:0009888	tissue development	17/50	439/4252	4,93840284897273e-06	0,000491371083472787	0,000412833150444826	FN1/GPX1/LAMB2/CD109/DSP/PALLD/EPPK1/GPC1/COL6A1/EPCAM/ISG15/COL1A1/HMG20B/SRSF6/PODXL/KRT16/TGFBI	17
GO:0072359	circulatory system development	13/50	262/4252	6,21311103100881e-06	0,000542357603585565	0,000455670277895656	FN1/GPX1/DSP/MCAM/JUP/ANXA3/S100A1/LRP1/EGFL7/CALD1/HSPG2/COL1A1/TGFBI	13
GO:0009611	response to wounding	10/50	149/4252	6,35930188458786e-06	0,000542357603585565	0,000455670277895656	FN1/GPX1/LAMB2/CD109/DSP/MCAM/EPPK1/SRSF6/TFPI/FBLN1	10
GO:0042060	wound healing	9/50	119/4252	7,42147083125389e-06	0,00059074907816781	0,000496327136995436	FN1/GPX1/CD109/DSP/MCAM/EPPK1/SRSF6/TFPI/FBLN1	9
GO:0043588	skin development	7/50	68/4252	1,13280179104946e-05	0,000845353336570662	0,000710236912414565	CD109/DSP/PALLD/JUP/COL1A1/SRSF6/KRT16	7
