ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005975	carbohydrate metabolic process	16/53	188/4252	3,98753077305094e-10	3,99949336537009e-07	3,76506852992283e-07	MPI/MAN2C1/PGK1/PFKL/GLB1/H6PD/CTBS/SIAE/FUCA1/GPI/GAA/ENO2/GYS1/ALDOC/SLC2A1/PYGL	16
GO:0005996	monosaccharide metabolic process	12/53	105/4252	3,13070325389228e-09	1,57004768182698e-06	1,47802148354809e-06	MPI/MAN2C1/PGK1/PFKL/GLB1/H6PD/FUCA1/GPI/GAA/ENO2/ALDOC/SLC2A1	12
GO:0001666	response to hypoxia	11/53	87/4252	5,23429620008765e-09	1,7499996962293e-06	1,64742585665916e-06	PGK1/PLOD1/PLOD2/NOL3/FAM162A/SLC2A1/STC2/AK4/ERO1A/NDRG1/ANGPTL4	11
GO:0036293	response to decreased oxygen levels	11/53	92/4252	9,59352994233726e-09	1,94492373618142e-06	1,8309246905124e-06	PGK1/PLOD1/PLOD2/NOL3/FAM162A/SLC2A1/STC2/AK4/ERO1A/NDRG1/ANGPTL4	11
GO:0016052	carbohydrate catabolic process	10/53	71/4252	9,69553208465316e-09	1,94492373618142e-06	1,8309246905124e-06	MAN2C1/PGK1/PFKL/GLB1/CTBS/GPI/GAA/ENO2/ALDOC/PYGL	10
GO:0019318	hexose metabolic process	11/53	94/4252	1,2097021176841e-08	2,02221870672859e-06	1,90368912203972e-06	MPI/MAN2C1/PGK1/PFKL/GLB1/H6PD/FUCA1/GPI/GAA/ENO2/ALDOC	11
GO:0070482	response to oxygen levels	11/53	102/4252	2,89905518529494e-08	4,15393192978689e-06	3,91045488903693e-06	PGK1/PLOD1/PLOD2/NOL3/FAM162A/SLC2A1/STC2/AK4/ERO1A/NDRG1/ANGPTL4	11
GO:0071456	cellular response to hypoxia	7/53	43/4252	7,10294628775996e-07	8,90531890827905e-05	8,38334581594827e-05	PGK1/NOL3/FAM162A/STC2/AK4/ERO1A/NDRG1	7
GO:0036294	cellular response to decreased oxygen levels	7/53	48/4252	1,54731655957441e-06	0,00017243983436146	0,000162332509232544	PGK1/NOL3/FAM162A/STC2/AK4/ERO1A/NDRG1	7
GO:0071453	cellular response to oxygen levels	7/53	56/4252	4,5153315654135e-06	0,000452887756010974	0,000426342359386938	PGK1/NOL3/FAM162A/STC2/AK4/ERO1A/NDRG1	7
GO:0006091	generation of precursor metabolites and energy	13/53	258/4252	1,05325507445662e-05	0,000960377126981809	0,000904085934724965	PDIA5/PGK1/PFKL/H6PD/CISD1/P4HA2/GPI/GAA/ENO2/GYS1/ALDOC/PYGL/AK4	13
GO:0009628	response to abiotic stimulus	14/53	318/4252	2,12486867461893e-05	0,00177603606720232	0,00167193614134489	PGK1/ARSB/SDF4/PLOD1/PLOD2/GPI/NOL3/FAM162A/SLC2A1/STC2/AK4/ERO1A/NDRG1/ANGPTL4	14
GO:0018126	protein hydroxylation	4/53	15/4252	2,6542823805934e-05	0,00204788094441168	0,00192784720274679	PLOD1/PLOD2/P4HA2/P4HA1	4
GO:0006006	glucose metabolic process	7/53	76/4252	3,51613548187467e-05	0,00251905992022878	0,00237140866709893	PGK1/PFKL/H6PD/GPI/GAA/ENO2/ALDOC	7
GO:0006096	glycolytic process	5/53	40/4252	0,000117395987794189	0,00784987838383812	0,00738976849483422	PGK1/PFKL/GPI/ENO2/ALDOC	5
GO:0019320	hexose catabolic process	4/53	23/4252	0,000159914222517689	0,0100246228240776	0,00943704326305045	PGK1/PFKL/GLB1/ENO2	4
GO:0046365	monosaccharide catabolic process	4/53	27/4252	0,000305448596112385	0,0180214671706307	0,0169651635116291	PGK1/PFKL/GLB1/ENO2	4
GO:0006735	NADH regeneration	3/53	13/4252	0,000478976564982561	0,0240206747338754	0,0226127357257557	PGK1/PFKL/ENO2	3
GO:0061621	canonical glycolysis	3/53	13/4252	0,000478976564982561	0,0240206747338754	0,0226127357257557	PGK1/PFKL/ENO2	3
GO:0061718	glucose catabolic process to pyruvate	3/53	13/4252	0,000478976564982561	0,0240206747338754	0,0226127357257557	PGK1/PFKL/ENO2	3
GO:0006090	pyruvate metabolic process	5/53	56/4252	0,000586070434322183	0,0272478239195379	0,0256507299741045	PGK1/PFKL/GPI/ENO2/ALDOC	5
GO:0006094	gluconeogenesis	4/53	32/4252	0,000597659148783484	0,0272478239195379	0,0256507299741045	PGK1/GPI/ENO2/ALDOC	4
GO:0061620	glycolytic process through glucose-6-phosphate	3/53	15/4252	0,000748675078931051	0,0316236712790351	0,0297700930233452	PGK1/PFKL/ENO2	3
GO:0019319	hexose biosynthetic process	4/53	34/4252	0,000756698016646902	0,0316236712790351	0,0297700930233452	PGK1/GPI/ENO2/ALDOC	4
GO:0016051	carbohydrate biosynthetic process	5/53	60/4252	0,000806973020932012	0,0323757575997923	0,0304780968326743	PGK1/GPI/ENO2/GYS1/ALDOC	5
GO:0006022	aminoglycan metabolic process	3/53	16/4252	0,000913354428554815	0,0327176604228743	0,0307999594892357	GLB1/CTBS/FUCA1	3
GO:0009311	oligosaccharide metabolic process	3/53	16/4252	0,000913354428554815	0,0327176604228743	0,0307999594892357	MAN2C1/CTBS/GAA	3
GO:0061615	glycolytic process through fructose-6-phosphate	3/53	16/4252	0,000913354428554815	0,0327176604228743	0,0307999594892357	PGK1/PFKL/ENO2	3
GO:0046364	monosaccharide biosynthetic process	4/53	37/4252	0,00104826048610496	0,036255354053906	0,0341302960448692	PGK1/GPI/ENO2/ALDOC	4
GO:0006007	glucose catabolic process	3/53	17/4252	0,00109933790556144	0,0367545306426043	0,0346002140803023	PGK1/PFKL/ENO2	3
GO:0006816	calcium ion transport	5/53	71/4252	0,00173460066669102	0,0561227247964868	0,052833168014324	PLCE1/LGALS3/NOL3/STC2/ERO1A	5
GO:0051209	release of sequestered calcium ion into cytosol	3/53	22/4252	0,00238244472227502	0,0746747517638077	0,0702977932855492	PLCE1/NOL3/ERO1A	3
GO:0051282	regulation of sequestering of calcium ion	3/53	23/4252	0,00271582429723862	0,0801168167685394	0,0754208790904967	PLCE1/NOL3/ERO1A	3
GO:0051283	negative regulation of sequestering of calcium ion	3/53	23/4252	0,00271582429723862	0,0801168167685394	0,0754208790904967	PLCE1/NOL3/ERO1A	3
GO:0005977	glycogen metabolic process	3/53	24/4252	0,00307663732977785	0,0881676354790623	0,0829998100694956	GAA/GYS1/PYGL	3
GO:0044042	glucan metabolic process	3/53	25/4252	0,00346559669589522	0,0939457698914299	0,0884392670332294	GAA/GYS1/PYGL	3
GO:0051208	sequestering of calcium ion	3/53	25/4252	0,00346559669589522	0,0939457698914299	0,0884392670332294	PLCE1/NOL3/ERO1A	3
GO:0006112	energy reserve metabolic process	3/53	26/4252	0,00388337764658289	0,10250073104007	0,0964927908306054	GAA/GYS1/PYGL	3
GO:1901135	carbohydrate derivative metabolic process	11/53	363/4252	0,00433072687848673	0,111377411772364	0,1048491770581	MPI/MACROD1/PFKL/GLB1/H6PD/CTBS/FUCA1/GPI/ALDOC/PYGL/AK4	11
GO:0005976	polysaccharide metabolic process	3/53	29/4252	0,00531585837748311	0,133295148815389	0,125482235910588	GAA/GYS1/PYGL	3
GO:0097553	calcium ion transmembrane import into cytosol	3/53	30/4252	0,00585495922550251	0,134475300990747	0,126593215079708	PLCE1/NOL3/ERO1A	3
GO:0006874	cellular calcium ion homeostasis	4/53	60/4252	0,00626627668984687	0,134475300990747	0,126593215079708	PLCE1/NOL3/STC2/ERO1A	4
GO:0000272	polysaccharide catabolic process	2/53	10/4252	0,0064355079237845	0,134475300990747	0,126593215079708	GAA/PYGL	2
GO:0005980	glycogen catabolic process	2/53	10/4252	0,0064355079237845	0,134475300990747	0,126593215079708	GAA/PYGL	2
GO:0009251	glucan catabolic process	2/53	10/4252	0,0064355079237845	0,134475300990747	0,126593215079708	GAA/PYGL	2
GO:0035904	aorta development	2/53	10/4252	0,0064355079237845	0,134475300990747	0,126593215079708	GAA/LRP1	2
GO:0097428	protein maturation by iron-sulfur cluster transfer	2/53	10/4252	0,0064355079237845	0,134475300990747	0,126593215079708	CISD3/CISD1	2
GO:1905146	lysosomal protein catabolic process	2/53	10/4252	0,0064355079237845	0,134475300990747	0,126593215079708	DPP7/LRP1	2
GO:0055074	calcium ion homeostasis	4/53	61/4252	0,00664490758412023	0,136017189936175	0,128044728312693	PLCE1/NOL3/STC2/ERO1A	4
GO:0051651	maintenance of location in cell	4/53	62/4252	0,00703846701364039	0,141191648293626	0,132915892868114	PLCE1/GAA/NOL3/ERO1A	4
