ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0008380	RNA splicing	12/23	256/4252	1,3159390639458e-09	8,09520508822424e-07	6,9316740816599e-07	SRSF2/SRSF3/SRSF6/SRSF1/TRA2A/THRAP3/IWS1/LUC7L2/RNPS1/RBM39/JMJD6/ZRANB2	12
GO:0050684	regulation of mRNA processing	8/23	77/4252	3,15028372141586e-09	8,09520508822424e-07	6,9316740816599e-07	SRSF3/SRSF6/TRA2A/THRAP3/IWS1/RNPS1/RBM39/JMJD6	8
GO:0006397	mRNA processing	12/23	280/4252	3,71339682946066e-09	8,09520508822424e-07	6,9316740816599e-07	SRSF2/SRSF3/SRSF6/SRSF1/TRA2A/THRAP3/IWS1/LUC7L2/RNPS1/RBM39/JMJD6/ZRANB2	12
GO:0016071	mRNA metabolic process	13/23	385/4252	1,11693806625998e-08	1,18445243004899e-06	1,01421003184623e-06	SRSF2/SRSF3/SRSF6/SRSF1/TRA2A/THRAP3/IWS1/LUC7L2/RNPS1/RBM39/JMJD6/MRTO4/ZRANB2	13
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	10/23	182/4252	1,13929068976928e-08	1,18445243004899e-06	1,01421003184623e-06	SRSF2/SRSF3/SRSF6/SRSF1/TRA2A/THRAP3/LUC7L2/RNPS1/RBM39/JMJD6	10
GO:0000398	mRNA splicing, via spliceosome	10/23	182/4252	1,13929068976928e-08	1,18445243004899e-06	1,01421003184623e-06	SRSF2/SRSF3/SRSF6/SRSF1/TRA2A/THRAP3/LUC7L2/RNPS1/RBM39/JMJD6	10
GO:0000375	RNA splicing, via transesterification reactions	10/23	185/4252	1,33561837476867e-08	1,18445243004899e-06	1,01421003184623e-06	SRSF2/SRSF3/SRSF6/SRSF1/TRA2A/THRAP3/LUC7L2/RNPS1/RBM39/JMJD6	10
GO:0043484	regulation of RNA splicing	8/23	93/4252	1,44887147406604e-08	1,18445243004899e-06	1,01421003184623e-06	SRSF3/SRSF6/SRSF1/TRA2A/THRAP3/RNPS1/RBM39/JMJD6	8
GO:0048024	regulation of mRNA splicing, via spliceosome	7/23	63/4252	2,27047765936103e-08	1,64988043246901e-06	1,41274165471353e-06	SRSF3/SRSF6/TRA2A/THRAP3/RNPS1/RBM39/JMJD6	7
GO:1903311	regulation of mRNA metabolic process	8/23	150/4252	6,2292058247424e-07	4,07390060938153e-05	3,48835526185574e-05	SRSF3/SRSF6/TRA2A/THRAP3/IWS1/RNPS1/RBM39/JMJD6	8
GO:0000380	alternative mRNA splicing, via spliceosome	4/23	39/4252	4,72338404017864e-05	0,00272669173509195	0,0023347819138402	SRSF6/SRSF1/THRAP3/RNPS1	4
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	9/23	355/4252	5,06805371288256e-05	0,00272669173509195	0,0023347819138402	SRSF2/SRSF6/HMGB1/HMGA2/SUB1/BCLAF1/THRAP3/RNPS1/NKAP	9
GO:0051254	positive regulation of RNA metabolic process	10/23	453/4252	5,42002944284333e-05	0,00272669173509195	0,0023347819138402	HMGB1/SRSF1/HMGA2/SUB1/TRA2A/BCLAF1/THRAP3/DEK/UBTF/JMJD6	10
GO:0006376	mRNA splice site selection	3/23	18/4252	0,00010704256846615	0,00500041712691872	0,004281702738646	SRSF6/SRSF1/LUC7L2	3
GO:0006352	DNA-templated transcription, initiation	4/23	52/4252	0,000148377208548559	0,00646924629271719	0,00553941578581288	HMGB1/SUB1/BCLAF1/UBTF	4
GO:0051253	negative regulation of RNA metabolic process	8/23	320/4252	0,000169633227514137	0,00693375817464037	0,00593716296299481	SRSF2/SRSF6/HMGB1/HMGA2/BCLAF1/THRAP3/RNPS1/NKAP	8
GO:0045944	positive regulation of transcription by RNA polymerase II	7/23	239/4252	0,000183167566832844	0,00704656404168707	0,00603375514272899	HMGB1/HMGA2/SUB1/BCLAF1/THRAP3/DEK/JMJD6	7
GO:0033120	positive regulation of RNA splicing	3/23	26/4252	0,00033156167358957	0,0120467408070877	0,0103152520672311	SRSF1/TRA2A/THRAP3	3
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	3/23	27/4252	0,000371691646879592	0,0121543168529627	0,0104073661126286	SRSF6/THRAP3/RNPS1	3
GO:2000142	regulation of DNA-templated transcription, initiation	3/23	27/4252	0,000371691646879592	0,0121543168529627	0,0104073661126286	HMGB1/SUB1/BCLAF1	3
GO:0006303	double-strand break repair via nonhomologous end joining	3/23	29/4252	0,000461060209844405	0,01435873224944	0,0122949389291841	HMGB1/HMGA2/DEK	3
GO:0045893	positive regulation of transcription, DNA-templated	8/23	379/4252	0,000546963482936213	0,0161195523458177	0,0138026747915258	HMGB1/HMGA2/SUB1/BCLAF1/THRAP3/DEK/UBTF/JMJD6	8
GO:1902680	positive regulation of RNA biosynthetic process	8/23	381/4252	0,000566895571794811	0,0161195523458177	0,0138026747915258	HMGB1/HMGA2/SUB1/BCLAF1/THRAP3/DEK/UBTF/JMJD6	8
GO:0006366	transcription by RNA polymerase II	9/23	500/4252	0,000714640413490888	0,0194739512676267	0,0166749429814541	HMGB1/HMGA2/SUB1/BCLAF1/THRAP3/IWS1/DEK/JMJD6/NKAP	9
GO:0006360	transcription by RNA polymerase I	3/23	39/4252	0,00111315062974783	0,0291200204742033	0,0249345741063514	DEK/UBTF/TCOF1	3
GO:0001837	epithelial to mesenchymal transition	3/23	43/4252	0,00148209018938424	0,0362041479247232	0,0310004936358486	NOLC1/HMGA2/TCOF1	3
GO:2001032	regulation of double-strand break repair via nonhomologous end joining	2/23	11/4252	0,0014946666574427	0,0362041479247232	0,0310004936358486	HMGA2/DEK	2
GO:1903312	negative regulation of mRNA metabolic process	3/23	45/4252	0,00169216127328373	0,0380552748902049	0,0325855564809094	SRSF6/THRAP3/RNPS1	3
GO:0006357	regulation of transcription by RNA polymerase II	8/23	450/4252	0,00172066545312374	0,0380552748902049	0,0325855564809094	HMGB1/HMGA2/SUB1/BCLAF1/THRAP3/DEK/JMJD6/NKAP	8
GO:0010629	negative regulation of gene expression	7/23	347/4252	0,00176444074612556	0,0380552748902049	0,0325855564809094	SRSF3/SRSF6/HMGB1/HMGA2/THRAP3/RNPS1/MRTO4	7
GO:0000245	spliceosomal complex assembly	3/23	46/4252	0,0018038433051932	0,0380552748902049	0,0325855564809094	SRSF6/SRSF1/LUC7L2	3
GO:0043277	apoptotic cell clearance	2/23	13/4252	0,0021057985774699	0,0430372584270411	0,0368514751057232	HMGB1/JMJD6	2
GO:0071824	protein-DNA complex subunit organization	6/23	269/4252	0,00244820058415783	0,0457555865842744	0,0391790955461677	HMGB1/HMGA2/IWS1/DEK/UBTF/JMJD6	6
GO:0046637	regulation of alpha-beta T cell differentiation	2/23	14/4252	0,00244869347163548	0,0457555865842744	0,0391790955461677	HMGB1/NKAP	2
GO:0048025	negative regulation of mRNA splicing, via spliceosome	2/23	14/4252	0,00244869347163548	0,0457555865842744	0,0391790955461677	SRSF6/RNPS1	2
GO:0014032	neural crest cell development	2/23	15/4252	0,00281613509434843	0,0472244192744583	0,040436811611157	NOLC1/TCOF1	2
GO:0033119	negative regulation of RNA splicing	2/23	15/4252	0,00281613509434843	0,0472244192744583	0,040436811611157	SRSF6/RNPS1	2
GO:0048864	stem cell development	2/23	15/4252	0,00281613509434843	0,0472244192744583	0,040436811611157	NOLC1/TCOF1	2
GO:0050686	negative regulation of mRNA processing	2/23	15/4252	0,00281613509434843	0,0472244192744583	0,040436811611157	SRSF6/RNPS1	2
GO:0048762	mesenchymal cell differentiation	3/23	56/4252	0,00317981942101363	0,051169459266052	0,0438148275060996	NOLC1/HMGA2/TCOF1	3
GO:0014033	neural crest cell differentiation	2/23	16/4252	0,00320787129955372	0,051169459266052	0,0438148275060996	NOLC1/TCOF1	2
