ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001666	response to hypoxia	7/32	87/4252	2,6169351768402e-06	0,00184810166014676	0,00166171226395387	NOL3/SLC2A1/STC2/NDRG1/AK4/ERO1A/ANGPTL4	7
GO:0036293	response to decreased oxygen levels	7/32	92/4252	3,82234055873167e-06	0,00184810166014676	0,00166171226395387	NOL3/SLC2A1/STC2/NDRG1/AK4/ERO1A/ANGPTL4	7
GO:0070482	response to oxygen levels	7/32	102/4252	7,64728485449085e-06	0,00246497481809755	0,00221637097888051	NOL3/SLC2A1/STC2/NDRG1/AK4/ERO1A/ANGPTL4	7
GO:0071456	cellular response to hypoxia	5/32	43/4252	1,37072313659838e-05	0,00331372318272658	0,002979519239027	NOL3/STC2/NDRG1/AK4/ERO1A	5
GO:0036294	cellular response to decreased oxygen levels	5/32	48/4252	2,37427093046351e-05	0,00459183997951642	0,00412873218644812	NOL3/STC2/NDRG1/AK4/ERO1A	5
GO:0071453	cellular response to oxygen levels	5/32	56/4252	5,07573089557549e-05	0,00818038629336917	0,00735535740306203	NOL3/STC2/NDRG1/AK4/ERO1A	5
GO:1904036	negative regulation of epithelial cell apoptotic process	3/32	14/4252	0,000133279552651882	0,0184116182020529	0,0165547233820233	SRSF6/ICAM1/ANGPTL4	3
GO:0042981	regulation of apoptotic process	11/32	441/4252	0,000224732562700671	0,02363311551964	0,0212496091212351	NOL3/GPI/SRSF6/ANP32B/PTMA/ICAM1/ANP32E/HMGA2/PTMS/ANGPTL4/HMGB1	11
GO:0050684	regulation of mRNA processing	5/32	77/4252	0,000234760602085839	0,02363311551964	0,0212496091212351	TRA2A/THRAP3/SRSF6/IWS1/SRSF3	5
GO:0043067	regulation of programmed cell death	11/32	453/4252	0,000285550633963031	0,02363311551964	0,0212496091212351	NOL3/GPI/SRSF6/ANP32B/PTMA/ICAM1/ANP32E/HMGA2/PTMS/ANGPTL4/HMGB1	11
GO:0006376	mRNA splice site selection	3/32	18/4252	0,000292721650166804	0,02363311551964	0,0212496091212351	NOL3/SRSF6/SRSF1	3
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	7/32	182/4252	0,000317715100057208	0,02363311551964	0,0212496091212351	NOL3/TRA2A/THRAP3/SRSF6/SRSF2/SRSF3/SRSF1	7
GO:0000398	mRNA splicing, via spliceosome	7/32	182/4252	0,000317715100057208	0,02363311551964	0,0212496091212351	NOL3/TRA2A/THRAP3/SRSF6/SRSF2/SRSF3/SRSF1	7
GO:0000375	RNA splicing, via transesterification reactions	7/32	185/4252	0,000351317821011707	0,0242660237798801	0,0218186857259902	NOL3/TRA2A/THRAP3/SRSF6/SRSF2/SRSF3/SRSF1	7
GO:0008380	RNA splicing	8/32	256/4252	0,000458661184589992	0,0295683576999015	0,0265862553313217	NOL3/TRA2A/THRAP3/SRSF6/SRSF2/IWS1/SRSF3/SRSF1	8
GO:0043484	regulation of RNA splicing	5/32	93/4252	0,000567051690902599	0,0342711865689258	0,0308147826766807	TRA2A/THRAP3/SRSF6/SRSF3/SRSF1	5
GO:0043066	negative regulation of apoptotic process	8/32	277/4252	0,000778806335713081	0,0432869802690446	0,0389212928778434	NOL3/GPI/SRSF6/PTMA/ICAM1/HMGA2/PTMS/ANGPTL4	8
GO:0006397	mRNA processing	8/32	280/4252	0,000836597878774306	0,0432869802690446	0,0389212928778434	NOL3/TRA2A/THRAP3/SRSF6/SRSF2/IWS1/SRSF3/SRSF1	8
GO:0033120	positive regulation of RNA splicing	3/32	26/4252	0,000895283976608989	0,0432869802690446	0,0389212928778434	TRA2A/THRAP3/SRSF1	3
GO:1904035	regulation of epithelial cell apoptotic process	3/32	26/4252	0,000895283976608989	0,0432869802690446	0,0389212928778434	SRSF6/ICAM1/ANGPTL4	3
GO:0002456	T cell mediated immunity	3/32	27/4252	0,00100205802066167	0,0453259410201777	0,0407546152317714	HLA-B/ICAM1/HMGB1	3
GO:0043069	negative regulation of programmed cell death	8/32	289/4252	0,00103120031276516	0,0453259410201777	0,0407546152317714	NOL3/GPI/SRSF6/PTMA/ICAM1/HMGA2/PTMS/ANGPTL4	8
GO:0048024	regulation of mRNA splicing, via spliceosome	4/32	63/4252	0,00115326789650569	0,0484873937356958	0,0435972211676751	TRA2A/THRAP3/SRSF6/SRSF3	4
GO:0048878	chemical homeostasis	7/32	231/4252	0,0013340256234538	0,0537501157449927	0,0483291739023175	NOL3/GPI/STC2/PYGL/ICAM1/ERO1A/ANGPTL4	7
GO:0006094	gluconeogenesis	3/32	32/4252	0,00165634985265805	0,0640676123008135	0,0576061043492864	ALDOC/GPI/ENO2	3
GO:0016052	carbohydrate catabolic process	4/32	71/4252	0,00180345590328275	0,0670746868644006	0,0603099018668643	ALDOC/GPI/ENO2/PYGL	4
GO:0009628	response to abiotic stimulus	8/32	318/4252	0,00192028775547277	0,0683116042071899	0,0614220705112272	NOL3/GPI/SLC2A1/STC2/NDRG1/AK4/ERO1A/ANGPTL4	8
GO:0019319	hexose biosynthetic process	3/32	34/4252	0,00197799888087003	0,0683116042071899	0,0614220705112272	ALDOC/GPI/ENO2	3
GO:1904019	epithelial cell apoptotic process	3/32	35/4252	0,0021524185291546	0,0717720247480171	0,0645334920174845	SRSF6/ICAM1/ANGPTL4	3
GO:0072577	endothelial cell apoptotic process	2/32	10/4252	0,00237834741218738	0,0718706858620374	0,064622202712723	ICAM1/ANGPTL4	2
GO:0097428	protein maturation by iron-sulfur cluster transfer	2/32	10/4252	0,00237834741218738	0,0718706858620374	0,064622202712723	CISD1/CISD3	2
GO:2000351	regulation of endothelial cell apoptotic process	2/32	10/4252	0,00237834741218738	0,0718706858620374	0,064622202712723	ICAM1/ANGPTL4	2
GO:0046364	monosaccharide biosynthetic process	3/32	37/4252	0,00252932417771561	0,0736889408507676	0,0662570784768237	ALDOC/GPI/ENO2	3
GO:0042592	homeostatic process	9/32	413/4252	0,00259092449733826	0,0736889408507676	0,0662570784768237	NOL3/GPI/SLC2A1/STC2/PYGL/ICAM1/ERO1A/ANGPTL4/HMGB1	9
GO:0032615	interleukin-12 production	2/32	11/4252	0,00289323546212859	0,0769617418258314	0,0691998026975853	HLA-B/HMGB1	2
GO:0032655	regulation of interleukin-12 production	2/32	11/4252	0,00289323546212859	0,0769617418258314	0,0691998026975853	HLA-B/HMGB1	2
GO:0000380	alternative mRNA splicing, via spliceosome	3/32	39/4252	0,00294476157968538	0,0769617418258314	0,0691998026975853	THRAP3/SRSF6/SRSF1	3
GO:0006096	glycolytic process	3/32	40/4252	0,00316732765962831	0,0793863915199594	0,0713799155233075	ALDOC/GPI/ENO2	3
GO:0002697	regulation of immune effector process	4/32	83/4252	0,00320172623503455	0,0793863915199594	0,0713799155233075	GPI/HLA-B/ICAM1/HMGB1	4
GO:0000245	spliceosomal complex assembly	3/32	46/4252	0,00471980203656641	0,112334774715895	0,101005305519326	NOL3/SRSF6/SRSF1	3
GO:1903311	regulation of mRNA metabolic process	5/32	150/4252	0,00476290151329027	0,112334774715895	0,101005305519326	TRA2A/THRAP3/SRSF6/IWS1/SRSF3	5
GO:0001707	mesoderm formation	2/32	15/4252	0,00542066206311539	0,121901865465874	0,109607511973888	GPI/HMGA2	2
GO:0048332	mesoderm morphogenesis	2/32	15/4252	0,00542066206311539	0,121901865465874	0,109607511973888	GPI/HMGA2	2
GO:0016071	mRNA metabolic process	8/32	385/4252	0,00632053946472526	0,138908219599757	0,12489869851347	NOL3/TRA2A/THRAP3/SRSF6/SRSF2/IWS1/SRSF3/SRSF1	8
GO:0002286	T cell activation involved in immune response	2/32	17/4252	0,00695549695380392	0,143455206821403	0,128987101545179	ICAM1/HMGB1	2
GO:0043457	regulation of cellular respiration	2/32	17/4252	0,00695549695380392	0,143455206821403	0,128987101545179	CISD1/AK4	2
GO:0002703	regulation of leukocyte mediated immunity	3/32	54/4252	0,00740431015776694	0,143455206821403	0,128987101545179	HLA-B/ICAM1/HMGB1	3
GO:0033500	carbohydrate homeostasis	3/32	54/4252	0,00740431015776694	0,143455206821403	0,128987101545179	GPI/PYGL/ICAM1	3
GO:0042593	glucose homeostasis	3/32	54/4252	0,00740431015776694	0,143455206821403	0,128987101545179	GPI/PYGL/ICAM1	3
GO:0005996	monosaccharide metabolic process	4/32	105/4252	0,00741753913244069	0,143455206821403	0,128987101545179	ALDOC/GPI/ENO2/SLC2A1	4
GO:0006090	pyruvate metabolic process	3/32	56/4252	0,00819102018549036	0,15232147152633	0,136959163425406	ALDOC/GPI/ENO2	3
