ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034774	secretory granule lumen	11/53	154/4353	1,6068123841117e-06	9,50160184817434e-05	8,07828497213203e-05	ARSA/PFKL/ARSB/GLB1/DPP7/FUCA1/RNASET2/GPI/GGH/ALDOC/PYGL	11
GO:0060205	cytoplasmic vesicle lumen	11/53	155/4353	1,71390166693174e-06	9,50160184817434e-05	8,07828497213203e-05	ARSA/PFKL/ARSB/GLB1/DPP7/FUCA1/RNASET2/GPI/GGH/ALDOC/PYGL	11
GO:0031983	vesicle lumen	11/53	156/4353	1,82723112464891e-06	9,50160184817434e-05	8,07828497213203e-05	ARSA/PFKL/ARSB/GLB1/DPP7/FUCA1/RNASET2/GPI/GGH/ALDOC/PYGL	11
GO:0035578	azurophil granule lumen	7/53	56/4353	3,8727227655774e-06	0,000121200866457881	0,00010304527107755	ARSA/ARSB/GLB1/DPP7/FUCA1/RNASET2/GGH	7
GO:0005788	endoplasmic reticulum lumen	9/53	106/4353	3,8846431557013e-06	0,000121200866457881	0,00010304527107755	PDIA5/ARSA/ARSB/H6PD/P4HA2/RNASET2/P4HA1/STC2/ERO1A	9
GO:0005775	vacuolar lumen	8/53	87/4353	7,83235162030452e-06	0,000203641142127917	0,000173136193711995	ARSA/ARSB/GLB1/DPP7/FUCA1/RNASET2/GGH/GAA	8
GO:0005766	primary lysosome	8/53	91/4353	1,09751276700193e-05	0,000214014989565376	0,000181956064002952	ARSA/ARSB/GLB1/DPP7/FUCA1/RNASET2/GGH/GAA	8
GO:0042582	azurophil granule	8/53	91/4353	1,09751276700193e-05	0,000214014989565376	0,000181956064002952	ARSA/ARSB/GLB1/DPP7/FUCA1/RNASET2/GGH/GAA	8
GO:0043202	lysosomal lumen	6/53	45/4353	1,38107042967347e-05	0,000239385541143402	0,000203526168583459	ARSA/ARSB/GLB1/FUCA1/RNASET2/GAA	6
GO:0101002	ficolin-1-rich granule	8/53	107/4353	3,62639020169112e-05	0,000565716871463815	0,000480973858329559	PFKL/ARSB/GLB1/GPI/LGALS3/GAA/ALDOC/PYGL	8
GO:0030141	secretory granule	13/53	314/4353	6,71648718508792e-05	0,000952520000794287	0,00080983481848907	ARSA/PFKL/ARSB/GLB1/DPP7/FUCA1/RNASET2/GPI/LGALS3/GGH/GAA/ALDOC/PYGL	13
GO:0099503	secretory vesicle	13/53	345/4353	0,000176531246942316	0,0022949062102501	0,00195113483462559	ARSA/PFKL/ARSB/GLB1/DPP7/FUCA1/RNASET2/GPI/LGALS3/GGH/GAA/ALDOC/PYGL	13
GO:0000323	lytic vacuole	11/53	277/4353	0,000391177966171118	0,00435884019447817	0,00370589652162112	ARSA/ARSB/GLB1/CTBS/SIAE/DPP7/FUCA1/RNASET2/GGH/GAA/LRP1	11
GO:0005764	lysosome	11/53	277/4353	0,000391177966171118	0,00435884019447817	0,00370589652162112	ARSA/ARSB/GLB1/CTBS/SIAE/DPP7/FUCA1/RNASET2/GGH/GAA/LRP1	11
GO:1904813	ficolin-1-rich granule lumen	6/53	83/4353	0,000449361179825759	0,0046733562701879	0,00397329885319619	PFKL/ARSB/GLB1/GPI/ALDOC/PYGL	6
GO:0005773	vacuole	11/53	307/4353	0,00093696796865632	0,00913543769439912	0,00776697131912476	ARSA/ARSB/GLB1/CTBS/SIAE/DPP7/FUCA1/RNASET2/GGH/GAA/LRP1	11
GO:0070820	tertiary granule	4/53	61/4353	0,00612322155126682	0,0561895624704484	0,0477725025052396	LGALS3/GGH/GAA/ALDOC	4
GO:0072562	blood microparticle	3/53	34/4353	0,00781506668715086	0,0677305779553075	0,0575847019053222	HBA1/SLC2A1/ANGPTL4	3
GO:0001917	photoreceptor inner segment	2/53	12/4353	0,00887976109145203	0,0692621365133258	0,0588868367117345	ENO2/SLC2A1	2
GO:0005796	Golgi lumen	2/53	12/4353	0,00887976109145203	0,0692621365133258	0,0588868367117345	SDF4/ERO1A	2
GO:0030867	rough endoplasmic reticulum membrane	2/53	14/4353	0,0120543508076755	0,0895466059998754	0,0761327419432139	PLOD1/PLOD2	2
GO:0014704	intercalated disc	2/53	17/4353	0,0176007220269972	0,124805119827798	0,106109616047925	DSC2/SLC2A1	2
GO:1904724	tertiary granule lumen	2/53	20/4353	0,0240248295189214	0,162951017606597	0,138541351001561	GGH/ALDOC	2
GO:0016529	sarcoplasmic reticulum	2/53	23/4353	0,0312585318171619	0,203180456811552	0,172744517936947	S100A1/NOL3	2
GO:0101003	ficolin-1-rich granule membrane	2/53	24/4353	0,0338384225148456	0,211151756492636	0,179521736289286	LGALS3/GAA	2
GO:0043073	germ cell nucleus	2/53	27/4353	0,0420518146615925	0,233688614650768	0,198682627840734	MARCKS/SLC2A1	2
GO:0016323	basolateral plasma membrane	3/53	65/4353	0,0438526631151402	0,233688614650768	0,198682627840734	CADM1/SLC2A1/LRP1	3
GO:0005791	rough endoplasmic reticulum	2/53	28/4353	0,0449401182020707	0,233688614650768	0,198682627840734	PLOD1/PLOD2	2
GO:0016528	sarcoplasm	2/53	28/4353	0,0449401182020707	0,233688614650768	0,198682627840734	S100A1/NOL3	2
