ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016607	nuclear speck	5/13	165/4353	7,40553615711816e-05	0,00348060199384554	0,00296221446284727	SRSF2/SRSF6/SRSF3/SRSF11/AK6	5
GO:0016604	nuclear body	6/13	315/4353	0,000152031247388036	0,00357273431361885	0,00304062494776072	SRSF2/SRSF6/SRSF3/NOLC1/SRSF11/AK6	6
GO:0015030	Cajal body	2/13	31/4353	0,00364642114195001	0,0571272645572169	0,0486189485593335	NOLC1/AK6	2
GO:0031966	mitochondrial membrane	4/13	383/4353	0,0222246726025917	0,20737822186554	0,176492103715353	FLVCR1/TMX2/ERAL1/TYMS	4
GO:0005740	mitochondrial envelope	4/13	413/4353	0,0285597757042663	0,20737822186554	0,176492103715353	FLVCR1/TMX2/ERAL1/TYMS	4
GO:0031526	brush border membrane	1/13	10/4353	0,0294963886218155	0,20737822186554	0,176492103715353	SLC5A6	1
GO:0000152	nuclear ubiquitin ligase complex	1/13	11/4353	0,03240141900356	0,20737822186554	0,176492103715353	UBE2S	1
GO:0044233	mitochondria-associated endoplasmic reticulum membrane	1/13	12/4353	0,0352984207430707	0,20737822186554	0,176492103715353	TMX2	1
GO:0005743	mitochondrial inner membrane	3/13	287/4353	0,0495148564307419	0,258577583582763	0,220066028581075	FLVCR1/ERAL1/TYMS	3
GO:0019866	organelle inner membrane	3/13	307/4353	0,0585559538419114	0,275212983056984	0,234223815367646	FLVCR1/ERAL1/TYMS	3
GO:0044232	organelle membrane contact site	1/13	27/4353	0,0778037329967683	0,332434131895283	0,282922665442794	TMX2	1
GO:0005903	brush border	1/13	35/4353	0,0997597597744224	0,390725725783154	0,332532532581408	SLC5A6	1
GO:0031461	cullin-RING ubiquitin ligase complex	1/13	39/4353	0,110555877501297	0,399702018658535	0,340171930773221	UBE2S	1
GO:0098862	cluster of actin-based cell projections	1/13	45/4353	0,126526140809304	0,424766329859806	0,361503259455154	SLC5A6	1
GO:0001650	fibrillar center	1/13	57/4353	0,157675524956422	0,494049978196789	0,420468066550459	NOLC1	1
GO:0016323	basolateral plasma membrane	1/13	65/4353	0,177868607017878	0,496091255274898	0,422205323638211	SLC5A6	1
GO:0009925	basal plasma membrane	1/13	71/4353	0,192719127649426	0,496091255274898	0,422205323638211	SLC5A6	1
GO:0016324	apical plasma membrane	1/13	71/4353	0,192719127649426	0,496091255274898	0,422205323638211	SLC5A6	1
GO:0045178	basal part of cell	1/13	78/4353	0,209731606481051	0,496091255274898	0,422205323638211	SLC5A6	1
GO:0000151	ubiquitin ligase complex	1/13	81/4353	0,216920848064125	0,496091255274898	0,422205323638211	UBE2S	1
GO:0031253	cell projection membrane	1/13	85/4353	0,226412607606505	0,496091255274898	0,422205323638211	SLC5A6	1
GO:0005759	mitochondrial matrix	2/13	312/4353	0,237950633844611	0,496091255274898	0,422205323638211	ERAL1/TYMS	2
GO:0045177	apical part of cell	1/13	92/4353	0,242768061091971	0,496091255274898	0,422205323638211	SLC5A6	1
GO:0005938	cell cortex	1/13	137/4353	0,340519763440821	0,666851203404942	0,567532939068036	NDFIP1	1
GO:0030425	dendrite	1/13	153/4353	0,37236946871305	0,673129424212051	0,572876105712384	NDFIP1	1
GO:0097447	dendritic tree	1/13	153/4353	0,37236946871305	0,673129424212051	0,572876105712384	NDFIP1	1
GO:0000139	Golgi membrane	1/13	176/4353	0,415671639643685	0,723576557898266	0,615809836509163	NDFIP1	1
GO:0010008	endosome membrane	1/13	195/4353	0,44934452786429	0,72533394832618	0,617305487937174	NDFIP1	1
GO:0005813	centrosome	1/13	202/4353	0,461292003460708	0,72533394832618	0,617305487937174	AK6	1
GO:0036477	somatodendritic compartment	1/13	203/4353	0,462979115952881	0,72533394832618	0,617305487937174	NDFIP1	1
GO:0005815	microtubule organizing center	1/13	256/4353	0,545726251019556	0,775577536191038	0,660065988247692	AK6	1
GO:0048471	perinuclear region of cytoplasm	1/13	269/4353	0,564138738739017	0,775577536191038	0,660065988247692	NDFIP1	1
GO:0098590	plasma membrane region	1/13	277/4353	0,575124485912345	0,775577536191038	0,660065988247692	SLC5A6	1
GO:1990234	transferase complex	1/13	280/4353	0,57917782090916	0,775577536191038	0,660065988247692	UBE2S	1
GO:0043005	neuron projection	1/13	320/4353	0,629920084025523	0,775577536191038	0,660065988247692	NDFIP1	1
GO:0005768	endosome	1/13	344/4353	0,657589578721442	0,775577536191038	0,660065988247692	NDFIP1	1
GO:0030659	cytoplasmic vesicle membrane	1/13	369/4353	0,684371365991145	0,775577536191038	0,660065988247692	NDFIP1	1
GO:0005789	endoplasmic reticulum membrane	1/13	370/4353	0,68540127870252	0,775577536191038	0,660065988247692	TMX2	1
GO:0098827	endoplasmic reticulum subcompartment	1/13	372/4353	0,687451803920182	0,775577536191038	0,660065988247692	TMX2	1
GO:0140535	intracellular protein-containing complex	1/13	376/4353	0,691515892787883	0,775577536191038	0,660065988247692	UBE2S	1
GO:0012506	vesicle membrane	1/13	379/4353	0,694531885539121	0,775577536191038	0,660065988247692	NDFIP1	1
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	1/13	380/4353	0,695531152144051	0,775577536191038	0,660065988247692	TMX2	1
GO:0045202	synapse	1/13	398/4353	0,713009861876645	0,775577536191038	0,660065988247692	NDFIP1	1
GO:0005794	Golgi apparatus	1/13	434/4353	0,745221831940288	0,775577536191038	0,660065988247692	NDFIP1	1
