ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030139	endocytic vesicle	2/2	124/4353	0,000805098917582195	0,0201274729395549	0,0135595607171738	LRP1/HBA1	2
GO:0072562	blood microparticle	1/2	34/4353	0,0155621841258901	0,111000994179978	0,0747796171317748	HBA1	1
GO:0005905	clathrin-coated pit	1/2	38/4353	0,0173850057769492	0,111000994179978	0,0747796171317748	LRP1	1
GO:0043235	receptor complex	1/2	52/4353	0,0237515793705491	0,111000994179978	0,0747796171317748	LRP1	1
GO:0030666	endocytic vesicle membrane	1/2	59/4353	0,026927106559371	0,111000994179978	0,0747796171317748	LRP1	1
GO:0016323	basolateral plasma membrane	1/2	65/4353	0,0296448696639238	0,111000994179978	0,0747796171317748	LRP1	1
GO:0009925	basal plasma membrane	1/2	71/4353	0,0323588321441601	0,111000994179978	0,0747796171317748	LRP1	1
GO:0045178	basal part of cell	1/2	78/4353	0,035520318137593	0,111000994179978	0,0747796171317748	LRP1	1
GO:0098797	plasma membrane protein complex	1/2	105/4353	0,0476661632950907	0,13240600915303	0,0891998377451989	LRP1	1
GO:0005769	early endosome	1/2	156/4353	0,0703983307658006	0,149835959207412	0,100942119887099	LRP1	1
GO:0005765	lysosomal membrane	1/2	160/4353	0,0721696328427996	0,149835959207412	0,100942119887099	LRP1	1
GO:0098852	lytic vacuole membrane	1/2	160/4353	0,0721696328427996	0,149835959207412	0,100942119887099	LRP1	1
GO:0005774	vacuolar membrane	1/2	173/4353	0,0779146987878542	0,149835959207412	0,100942119887099	LRP1	1
GO:0005925	focal adhesion	1/2	246/4353	0,109844060384319	0,171156834498483	0,115305656925294	LRP1	1
GO:0030055	cell-substrate junction	1/2	248/4353	0,110710919447034	0,171156834498483	0,115305656925294	LRP1	1
GO:0000323	lytic vacuole	1/2	277/4353	0,123232920838908	0,171156834498483	0,115305656925294	LRP1	1
GO:0005764	lysosome	1/2	277/4353	0,123232920838908	0,171156834498483	0,115305656925294	LRP1	1
GO:0098590	plasma membrane region	1/2	277/4353	0,123232920838908	0,171156834498483	0,115305656925294	LRP1	1
GO:0005773	vacuole	1/2	307/4353	0,136093283367792	0,179070109694464	0,120636705478376	LRP1	1
GO:0005768	endosome	1/2	344/4353	0,151823539546763	0,180923573879069	0,12188535503432	LRP1	1
GO:0070161	anchoring junction	1/2	356/4353	0,156894205821543	0,180923573879069	0,12188535503432	LRP1	1
GO:0030659	cytoplasmic vesicle membrane	1/2	369/4353	0,162370272023351	0,180923573879069	0,12188535503432	LRP1	1
GO:0012506	vesicle membrane	1/2	379/4353	0,166570489756895	0,180923573879069	0,12188535503432	LRP1	1
GO:0098796	membrane protein complex	1/2	396/4353	0,173686630923906	0,180923573879069	0,12188535503432	LRP1	1
GO:0005794	Golgi apparatus	1/2	434/4353	0,189482975736815	0,189482975736815	0,127651688917433	LRP1	1
