ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016607	nuclear speck	9/23	165/4353	6,7324290041286e-08	3,23156592198173e-06	2,83470694910678e-06	SRSF2/SRSF3/SRSF6/SRSF1/BCLAF1/THRAP3/LUC7L2/RNPS1/RBM39	9
GO:0016604	nuclear body	10/23	315/4353	1,67454590063329e-06	4,0189101615199e-05	3,52535979080693e-05	SRSF2/SRSF3/SRSF6/NOLC1/SRSF1/BCLAF1/THRAP3/LUC7L2/RNPS1/RBM39	10
GO:0005730	nucleolus	9/23	454/4353	0,000289146212239295	0,00462633939582872	0,00405819245248134	NOLC1/SUB1/TRA2A/EBNA1BP2/DEK/UBTF/JMJD6/MRTO4/TCOF1	9
GO:0016592	mediator complex	2/23	12/4353	0,00170700570521253	0,0204840684625504	0,0179684811075003	BCLAF1/THRAP3	2
GO:0030687	preribosome, large subunit precursor	2/23	14/4353	0,00233851410177804	0,0224497353770692	0,0196927503307625	EBNA1BP2/MRTO4	2
GO:0001650	fibrillar center	3/23	57/4353	0,0031309935288896	0,0250479482311168	0,0219718844132603	NOLC1/UBTF/TCOF1	3
GO:0005681	spliceosomal complex	3/23	121/4353	0,0247324511202952	0,169593950539167	0,148766623279971	SRSF1/TRA2A/LUC7L2	3
GO:1990904	ribonucleoprotein complex	6/23	475/4353	0,0327887016618598	0,196732209971159	0,172572114009789	SRSF1/TRA2A/LUC7L2/EBNA1BP2/JMJD6/MRTO4	6
GO:0030684	preribosome	2/23	77/4353	0,0615068267118471	0,266565338393375	0,233829244204715	EBNA1BP2/MRTO4	2
GO:0071004	U2-type prespliceosome	1/23	12/4353	0,0616697622722118	0,266565338393375	0,233829244204715	LUC7L2	1
GO:0071010	prespliceosome	1/23	12/4353	0,0616697622722118	0,266565338393375	0,233829244204715	LUC7L2	1
GO:0005685	U1 snRNP	1/23	13/4353	0,0666413345983438	0,266565338393375	0,233829244204715	LUC7L2	1
