ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030312	external encapsulating structure	17/94	85/4353	1,07310177626142e-12	1,14821890059972e-10	9,94031119063208e-11	LTBP2/LGALS3BP/MMP14/CLU/FN1/GPC1/LAMC1/GPC4/LAMA5/EGFL7/COL6A1/NID1/AGRN/LAMB2/FBLN1/HSPG2/TGFBI	17
GO:0031012	extracellular matrix	17/94	85/4353	1,07310177626142e-12	1,14821890059972e-10	9,94031119063208e-11	LTBP2/LGALS3BP/MMP14/CLU/FN1/GPC1/LAMC1/GPC4/LAMA5/EGFL7/COL6A1/NID1/AGRN/LAMB2/FBLN1/HSPG2/TGFBI	17
GO:0043202	lysosomal lumen	13/94	45/4353	3,95034126240572e-12	2,81791010051608e-10	2,43950899011722e-10	RNASET2/SGSH/GLB1/GAA/GLA/GPC1/FUCA1/GPC4/IFI30/GUSB/CTSV/AGRN/HSPG2	13
GO:0062023	collagen-containing extracellular matrix	16/94	81/4353	6,54108575378131e-12	3,499480878273e-10	3,0295555070145e-10	LTBP2/LGALS3BP/CLU/FN1/GPC1/LAMC1/GPC4/LAMA5/EGFL7/COL6A1/NID1/AGRN/LAMB2/FBLN1/HSPG2/TGFBI	16
GO:0005775	vacuolar lumen	16/94	87/4353	2,07955792826024e-11	8,90050793295383e-10	7,70530937629057e-10	RNASET2/SGSH/GLB1/GCA/NAPRT/GAA/GLA/GPC1/FUCA1/GPC4/IFI30/GUSB/CTSV/GGH/AGRN/HSPG2	16
GO:0005604	basement membrane	9/94	22/4353	2,73819834413596e-10	9,7662407607516e-09	8,4547878696128e-09	FN1/LAMC1/LAMA5/NID1/AGRN/LAMB2/FBLN1/HSPG2/TGFBI	9
GO:0005796	Golgi lumen	7/94	12/4353	1,26908089851071e-09	3,87976160401846e-08	3,35877049831406e-08	SDF4/ERO1A/MMP14/GPC1/GPC4/AGRN/HSPG2	7
GO:0005788	endoplasmic reticulum lumen	12/94	106/4353	2,09707922237415e-06	5,60968691985084e-05	4,85639398865592e-05	GPX7/ERO1A/RNASET2/FKBP10/CLU/FN1/UGGT2/LAMC1/RCN3/COL6A1/SELENOM/LAMB2	12
GO:0000323	lytic vacuole	19/94	277/4353	4,68010442632718e-06	0,000100154234723402	8,67050925298509e-05	RNASET2/SGSH/GLB1/GCA/NAPRT/NAGA/GAA/GLA/GPC1/FUCA1/GPC4/IFI30/COL6A1/GUSB/CTSV/GGH/AGRN/HSPG2/LRP1	19
GO:0005764	lysosome	19/94	277/4353	4,68010442632718e-06	0,000100154234723402	8,67050925298509e-05	RNASET2/SGSH/GLB1/GCA/NAPRT/NAGA/GAA/GLA/GPC1/FUCA1/GPC4/IFI30/COL6A1/GUSB/CTSV/GGH/AGRN/HSPG2/LRP1	19
GO:0005773	vacuole	19/94	307/4353	2,08933445259592e-05	0,000378854212862174	0,00032798003671295	RNASET2/SGSH/GLB1/GCA/NAPRT/NAGA/GAA/GLA/GPC1/FUCA1/GPC4/IFI30/COL6A1/GUSB/CTSV/GGH/AGRN/HSPG2/LRP1	19
GO:0035578	azurophil granule lumen	8/94	56/4353	2,1244161468907e-05	0,000378854212862174	0,00032798003671295	RNASET2/GLB1/GCA/NAPRT/GLA/FUCA1/GUSB/GGH	8
GO:0034774	secretory granule lumen	12/94	154/4353	9,71501907327735e-05	0,00157057772304286	0,00135967377892545	LGALS3BP/RNASET2/GLB1/GCA/CLU/NAPRT/FN1/GLA/FUCA1/PYGL/GUSB/GGH	12
GO:0060205	cytoplasmic vesicle lumen	12/94	155/4353	0,000103444469970945	0,00157057772304286	0,00135967377892545	LGALS3BP/RNASET2/GLB1/GCA/CLU/NAPRT/FN1/GLA/FUCA1/PYGL/GUSB/GGH	12
