ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022625	cytosolic large ribosomal subunit	17/66	41/4353	1,49458492828703e-21	3,00411570585694e-19	2,32840599354191e-19	RPL35/RPL4/RPL18/RPL6/RPL19/RPL18A/RPL13/RPL28/RPL26L1/RPL14/RPL13A/RPL15/RPL7/RPL24/RPL8/RSL1D1/RPL36AL	17
GO:0022626	cytosolic ribosome	18/66	79/4353	2,07911399252553e-17	2,08950956248816e-15	1,61952037312515e-15	RPL35/RPL4/RPL18/RPL6/RPL19/RPL18A/RPL13/RPL28/RPL26L1/RPL14/RPL13A/RPL15/RPL7/RPL24/RPL8/RPS9/RSL1D1/RPL36AL	18
GO:0015934	large ribosomal subunit	17/66	87/4353	2,96476100513723e-15	1,98638987344194e-13	1,53959518863267e-13	RPL35/RPL4/RPL18/RPL6/RPL19/RPL18A/RPL13/RPL28/RPL26L1/RPL14/RPL13A/RPL15/RPL7/RPL24/RPL8/RSL1D1/RPL36AL	17
GO:0044391	ribosomal subunit	18/66	141/4353	9,47757846616395e-13	4,76248317924738e-11	3,69126740261122e-11	RPL35/RPL4/RPL18/RPL6/RPL19/RPL18A/RPL13/RPL28/RPL26L1/RPL14/RPL13A/RPL15/RPL7/RPL24/RPL8/RPS9/RSL1D1/RPL36AL	18
GO:0005840	ribosome	18/66	172/4353	2,99536025627886e-11	1,2041348230241e-09	9,3329119564057e-10	RPL35/RPL4/RPL18/RPL6/RPL19/RPL18A/RPL13/RPL28/RPL26L1/RPL14/RPL13A/RPL15/RPL7/RPL24/RPL8/RPS9/RSL1D1/RPL36AL	18
GO:0042788	polysomal ribosome	6/66	21/4353	4,38000011782353e-07	1,46730003947088e-05	1,13726318848751e-05	RPL18/RPL6/RPL19/RPL18A/RPL24/RPL8	6
GO:0005844	polysome	6/66	43/4353	3,78877441685886e-05	0,00108791951112662	0,000843215960443777	RPL18/RPL6/RPL19/RPL18A/RPL24/RPL8	6
GO:0070161	anchoring junction	16/66	356/4353	5,47315848351149e-05	0,00132391503361546	0,00102612948402769	PDLIM1/KRT18/KRT8/ITGA2/RPL4/CD44/RPL18/RPL6/MPP1/RPL19/RPL13A/RPL7/RPL8/RPS9/LIMA1/SDCBP	16
GO:0005925	focal adhesion	13/66	246/4353	6,05402525914489e-05	0,00132391503361546	0,00102612948402769	PDLIM1/ITGA2/RPL4/CD44/RPL18/RPL6/RPL19/RPL13A/RPL7/RPL8/RPS9/LIMA1/SDCBP	13
GO:0030055	cell-substrate junction	13/66	248/4353	6,58664195828588e-05	0,00132391503361546	0,00102612948402769	PDLIM1/ITGA2/RPL4/CD44/RPL18/RPL6/RPL19/RPL13A/RPL7/RPL8/RPS9/LIMA1/SDCBP	13
GO:1990904	ribonucleoprotein complex	18/66	475/4353	0,000160842425120966	0,00293902976811947	0,00227795970506249	RPL35/RPL4/RPL18/RPL6/RPL19/RPL18A/RPL13/RPL28/RPL26L1/RPL14/RPL13A/RPL15/RPL7/RPL24/RPL8/RPS9/RSL1D1/RPL36AL	18
GO:0098862	cluster of actin-based cell projections	5/66	45/4353	0,000525700351559632	0,00880548088862384	0,00682488175708996	MPP1/MYO3B/SLC5A6/MYO1B/LIMA1	5
GO:0045202	synapse	15/66	398/4353	0,00068615744270712	0,010609049691087	0,00822277745106508	ITGA2/RPL6/SLC29A1/ARR3/RPL19/PRKAR1B/RPL13/RPL28/RPL14/RPL13A/RPL7/RPL24/RPL8/RPS9/SDCBP	15
GO:0043235	receptor complex	5/66	52/4353	0,00103051839784946	0,0141251462678165	0,0109480054864459	GPRC5A/ITGA2/CD44/TFRC/SDCBP	5
GO:0045178	basal part of cell	6/66	78/4353	0,00105411539312064	0,0141251462678165	0,0109480054864459	ITGA2/CD44/SLC29A1/TFRC/SLC39A14/SLC5A6	6
GO:0005882	intermediate filament	4/66	35/4353	0,00177298192565083	0,0222730854409886	0,0172632450655476	KRT19/KRT18/KRT8/TLK2	4
GO:0045177	apical part of cell	6/66	92/4353	0,00247988359162698	0,0293209765833543	0,0227258682080986	CD44/SLC29A1/SLC26A2/SLC39A14/SLC5A6/MYO1B	6
GO:0098590	plasma membrane region	11/66	277/4353	0,0026299421763832	0,0293676876362791	0,0227620726377026	KRT19/KRT8/ARRB1/CD44/SLC29A1/SCARB1/SLC26A2/TFRC/SLC39A14/SLC5A6/LIMA1	11
GO:0016323	basolateral plasma membrane	5/66	65/4353	0,00281474687109374	0,0297770590047286	0,0230793649264196	CD44/SLC29A1/TFRC/SLC39A14/SLC5A6	5
GO:0009925	basal plasma membrane	5/66	71/4353	0,00413779313272107	0,0396045914131873	0,030696410207655	CD44/SLC29A1/TFRC/SLC39A14/SLC5A6	5
