ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0062023	collagen-containing extracellular matrix	14/49	81/4353	7,50844408405783e-14	7,78990333366731e-12	6,12330063822106e-12	FN1/LAMB2/GPC1/AGRN/COL6A1/EGFL7/NID1/HSPG2/COL1A1/GPC4/LTBP2/CLU/FBLN1/TGFBI	14
GO:0030312	external encapsulating structure	14/49	85/4353	1,5175136364287e-13	7,78990333366731e-12	6,12330063822106e-12	FN1/LAMB2/GPC1/AGRN/COL6A1/EGFL7/NID1/HSPG2/COL1A1/GPC4/LTBP2/CLU/FBLN1/TGFBI	14
GO:0031012	extracellular matrix	14/49	85/4353	1,5175136364287e-13	7,78990333366731e-12	6,12330063822106e-12	FN1/LAMB2/GPC1/AGRN/COL6A1/EGFL7/NID1/HSPG2/COL1A1/GPC4/LTBP2/CLU/FBLN1/TGFBI	14
GO:0005604	basement membrane	7/49	22/4353	2,20542236761795e-09	8,49087611532913e-08	6,67430453358065e-08	FN1/LAMB2/AGRN/NID1/HSPG2/FBLN1/TGFBI	7
GO:0005796	Golgi lumen	4/49	12/4353	6,56869026733681e-06	0,000202315660233974	0,000159031448577628	GPC1/AGRN/HSPG2/GPC4	4
GO:0001533	cornified envelope	4/49	18/4353	3,86342121794448e-05	0,000991611445939083	0,000779462175550202	DSP/JUP/DSC2/KRT16	4
GO:0043202	lysosomal lumen	5/49	45/4353	0,000127815430776577	0,00281193947708469	0,00221034203598592	GPC1/AGRN/HSPG2/GPC4/CTSV	5
GO:0009986	cell surface	8/49	142/4353	0,000152950077014702	0,00294428898253301	0,00231437616535404	CD109/MCAM/GPC1/EGFL7/EPCAM/GPC4/CLU/TFPI	8
GO:0030057	desmosome	3/49	12/4353	0,000274670537648201	0,00469991808864699	0,003694399044391	DSP/JUP/DSC2	3
GO:0005775	vacuolar lumen	6/49	87/4353	0,000376113195928694	0,00579214321730189	0,00455294921387367	GPC1/NAPRT/AGRN/HSPG2/GPC4/CTSV	6
GO:0005882	intermediate filament	4/49	35/4353	0,000574257763301269	0,00803960868621776	0,00631958304111444	DSP/EPPK1/JUP/KRT16	4
GO:0014704	intercalated disc	3/49	17/4353	0,000815972834574005	0,0104716513770331	0,00823130491017637	DSP/JUP/DSC2	3
GO:0045111	intermediate filament cytoskeleton	4/49	47/4353	0,00177162564263502	0,0209869499204456	0,0164969189395164	DSP/EPPK1/JUP/KRT16	4
GO:0000323	lytic vacuole	9/49	277/4353	0,00323141384707516	0,030830619552071	0,0242345949999191	DTX3L/GPC1/NAPRT/AGRN/COL6A1/LRP1/HSPG2/GPC4/CTSV	9
GO:0005764	lysosome	9/49	277/4353	0,00323141384707516	0,030830619552071	0,0242345949999191	DTX3L/GPC1/NAPRT/AGRN/COL6A1/LRP1/HSPG2/GPC4/CTSV	9
GO:0098552	side of membrane	6/49	133/4353	0,0034517410743462	0,030830619552071	0,0242345949999191	CD109/MCAM/JUP/GPC1/GPC4/TFPI	6
GO:0031091	platelet alpha granule	3/49	28/4353	0,00360357890868363	0,030830619552071	0,0242345949999191	FN1/CD109/CLU	3
GO:0044291	cell-cell contact zone	3/49	28/4353	0,00360357890868363	0,030830619552071	0,0242345949999191	DSP/JUP/DSC2	3
GO:0070161	anchoring junction	10/49	356/4353	0,00538079063141781	0,0420050107632732	0,0330182928077677	DSP/MCAM/PALLD/EPPK1/JUP/LRP1/EPCAM/HSPG2/PODXL/DSC2	10
GO:0016323	basolateral plasma membrane	4/49	65/4353	0,00579832611245171	0,0420050107632732	0,0330182928077677	DSP/EPPK1/LRP1/EPCAM	4
GO:0072562	blood microparticle	3/49	34/4353	0,00627832283210198	0,0420050107632732	0,0330182928077677	FN1/CLU/HBA1	3
GO:0005788	endoplasmic reticulum lumen	5/49	106/4353	0,00634043458087034	0,0420050107632732	0,0330182928077677	FN1/LAMB2/COL6A1/COL1A1/CLU	5
GO:0005773	vacuole	9/49	307/4353	0,00638837805147213	0,0420050107632732	0,0330182928077677	DTX3L/GPC1/NAPRT/AGRN/COL6A1/LRP1/HSPG2/GPC4/CTSV	9
GO:0005911	cell-cell junction	6/49	154/4353	0,0070685665025777	0,0420050107632732	0,0330182928077677	DSP/EPPK1/JUP/EPCAM/PODXL/DSC2	6
GO:0099081	supramolecular polymer	9/49	312/4353	0,00709175506392924	0,0420050107632732	0,0330182928077677	DSP/PALLD/EPPK1/JUP/COL6A1/CALD1/COL1A1/FBLN1/KRT16	9
GO:0099512	supramolecular fiber	9/49	312/4353	0,00709175506392924	0,0420050107632732	0,0330182928077677	DSP/PALLD/EPPK1/JUP/COL6A1/CALD1/COL1A1/FBLN1/KRT16	9
GO:0045095	keratin filament	2/49	12/4353	0,00762465416212145	0,043488768183952	0,0341846093038584	EPPK1/KRT16	2
GO:0009925	basal plasma membrane	4/49	71/4353	0,00792114765414178	0,0435663120977798	0,0342455631664025	DSP/EPPK1/LRP1/EPCAM	4
GO:0043296	apical junction complex	3/49	41/4353	0,0105854673859808	0,0562124819807259	0,0441861615022794	EPPK1/JUP/EPCAM	3
GO:0045178	basal part of cell	4/49	78/4353	0,0109799301140141	0,0563636412519392	0,0443049811618114	DSP/EPPK1/LRP1/EPCAM	4
GO:0098636	protein complex involved in cell adhesion	2/49	17/4353	0,0151586973737349	0,075304496630812	0,0591935551096608	LAMB2/NID1	2
GO:0031093	platelet alpha granule lumen	2/49	20/4353	0,0207287641282161	0,0997571773670397	0,0784147327218699	FN1/CLU	2
GO:0030141	secretory granule	8/49	314/4353	0,0224012940952056	0,104539372444293	0,0821738060908657	FN1/CD109/DSP/JUP/NAPRT/ANXA3/COL1A1/CLU	8
GO:0098590	plasma membrane region	7/49	277/4353	0,0336981986373553	0,152633017357433	0,119978106603587	FN1/DSP/EPPK1/LRP1/EPCAM/PODXL/TFPI	7
GO:0099503	secretory vesicle	8/49	345/4353	0,0367537416766195	0,159908572917495	0,125697101062966	FN1/CD109/DSP/JUP/NAPRT/ANXA3/COL1A1/CLU	8
GO:0005912	adherens junction	3/49	66/4353	0,037381224837856	0,159908572917495	0,125697101062966	DSP/JUP/DSC2	3
GO:0016234	inclusion body	2/49	29/4353	0,0415496846512474	0,172936525305192	0,135937801846187	GPX1/CLU	2
GO:0016324	apical plasma membrane	3/49	71/4353	0,044913407174932	0,182017492235251	0,143075950834271	FN1/EPCAM/PODXL	3
GO:0005923	bicellular tight junction	2/49	32/4353	0,0496945029285165	0,19622957566645	0,154247444987298	EPPK1/EPCAM	2
GO:0045121	membrane raft	3/49	75/4353	0,0514443308670708	0,198060673838223	0,155686790781925	GPC1/PODXL/TFPI	3
GO:0098857	membrane microdomain	3/49	76/4353	0,0531459213127262	0,199621265418532	0,15691350323398	GPC1/PODXL/TFPI	3
GO:0030055	cell-substrate junction	6/49	248/4353	0,0577140556763149	0,211618204146488	0,166343769493138	MCAM/PALLD/EPPK1/JUP/LRP1/HSPG2	6
GO:0070160	tight junction	2/49	36/4353	0,0613642556033279	0,219769659602616	0,172751270364326	EPPK1/EPCAM	2
