ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1904813	ficolin-1-rich granule lumen	5/32	83/4353	0,000299998104722414	0,0428997289753052	0,0413681597038276	ALDOC/GPI/PYGL/PDAP1/HMGB1	5
GO:0101002	ficolin-1-rich granule	5/32	107/4353	0,00096942706032824	0,0693140348134691	0,0668394446857892	ALDOC/GPI/PYGL/PDAP1/HMGB1	5
GO:0001917	photoreceptor inner segment	2/32	12/4353	0,00330069849960624	0,118736367942149	0,114497344132657	ENO2/SLC2A1	2
GO:0034774	secretory granule lumen	5/32	154/4353	0,0048256625253865	0,118736367942149	0,114497344132657	ALDOC/GPI/GGH/PYGL/HMGB1	5
GO:0060205	cytoplasmic vesicle lumen	5/32	155/4353	0,00496060089309338	0,118736367942149	0,114497344132657	ALDOC/GPI/GGH/PYGL/HMGB1	5
GO:0031983	vesicle lumen	5/32	156/4353	0,00509822292284318	0,118736367942149	0,114497344132657	ALDOC/GPI/GGH/PYGL/HMGB1	5
GO:0016607	nuclear speck	5/32	165/4353	0,00646240742000237	0,118736367942149	0,114497344132657	THRAP3/SRSF6/SRSF2/SRSF3/SRSF1	5
GO:0030141	secretory granule	7/32	314/4353	0,00664259401074959	0,118736367942149	0,114497344132657	ALDOC/GPI/GGH/HLA-B/PYGL/PDAP1/HMGB1	7
GO:1904724	tertiary granule lumen	2/32	20/4353	0,00916004087561856	0,145542871690384	0,140346825111817	ALDOC/GGH	2
GO:0099503	secretory vesicle	7/32	345/4353	0,0109880850957558	0,157129616869308	0,15151991026779	ALDOC/GPI/GGH/HLA-B/PYGL/PDAP1/HMGB1	7
GO:0072562	blood microparticle	2/32	34/4353	0,0253735172054402	0,329855723670723	0,318079497982074	SLC2A1/ANGPTL4	2
GO:0055038	recycling endosome membrane	2/32	38/4353	0,0312235703726957	0,372080880274624	0,358797168317819	HLA-B/NDRG1	2
GO:0009897	external side of plasma membrane	2/32	51/4353	0,0533937958715074	0,535474621339857	0,516357566400598	HLA-B/ICAM1	2
GO:0019774	proteasome core complex, beta-subunit complex	1/32	10/4353	0,0711989573358234	0,535474621339857	0,516357566400598	PSMB10	1
GO:0070820	tertiary granule	2/32	61/4353	0,0732629012132815	0,535474621339857	0,516357566400598	ALDOC/GGH	2
GO:0016604	nuclear body	5/32	315/4353	0,0772806965481969	0,535474621339857	0,516357566400598	THRAP3/SRSF6/SRSF2/SRSF3/SRSF1	5
GO:0097346	INO80-type complex	1/32	11/4353	0,0780425293747953	0,535474621339857	0,516357566400598	ANP32E	1
GO:0098553	lumenal side of endoplasmic reticulum membrane	1/32	11/4353	0,0780425293747953	0,535474621339857	0,516357566400598	HLA-B	1
