ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031966	mitochondrial membrane	3/6	383/4353	0,0110478315186945	0,213669555358164	0,190312964286624	FLVCR1/TMX2/ERAL1	3
GO:0005740	mitochondrial envelope	3/6	413/4353	0,0136339683049593	0,213669555358164	0,190312964286624	FLVCR1/TMX2/ERAL1	3
GO:0044233	mitochondria-associated endoplasmic reticulum membrane	1/6	12/4353	0,0164361196429357	0,213669555358164	0,190312964286624	TMX2	1
GO:0034702	ion channel complex	1/6	19/4353	0,0259194476293316	0,247001453098001	0,220001294257329	TTYH3	1
GO:0044232	organelle membrane contact site	1/6	27/4353	0,0366641127529188	0,247001453098001	0,220001294257329	TMX2	1
GO:0001669	acrosomal vesicle	1/6	28/4353	0,0380002235535386	0,247001453098001	0,220001294257329	MFGE8	1
GO:0005743	mitochondrial inner membrane	2/6	287/4353	0,0544451642620402	0,275188337438176	0,245107021199995	FLVCR1/ERAL1	2
GO:0019866	organelle inner membrane	2/6	307/4353	0,0615316878661098	0,275188337438176	0,245107021199995	FLVCR1/ERAL1	2
GO:0009897	external side of plasma membrane	1/6	51/4353	0,0683073337896122	0,275188337438176	0,245107021199995	MFGE8	1
GO:0030659	cytoplasmic vesicle membrane	2/6	369/4353	0,0855238478845844	0,275188337438176	0,245107021199995	NDFIP1/MFGE8	2
GO:0012506	vesicle membrane	2/6	379/4353	0,0896580435734596	0,275188337438176	0,245107021199995	NDFIP1/MFGE8	2
GO:1902495	transmembrane transporter complex	1/6	75/4353	0,0990796029402258	0,275188337438176	0,245107021199995	TTYH3	1
GO:0062023	collagen-containing extracellular matrix	1/6	81/4353	0,106638850972003	0,275188337438176	0,245107021199995	MFGE8	1
GO:0030312	external encapsulating structure	1/6	85/4353	0,111648926030744	0,275188337438176	0,245107021199995	MFGE8	1
GO:0031012	extracellular matrix	1/6	85/4353	0,111648926030744	0,275188337438176	0,245107021199995	MFGE8	1
GO:1990351	transporter complex	1/6	86/4353	0,112897779461816	0,275188337438176	0,245107021199995	TTYH3	1
GO:0030667	secretory granule membrane	1/6	103/4353	0,133905506480106	0,298066938530595	0,265484722577858	MFGE8	1
GO:0005788	endoplasmic reticulum lumen	1/6	106/4353	0,13756935624489	0,298066938530595	0,265484722577858	MFGE8	1
GO:0098552	side of membrane	1/6	133/4353	0,169966737035275	0,327778639178429	0,291948585503054	MFGE8	1
GO:0005938	cell cortex	1/6	137/4353	0,174678919035612	0,327778639178429	0,291948585503054	NDFIP1	1
GO:0009986	cell surface	1/6	142/4353	0,180537777302633	0,327778639178429	0,291948585503054	MFGE8	1
GO:0030425	dendrite	1/6	153/4353	0,193305351310355	0,327778639178429	0,291948585503054	NDFIP1	1
GO:0097447	dendritic tree	1/6	153/4353	0,193305351310355	0,327778639178429	0,291948585503054	NDFIP1	1
GO:0000139	Golgi membrane	1/6	176/4353	0,219466159135384	0,356632508594999	0,317648388222267	NDFIP1	1
GO:0010008	endosome membrane	1/6	195/4353	0,240540423720194	0,373906195362163	0,333033858217311	NDFIP1	1
GO:0036477	somatodendritic compartment	1/6	203/4353	0,249270796908108	0,373906195362163	0,333033858217311	NDFIP1	1
GO:0048471	perinuclear region of cytoplasm	1/6	269/4353	0,318158015069938	0,459561577323244	0,40932610125957	NDFIP1	1
GO:0005759	mitochondrial matrix	1/6	312/4353	0,360139275918804	0,461321098812317	0,410893286391537	ERAL1	1
GO:0030141	secretory granule	1/6	314/4353	0,362038206195457	0,461321098812317	0,410893286391537	MFGE8	1
GO:0043005	neuron projection	1/6	320/4353	0,367706842777048	0,461321098812317	0,410893286391537	NDFIP1	1
GO:0005768	endosome	1/6	344/4353	0,389963517071399	0,461321098812317	0,410893286391537	NDFIP1	1
GO:0099503	secretory vesicle	1/6	345/4353	0,390876517544727	0,461321098812317	0,410893286391537	MFGE8	1
GO:0005789	endoplasmic reticulum membrane	1/6	370/4353	0,413334306722081	0,461321098812317	0,410893286391537	TMX2	1
GO:0098827	endoplasmic reticulum subcompartment	1/6	372/4353	0,415100706028425	0,461321098812317	0,410893286391537	TMX2	1
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	1/6	380/4353	0,422122049406924	0,461321098812317	0,410893286391537	TMX2	1
GO:0098796	membrane protein complex	1/6	396/4353	0,43595416186944	0,461321098812317	0,410893286391537	TTYH3	1
GO:0045202	synapse	1/6	398/4353	0,437663606565531	0,461321098812317	0,410893286391537	NDFIP1	1
GO:0005794	Golgi apparatus	1/6	434/4353	0,467703389955342	0,480011373901535	0,427540494973028	NDFIP1	1
GO:0031984	organelle subcompartment	1/6	472/4353	0,497949175213086	0,497949175213086	0,443517483995461	TMX2	1
