ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001533	cornified envelope	7/103	18/4353	8,7003382970457e-08	1,93147510194415e-05	1,59353564598521e-05	JUP/PKP3/DSG2/DSP/NCL/DSC2/KRT16	7
GO:0062023	collagen-containing extracellular matrix	12/103	81/4353	2,93877615059481e-07	2,80473822272838e-05	2,31400877550848e-05	CLU/LGALS3BP/GPC4/EGFL7/COL6A1/AGRN/LAMB2/NID1/LTBP2/HSPG2/FBLN1/TGFBI	12
GO:0030312	external encapsulating structure	12/103	85/4353	5,05358238329437e-07	2,80473822272838e-05	2,31400877550848e-05	CLU/LGALS3BP/GPC4/EGFL7/COL6A1/AGRN/LAMB2/NID1/LTBP2/HSPG2/FBLN1/TGFBI	12
GO:0031012	extracellular matrix	12/103	85/4353	5,05358238329437e-07	2,80473822272838e-05	2,31400877550848e-05	CLU/LGALS3BP/GPC4/EGFL7/COL6A1/AGRN/LAMB2/NID1/LTBP2/HSPG2/FBLN1/TGFBI	12
GO:0030057	desmosome	5/103	12/4353	4,67296499628632e-06	0,000207479645835113	0,000171178086179752	JUP/PKP3/DSG2/DSP/DSC2	5
GO:0005604	basement membrane	6/103	22/4353	8,32195647679154e-06	0,000307912389641287	0,000254038671396794	AGRN/LAMB2/NID1/HSPG2/FBLN1/TGFBI	6
GO:0014704	intercalated disc	5/103	17/4353	3,3218423266019e-05	0,0010534985664366	0,000869173781697338	JUP/SLC2A1/DSG2/DSP/DSC2	5
GO:0009986	cell surface	12/103	142/4353	0,000108790270948718	0,00280937848282157	0,00231783715510172	CLU/ALCAM/DSG2/MCAM/GPC4/PLAU/EGFL7/CD109/HLA-B/TFPI/EPCAM/HMGB1	12
GO:0016607	nuclear speck	13/103	165/4353	0,00011389372227655	0,00280937848282157	0,00231783715510172	RBM39/PPIG/SRSF11/SNRNP70/LUC7L3/BCLAF1/LUC7L2/THRAP3/RNPS1/SRSF1/SRSF6/SRSF3/SRSF2	13
GO:0005775	vacuolar lumen	9/103	87/4353	0,000181140541768016	0,00388907596021648	0,00320862597002213	IFI30/GCA/NAPRT/GPC4/AGRN/GUSB/GGH/HSPG2/CTSV	9
GO:0070161	anchoring junction	20/103	356/4353	0,000192701961992709	0,00388907596021648	0,00320862597002213	ALCAM/MRC2/JUP/PKP3/SLC2A1/RIGI/NDRG1/CDC42EP1/DSG2/SORBS2/MCAM/PLAU/DSP/ZNF185/EPPK1/EPCAM/HSPG2/LRP1/PODXL/DSC2	20
GO:0005911	cell-cell junction	12/103	154/4353	0,000236152045507626	0,00436881284189109	0,00360442595774798	JUP/PKP3/SLC2A1/RIGI/NDRG1/CDC42EP1/DSG2/DSP/EPPK1/EPCAM/PODXL/DSC2	12
GO:0044291	cell-cell contact zone	5/103	28/4353	0,000428835184749063	0,00732318546263785	0,00604188843290178	JUP/SLC2A1/DSG2/DSP/DSC2	5
GO:0043202	lysosomal lumen	6/103	45/4353	0,000584283059786963	0,00926505994805042	0,00764400394007005	IFI30/GPC4/AGRN/GUSB/HSPG2/CTSV	6
GO:0019774	proteasome core complex, beta-subunit complex	3/103	10/4353	0,00136823520843887	0,0202498810848953	0,0167068720188326	PSMB8/PSMB9/PSMB10	3
GO:0005796	Golgi lumen	3/103	12/4353	0,00242331992030775	0,0298876123504623	0,0246583430487455	GPC4/AGRN/HSPG2	3
GO:0071004	U2-type prespliceosome	3/103	12/4353	0,00242331992030775	0,0298876123504623	0,0246583430487455	SNRNP70/LUC7L3/LUC7L2	3
GO:0071010	prespliceosome	3/103	12/4353	0,00242331992030775	0,0298876123504623	0,0246583430487455	SNRNP70/LUC7L3/LUC7L2	3
GO:0016604	nuclear body	16/103	315/4353	0,00264749714690307	0,0309339140322358	0,0255215791446612	RBM39/PPIG/SRSF11/HMG20B/SNRNP70/LUC7L3/BCLAF1/LUC7L2/THRAP3/NOLC1/CBX5/RNPS1/SRSF1/SRSF6/SRSF3/SRSF2	16
GO:0005685	U1 snRNP	3/103	13/4353	0,00309649329895183	0,0343710756183653	0,0283573596851378	SNRNP70/LUC7L3/LUC7L2	3
GO:0005912	adherens junction	6/103	66/4353	0,00436692705672199	0,0461646574567754	0,0380874841037407	JUP/PKP3/NDRG1/CDC42EP1/DSP/DSC2	6
