ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030246	carbohydrate binding	13/53	66/4337	3,58792254950432e-13	5,81243453019699e-11	5,13639438665881e-11	MAN2C1/PFKL/PLOD1/H6PD/PLOD2/P4HA2/MRC2/GPI/LGALS3/GAA/P4HA1/GYS1/PYGL	13
GO:0048029	monosaccharide binding	8/53	30/4337	1,37087447812696e-09	1,11040832728284e-07	9,81257521185615e-08	PFKL/PLOD1/PLOD2/P4HA2/GPI/P4HA1/GYS1/PYGL	8
GO:0016798	hydrolase activity, acting on glycosyl bonds	6/53	32/4337	1,77140030886126e-06	9,56556166785082e-05	8,45299796509234e-05	MAN2C1/MACROD1/GLB1/CTBS/FUCA1/GAA	6
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	5/53	25/4337	9,92867512272352e-06	0,000402111342470303	0,000355342057023789	MAN2C1/GLB1/CTBS/FUCA1/GAA	5
GO:0051213	dioxygenase activity	5/53	27/4337	1,48095381977218e-05	0,000479829037606186	0,00042402046208214	PLOD1/PEDS1/PLOD2/P4HA2/P4HA1	5
GO:0019842	vitamin binding	6/53	54/4337	4,11048705231946e-05	0,00105783841340479	0,000934801976757967	PLOD1/CISD1/PLOD2/P4HA2/P4HA1/PYGL	6
GO:0043177	organic acid binding	6/53	55/4337	4,57090672458859e-05	0,00105783841340479	0,000934801976757967	HBA1/PLOD1/PLOD2/P4HA2/P4HA1/PYGL	6
GO:0005506	iron ion binding	5/53	37/4337	7,28931379780371e-05	0,00147608604405525	0,00130440352171224	HBA1/PLOD1/PLOD2/P4HA2/P4HA1	5
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	5/53	41/4337	0,00012076579277356	0,00200200877058797	0,00176915654840782	PLOD1/PEDS1/PLOD2/P4HA2/P4HA1	5
GO:0016706	2-oxoglutarate-dependent dioxygenase activity	4/53	22/4337	0,000123580788307899	0,00200200877058797	0,00176915654840782	PLOD1/PLOD2/P4HA2/P4HA1	4
GO:0016491	oxidoreductase activity	12/53	310/4337	0,000266091239810968	0,00391879825903426	0,00346300560902313	PDIA5/PGK1/HBA1/PLOD1/H6PD/PEDS1/VKORC1/PLOD2/P4HA2/P4HA1/TM7SF2/ERO1A	12
GO:0031406	carboxylic acid binding	5/53	54/4337	0,000451933507258318	0,00610110234798729	0,00539148745501151	PLOD1/PLOD2/P4HA2/P4HA1/PYGL	5
GO:0015035	protein-disulfide reductase activity	3/53	22/4337	0,00225246624432398	0,0280691947369604	0,0248044865771709	PDIA5/PGK1/ERO1A	3
GO:0015036	disulfide oxidoreductase activity	3/53	27/4337	0,00409786568826107	0,047418160107021	0,0419029874889854	PDIA5/PGK1/ERO1A	3
GO:0016860	intramolecular oxidoreductase activity	3/53	30/4337	0,00554311875403663	0,0554569834155626	0,0490068209520241	PDIA5/MPI/GPI	3
GO:0048018	receptor ligand activity	3/53	30/4337	0,00554311875403663	0,0554569834155626	0,0490068209520241	GPI/LGALS3/STC2	3
GO:0005509	calcium ion binding	6/53	136/4337	0,00581955998805287	0,0554569834155626	0,0490068209520241	ARSA/SDF4/S100A1/DSC2/NOL3/LRP1	6
GO:0030546	signaling receptor activator activity	3/53	32/4337	0,00665654722983762	0,0599089250685386	0,0529409604244396	GPI/LGALS3/STC2	3
GO:0030545	signaling receptor regulator activity	3/53	35/4337	0,00856048544021907	0,0729894021744995	0,0645000565024817	GPI/LGALS3/STC2	3
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	3/53	36/4337	0,00925900124534983	0,0749979100873336	0,066274956282504	PDIA5/PGK1/ERO1A	3
