ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050145	nucleoside monophosphate kinase activity	1/13	11/4337	0,0325193017744648	0,2732817612135	0,254789010454692	AK6	1
GO:0061631	ubiquitin conjugating enzyme activity	1/13	11/4337	0,0325193017744648	0,2732817612135	0,254789010454692	UBE2S	1
GO:0015294	solute:cation symporter activity	1/13	12/4337	0,035426664020635	0,2732817612135	0,254789010454692	SLC5A6	1
GO:0043024	ribosomal small subunit binding	1/13	12/4337	0,035426664020635	0,2732817612135	0,254789010454692	ERAL1	1
GO:0015081	sodium ion transmembrane transporter activity	1/13	13/4337	0,038325959596989	0,2732817612135	0,254789010454692	SLC5A6	1
GO:0061650	ubiquitin-like protein conjugating enzyme activity	1/13	14/4337	0,0412172090246578	0,2732817612135	0,254789010454692	UBE2S	1
GO:0015293	symporter activity	1/13	15/4337	0,0441004327773015	0,2732817612135	0,254789010454692	SLC5A6	1
GO:0008509	anion transmembrane transporter activity	1/13	17/4337	0,049842884915403	0,2732817612135	0,254789010454692	SLC5A6	1
GO:0015103	inorganic anion transmembrane transporter activity	1/13	19/4337	0,0555534788549377	0,2732817612135	0,254789010454692	SLC5A6	1
GO:0016776	phosphotransferase activity, phosphate group as acceptor	1/13	19/4337	0,0555534788549377	0,2732817612135	0,254789010454692	AK6	1
GO:0036002	pre-mRNA binding	1/13	21/4337	0,0612323766863441	0,2732817612135	0,254789010454692	SRSF6	1
GO:0072341	modified amino acid binding	1/13	24/4337	0,0696916459584388	0,2732817612135	0,254789010454692	TYMS	1
GO:0005525	GTP binding	2/13	147/4337	0,0697005044946577	0,2732817612135	0,254789010454692	NOLC1/ERAL1	2
GO:0019001	guanyl nucleotide binding	2/13	148/4337	0,0705366940171751	0,2732817612135	0,254789010454692	NOLC1/ERAL1	2
GO:0032561	guanyl ribonucleotide binding	2/13	148/4337	0,0705366940171751	0,2732817612135	0,254789010454692	NOLC1/ERAL1	2
GO:0005342	organic acid transmembrane transporter activity	1/13	25/4337	0,0724957286392964	0,2732817612135	0,254789010454692	SLC5A6	1
GO:0019205	nucleobase-containing compound kinase activity	1/13	25/4337	0,0724957286392964	0,2732817612135	0,254789010454692	AK6	1
GO:0046943	carboxylic acid transmembrane transporter activity	1/13	25/4337	0,0724957286392964	0,2732817612135	0,254789010454692	SLC5A6	1
GO:0020037	heme binding	1/13	26/4337	0,0752920077505417	0,2732817612135	0,254789010454692	FLVCR1	1
GO:0015036	disulfide oxidoreductase activity	1/13	27/4337	0,0780805032038572	0,2732817612135	0,254789010454692	TMX2	1
GO:0046906	tetrapyrrole binding	1/13	31/4337	0,0891570450565508	0,297190150188503	0,277079538521611	FLVCR1	1
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	1/13	36/4337	0,102829960312418	0,308077427029822	0,287230082343594	TMX2	1
GO:0008514	organic anion transmembrane transporter activity	1/13	37/4337	0,105541704212893	0,308077427029822	0,287230082343594	SLC5A6	1
GO:0022857	transmembrane transporter activity	2/13	187/4337	0,105626546410225	0,308077427029822	0,287230082343594	FLVCR1/SLC5A6	2
GO:0015291	secondary active transmembrane transporter activity	1/13	39/4337	0,110942508405277	0,310639023534776	0,289618337731671	SLC5A6	1
GO:0046873	metal ion transmembrane transporter activity	1/13	41/4337	0,11631319665192	0,313150914062861	0,291960250705224	SLC5A6	1
GO:0019843	rRNA binding	1/13	44/4337	0,124313098323795	0,322293217876505	0,300483902381103	ERAL1	1
GO:0005215	transporter activity	2/13	225/4337	0,143628645884399	0,334857282439189	0,312197767086161	FLVCR1/SLC5A6	2
GO:0022853	active ion transmembrane transporter activity	1/13	53/4337	0,147913465837162	0,334857282439189	0,312197767086161	SLC5A6	1
GO:0019842	vitamin binding	1/13	54/4337	0,150499162602829	0,334857282439189	0,312197767086161	TYMS	1
GO:0031406	carboxylic acid binding	1/13	54/4337	0,150499162602829	0,334857282439189	0,312197767086161	TYMS	1
GO:0043177	organic acid binding	1/13	55/4337	0,153077614829344	0,334857282439189	0,312197767086161	TYMS	1
GO:1901702	salt transmembrane transporter activity	1/13	63/4337	0,173446653379376	0,365821224069513	0,341066404395636	SLC5A6	1
GO:0043022	ribosome binding	1/13	67/4337	0,183460698362918	0,365821224069513	0,341066404395636	ERAL1	1
GO:0090079	translation regulator activity, nucleic acid binding	1/13	68/4337	0,185946649398347	0,365821224069513	0,341066404395636	TYMS	1
GO:0003714	transcription corepressor activity	1/13	71/4337	0,193362647008171	0,365821224069513	0,341066404395636	SRSF2	1
GO:0008168	methyltransferase activity	1/13	71/4337	0,193362647008171	0,365821224069513	0,341066404395636	TYMS	1
GO:0016741	transferase activity, transferring one-carbon groups	1/13	77/4337	0,208007904877345	0,372460987053687	0,347256860110205	TYMS	1
GO:0046982	protein heterodimerization activity	1/13	77/4337	0,208007904877345	0,372460987053687	0,347256860110205	NOLC1	1
GO:0045182	translation regulator activity	1/13	79/4337	0,212834849744964	0,372460987053687	0,347256860110205	TYMS	1
GO:0046983	protein dimerization activity	2/13	297/4337	0,22222782082079	0,379413352620862	0,353738764849525	NOLC1/TYMS	2
GO:0022890	inorganic cation transmembrane transporter activity	1/13	88/4337	0,234221910406645	0,390369850677741	0,363953845744661	SLC5A6	1
GO:0008324	cation transmembrane transporter activity	1/13	91/4337	0,241230866148848	0,392701410009753	0,366127630385033	SLC5A6	1
GO:0004842	ubiquitin-protein transferase activity	1/13	99/4337	0,259632955318457	0,405186653897892	0,377768008145403	UBE2S	1
GO:0015318	inorganic molecular entity transmembrane transporter activity	1/13	103/4337	0,268678687753926	0,405186653897892	0,377768008145403	SLC5A6	1
GO:0015075	ion transmembrane transporter activity	1/13	108/4337	0,279842379062804	0,405186653897892	0,377768008145403	SLC5A6	1
GO:0022804	active transmembrane transporter activity	1/13	108/4337	0,279842379062804	0,405186653897892	0,377768008145403	SLC5A6	1
GO:0043021	ribonucleoprotein complex binding	1/13	108/4337	0,279842379062804	0,405186653897892	0,377768008145403	ERAL1	1
GO:0019787	ubiquitin-like protein transferase activity	1/13	111/4337	0,286464867041211	0,405186653897892	0,377768008145403	UBE2S	1
GO:0016755	aminoacyltransferase activity	1/13	113/4337	0,290848579190838	0,405186653897892	0,377768008145403	UBE2S	1
GO:0033218	amide binding	1/13	115/4337	0,295207419268464	0,405186653897892	0,377768008145403	TYMS	1
GO:0140678	molecular function inhibitor activity	1/13	130/4337	0,327118885816208	0,44035234629105	0,410554067218723	NOLC1	1
GO:0030674	protein-macromolecule adaptor activity	1/13	159/4337	0,385064812588722	0,50857616757001	0,474161238937453	NOLC1	1
GO:0003712	transcription coregulator activity	1/13	171/4337	0,407665903155949	0,528455800387341	0,492695633443837	SRSF2	1
GO:0016746	acyltransferase activity	1/13	182/4337	0,427707472387879	0,539104290469836	0,502623549009471	UBE2S	1
GO:0016301	kinase activity	1/13	184/4337	0,431283432375869	0,539104290469836	0,502623549009471	AK6	1
GO:0016887	ATP hydrolysis activity	1/13	192/4337	0,445382007257224	0,539629348941722	0,503113077208824	AK6	1
GO:0003729	mRNA binding	1/13	193/4337	0,447121460551713	0,539629348941722	0,503113077208824	TYMS	1
GO:0060090	molecular adaptor activity	1/13	226/4337	0,501776197428189	0,591891530287338	0,551838719967142	NOLC1	1
GO:0019904	protein domain specific binding	1/13	231/4337	0,509607855408009	0,591891530287338	0,551838719967142	NDFIP1	1
GO:0042803	protein homodimerization activity	1/13	235/4337	0,515791190678966	0,591891530287338	0,551838719967142	TYMS	1
GO:0016772	transferase activity, transferring phosphorus-containing groups	1/13	243/4337	0,527942517191426	0,593617258596854	0,553447669669248	AK6	1
GO:0140657	ATP-dependent activity	1/13	252/4337	0,541275947542667	0,593617258596854	0,553447669669248	AK6	1
GO:0140110	transcription regulator activity	1/13	253/4337	0,542735779288553	0,593617258596854	0,553447669669248	SRSF2	1
GO:0017111	nucleoside-triphosphatase activity	1/13	298/4337	0,604159547193352	0,645299583754394	0,601632694628157	AK6	1
GO:0016491	oxidoreductase activity	1/13	310/4337	0,619200627151586	0,645299583754394	0,601632694628157	TMX2	1
GO:0016462	pyrophosphatase activity	1/13	323/4337	0,634898577191843	0,645299583754394	0,601632694628157	AK6	1
GO:0016817	hydrolase activity, acting on acid anhydrides	1/13	324/4337	0,636081018272188	0,645299583754394	0,601632694628157	AK6	1
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	1/13	324/4337	0,636081018272188	0,645299583754394	0,601632694628157	AK6	1
GO:0098772	molecular function regulator activity	1/13	485/4337	0,786462730377986	0,786462730377986	0,733243447871205	NOLC1	1
