ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0038024	cargo receptor activity	1/2	10/4337	0,0046066966895173	0,0313415117665133	0,00749796932213238	LRP1	1
GO:0043394	proteoglycan binding	1/2	10/4337	0,0046066966895173	0,0313415117665133	0,00749796932213238	LRP1	1
GO:0070325	lipoprotein particle receptor binding	1/2	13/4337	0,00598663180544656	0,0313415117665133	0,00749796932213238	LRP1	1
GO:0001540	amyloid-beta binding	1/2	17/4337	0,00782505634602126	0,0313415117665133	0,00749796932213238	LRP1	1
GO:0004601	peroxidase activity	1/2	19/4337	0,00874363049602367	0,0313415117665133	0,00749796932213238	HBA1	1
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	1/2	19/4337	0,00874363049602367	0,0313415117665133	0,00749796932213238	HBA1	1
GO:0020037	heme binding	1/2	26/4337	0,0119552898895374	0,0313415117665133	0,00749796932213238	HBA1	1
GO:0030276	clathrin binding	1/2	28/4337	0,0128719496786854	0,0313415117665133	0,00749796932213238	LRP1	1
GO:0016209	antioxidant activity	1/2	29/4337	0,013330120043188	0,0313415117665133	0,00749796932213238	HBA1	1
GO:0046906	tetrapyrrole binding	1/2	31/4337	0,0142461417120515	0,0313415117665133	0,00749796932213238	HBA1	1
GO:0005506	iron ion binding	1/2	37/4337	0,0169916542375017	0,0339833084750034	0,0081299781040678	HBA1	1
GO:0140104	molecular carrier activity	1/2	53/4337	0,0242943027770145	0,0403236716250031	0,00964681139354141	HBA1	1
GO:0043177	organic acid binding	1/2	55/4337	0,0252052194835991	0,0403236716250031	0,00964681139354141	HBA1	1
GO:1901681	sulfur compound binding	1/2	56/4337	0,0256605183068201	0,0403236716250031	0,00964681139354141	LRP1	1
GO:0038023	signaling receptor activity	1/2	70/4337	0,0320235347269315	0,0440323602495309	0,0105340574759643	LRP1	1
GO:0060089	molecular transducer activity	1/2	70/4337	0,0320235347269315	0,0440323602495309	0,0105340574759643	LRP1	1
GO:0042277	peptide binding	1/2	83/4337	0,0379133849558466	0,0490643805310956	0,0117378900792095	LRP1	1
GO:0033218	amide binding	1/2	115/4337	0,0523349033928432	0,0639648819245861	0,0153026033312407	LRP1	1
GO:0005509	calcium ion binding	1/2	136/4337	0,0617398392107049	0,0714882348755531	0,0171024485348213	LRP1	1
GO:0046914	transition metal ion binding	1/2	271/4337	0,121080239797095	0,133188263776804	0,0318632209992354	HBA1	1
GO:0005102	signaling receptor binding	1/2	290/4337	0,12927625673536	0,135432268960853	0,0324000643447017	LRP1	1
GO:0016491	oxidoreductase activity	1/2	310/4337	0,137862165167651	0,137862165167651	0,0329813792267108	HBA1	1
