ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	extracellular matrix structural constituent	11/94	20/4337	3,91314607883815e-14	8,02194946161821e-12	7,00247193055249e-12	LTBP2/FN1/LAMC1/LAMA5/COL6A1/NID1/AGRN/LAMB2/FBLN1/HSPG2/TGFBI	11
GO:0005509	calcium ion binding	15/94	136/4337	1,44510133501616e-07	1,48122886839156e-05	1,29298540501446e-05	FKBP9/NOL3/LTBP2/SDF4/FKBP10/GCA/RCN3/EGFL7/NID1/AGRN/FBLN1/HSPG2/S100A1/DSC2/LRP1	15
GO:0005518	collagen binding	6/94	24/4337	8,67626506977101e-06	0,000459936487165814	0,000401484995215345	FN1/MRC2/COL6A1/NID1/HSPG2/TGFBI	6
GO:0005102	signaling receptor binding	19/94	290/4337	9,68791265693749e-06	0,000459936487165814	0,000401484995215345	NOL3/PALM/ISG15/SEMA3C/ALCAM/MMP14/HLA-B/CLU/FN1/GLA/TYMP/LAMA5/EGFL7/GUSB/LAMB2/FBLN1/HSPG2/LRP1/TGFBI	19
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	6/94	25/4337	1,12179631016052e-05	0,000459936487165814	0,000401484995215345	GLB1/NAGA/GAA/GLA/FUCA1/GUSB	6
GO:0043394	proteoglycan binding	4/94	10/4337	3,93456353097676e-05	0,00134430920641706	0,00117346631625623	FN1/NID1/AGRN/LRP1	4
GO:0016798	hydrolase activity, acting on glycosyl bonds	6/94	32/4337	5,07834499705532e-05	0,00148722960628049	0,00129822353308181	GLB1/NAGA/GAA/GLA/FUCA1/GUSB	6
GO:0005178	integrin binding	7/94	49/4337	7,33548786337656e-05	0,00187971876499024	0,00164083281154476	ISG15/MMP14/FN1/LAMA5/LAMB2/FBLN1/TGFBI	7
GO:0050840	extracellular matrix binding	4/94	17/4337	0,000396786872710818	0,00903792321174641	0,00788932963284667	GPC1/NID1/AGRN/TGFBI	4
GO:0004601	peroxidase activity	4/94	19/4337	0,000625050786786077	0,0116486737537405	0,0101682903113524	GPX7/GPX1/GPX4/HBA1	4
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	4/94	19/4337	0,000625050786786077	0,0116486737537405	0,0101682903113524	GPX7/GPX1/GPX4/HBA1	4
GO:0008236	serine-type peptidase activity	4/94	26/4337	0,00214650596696507	0,033848747940603	0,0295470456991143	SCPEP1/MMP14/PLAU/CTSV	4
GO:0019838	growth factor binding	4/94	26/4337	0,00214650596696507	0,033848747940603	0,0295470456991143	LTBP2/GPC1/CD109/COL6A1	4
GO:0070325	lipoprotein particle receptor binding	3/94	13/4337	0,00240902764655648	0,0338720655191037	0,0295673999396541	CLU/HSPG2/LRP1	3
GO:0017171	serine hydrolase activity	4/94	27/4337	0,002478443818471	0,0338720655191037	0,0295673999396541	SCPEP1/MMP14/PLAU/CTSV	4
GO:0061134	peptidase regulator activity	5/94	45/4337	0,00264649999717189	0,0339082812137648	0,0295990131262646	FN1/CD109/TFPI/CTSV/FBLN1	5
