ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	extracellular matrix structural constituent	10/49	20/4337	2,17760327322764e-15	2,98331648432186e-13	2,42974681012768e-13	FN1/LAMB2/AGRN/COL6A1/NID1/HSPG2/COL1A1/LTBP2/FBLN1/TGFBI	10
GO:0005198	structural molecule activity	14/49	287/4337	1,84676611834552e-06	8,73028422954468e-05	7,1103352157644e-05	FN1/LAMB2/DSP/EPPK1/JUP/AGRN/COL6A1/NID1/HSPG2/COL1A1/LTBP2/FBLN1/KRT16/TGFBI	14
GO:0005509	calcium ion binding	10/49	136/4337	1,91174107216307e-06	8,73028422954468e-05	7,1103352157644e-05	AGRN/ANXA3/S100A1/LRP1/EGFL7/NID1/HSPG2/LTBP2/FBLN1/DSC2	10
GO:0043394	proteoglycan binding	4/49	10/4337	2,87490981448725e-06	9,84656611461882e-05	8,01948527199074e-05	FN1/AGRN/LRP1/NID1	4
GO:0005518	collagen binding	5/49	24/4337	5,40606800722736e-06	0,00014812626339803	0,000120640675529705	FN1/COL6A1/NID1/HSPG2/TGFBI	5
GO:0098632	cell-cell adhesion mediator activity	5/49	25/4337	6,70044405164994e-06	0,000152993472512674	0,000124604749030683	DSP/PALLD/JUP/EPCAM/DSC2	5
GO:0019838	growth factor binding	5/49	26/4337	8,22564420117603e-06	0,000160987607937302	0,000131115531627768	CD109/GPC1/COL6A1/COL1A1/LTBP2	5
GO:0098631	cell adhesion mediator activity	5/49	30/4337	1,72250510546102e-05	0,000294978999310199	0,000240244133130089	DSP/PALLD/JUP/EPCAM/DSC2	5
GO:0050840	extracellular matrix binding	4/49	17/4337	3,07365718402979e-05	0,000467878926902312	0,000381061592406032	GPC1/AGRN/NID1/TGFBI	4
GO:0061134	peptidase regulator activity	5/49	45/4337	0,000130028565659549	0,00178139134953582	0,00145084504841181	FN1/CD109/CTSV/TFPI/FBLN1	5
GO:0005178	integrin binding	5/49	49/4337	0,00019617665786919	0,00244329110255264	0,00198992590757265	FN1/LAMB2/ISG15/FBLN1/TGFBI	5
GO:0050839	cell adhesion molecule binding	11/49	291/4337	0,00029965743370818	0,00342108903483506	0,0027862884186901	FN1/LAMB2/DSP/PALLD/JUP/EPCAM/CALD1/ISG15/FBLN1/DSC2/TGFBI	11
GO:0070325	lipoprotein particle receptor binding	3/49	13/4337	0,000358079504048105	0,00377360708112234	0,0030733949335303	LRP1/HSPG2/CLU	3
GO:0043236	laminin binding	3/49	14/4337	0,000452122688678998	0,00442434345350162	0,00360338383458449	GPC1/AGRN/NID1	3
GO:0001540	amyloid-beta binding	3/49	17/4337	0,000824699891515104	0,00753225900917129	0,00613460971934043	LRP1/HSPG2/CLU	3
GO:0004601	peroxidase activity	3/49	19/4337	0,00115665886620359	0,00880345914832735	0,0071699321530749	GPX1/GPX4/HBA1	3
GO:0016504	peptidase activator activity	3/49	19/4337	0,00115665886620359	0,00880345914832735	0,0071699321530749	FN1/CTSV/FBLN1	3
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	3/49	19/4337	0,00115665886620359	0,00880345914832735	0,0071699321530749	GPX1/GPX4/HBA1	3
GO:0005539	glycosaminoglycan binding	3/49	26/4337	0,00293580107517029	0,0211686709104384	0,0172407154552937	FN1/AGRN/LTBP2	3
