ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001618	virus receptor activity	5/39	32/4337	7,61256672748163e-06	0,000457547620319781	0,000400315074510813	SCARB1/ICAM1/ITGA5/ITGA2/NPC1	5
GO:0140272	exogenous protein binding	5/39	32/4337	7,61256672748163e-06	0,000457547620319781	0,000400315074510813	SCARB1/ICAM1/ITGA5/ITGA2/NPC1	5
GO:0004888	transmembrane signaling receptor activity	5/39	33/4337	8,91326533090482e-06	0,000457547620319781	0,000400315074510813	ICAM1/GPRC5A/CD44/ITGA2/NPC1	5
GO:0038023	signaling receptor activity	6/39	70/4337	3,05107706812032e-05	0,000939731736981058	0,000822184978356634	SCARB1/ICAM1/GPRC5A/CD44/ITGA2/NPC1	6
GO:0060089	molecular transducer activity	6/39	70/4337	3,05107706812032e-05	0,000939731736981058	0,000822184978356634	SCARB1/ICAM1/GPRC5A/CD44/ITGA2/NPC1	6
GO:0005178	integrin binding	4/39	49/4337	0,000884754151477086	0,0227086898879119	0,0198681634015907	ICAM1/ITGA5/ITGA2/MFGE8	4
GO:0098631	cell adhesion mediator activity	3/39	30/4337	0,00230812706773762	0,0507787954902277	0,0444271074692354	ITGA2/PDLIM1/KRT18	3
GO:0005102	signaling receptor binding	8/39	290/4337	0,00359927556120184	0,0692860545531354	0,0606193778728731	ICAM1/LGALS3/ARRB1/ARR3/ITGA5/ITGA2/MFGE8/STC2	8
GO:0043236	laminin binding	2/39	14/4337	0,00669825580617333	0,114614599350077	0,100277981659671	LGALS3/ITGA2	2
GO:0098641	cadherin binding involved in cell-cell adhesion	2/39	15/4337	0,00768506949294219	0,11658838142131	0,102004872330333	PDLIM1/KRT18	2
GO:0001540	amyloid-beta binding	2/39	17/4337	0,00984187635374693	0,11658838142131	0,102004872330333	SCARB1/ITGA2	2
GO:0001786	phosphatidylserine binding	2/39	17/4337	0,00984187635374693	0,11658838142131	0,102004872330333	SCARB1/MFGE8	2
GO:0050840	extracellular matrix binding	2/39	17/4337	0,00984187635374693	0,11658838142131	0,102004872330333	LGALS3/ITGA2	2
GO:0004857	enzyme inhibitor activity	4/39	103/4337	0,0130422437537164	0,13122731515506	0,114812688584058	LXN/ANGPTL4/LGALS3/ARRB1	4
GO:0140677	molecular function activator activity	6/39	222/4337	0,0132666408728375	0,13122731515506	0,114812688584058	LGALS3/GPRC5A/DNAJC1/ARRB1/CYB5B/STC2	6
GO:0050839	cell adhesion molecule binding	7/39	291/4337	0,0136340067693569	0,13122731515506	0,114812688584058	ICAM1/GPRC5A/ITGA5/ITGA2/MFGE8/PDLIM1/KRT18	7
GO:0005518	collagen binding	2/39	24/4337	0,0191987940786273	0,163928883604674	0,143423766926851	CD44/ITGA2	2
GO:0072341	modified amino acid binding	2/39	24/4337	0,0191987940786273	0,163928883604674	0,143423766926851	SCARB1/MFGE8	2
GO:0098632	cell-cell adhesion mediator activity	2/39	25/4337	0,0207509662943695	0,163928883604674	0,143423766926851	PDLIM1/KRT18	2
GO:0005539	glycosaminoglycan binding	2/39	26/4337	0,0223539386733646	0,163928883604674	0,143423766926851	LXN/CD44	2
GO:0020037	heme binding	2/39	26/4337	0,0223539386733646	0,163928883604674	0,143423766926851	CYB5B/STC2	2
GO:0140678	molecular function inhibitor activity	4/39	130/4337	0,0281895119570646	0,19587617663838	0,171374918726675	LXN/ANGPTL4/LGALS3/ARRB1	4
GO:0048018	receptor ligand activity	2/39	30/4337	0,0292542341732645	0,19587617663838	0,171374918726675	LGALS3/STC2	2
GO:0046906	tetrapyrrole binding	2/39	31/4337	0,0310966219035928	0,19953665721472	0,17457752647631	CYB5B/STC2	2
GO:0030546	signaling receptor activator activity	2/39	32/4337	0,0329840638438616	0,203181833278187	0,177766744084812	LGALS3/STC2	2
GO:0030545	signaling receptor regulator activity	2/39	35/4337	0,0389076331568701	0,230452904083	0,201626600974874	LGALS3/STC2	2
GO:0001664	G protein-coupled receptor binding	2/39	41/4337	0,051851555987312	0,285183557930216	0,249511246856238	ARRB1/ARR3	2
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	2/39	41/4337	0,051851555987312	0,285183557930216	0,249511246856238	SCD/FADS2	2
