ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0000217	DNA secondary structure binding	3/32	11/4337	5,78600305791887e-05	0,00757966400587372	0,00669958248811659	HMGB3/HMGA2/HMGB1	3
GO:0048018	receptor ligand activity	3/32	30/4337	0,00129424829543571	0,0533124530868285	0,0471222968224278	GPI/STC2/HMGB1	3
GO:0030546	signaling receptor activator activity	3/32	32/4337	0,00156539013200666	0,0533124530868285	0,0471222968224278	GPI/STC2/HMGB1	3
GO:0016829	lyase activity	4/32	71/4337	0,00167774843498203	0,0533124530868285	0,0471222968224278	ALDOC/ENO2/HMGA2/HMGB1	4
GO:0030545	signaling receptor regulator activity	3/32	35/4337	0,00203482645369575	0,0533124530868285	0,0471222968224278	GPI/STC2/HMGB1	3
GO:0005125	cytokine activity	2/32	11/4337	0,00278323953549513	0,060767396524977	0,0537116401586779	GPI/HMGB1	2
GO:0042393	histone binding	4/32	91/4337	0,00416184805475064	0,0743721802408114	0,065736760357487	ANP32B/PTMA/ANP32E/PTMS	4
GO:0051537	2 iron, 2 sulfur cluster binding	2/32	14/4337	0,00454181253379001	0,0743721802408114	0,065736760357487	CISD1/CISD3	2
GO:0030170	pyridoxal phosphate binding	2/32	20/4337	0,00922494897385325	0,132955923291979	0,117518292986081	CISD1/PYGL	2
GO:0070279	vitamin B6 binding	2/32	21/4337	0,0101493071215251	0,132955923291979	0,117518292986081	CISD1/PYGL	2
GO:0003714	transcription corepressor activity	3/32	71/4337	0,0148480087485295	0,176826286005216	0,15629482893189	SRSF2/HMGA2/HMGB1	3
GO:0005102	signaling receptor binding	6/32	290/4337	0,0175378221338543	0,18748417332708	0,165715219493602	NOL3/GPI/HLA-B/STC2/ICAM1/HMGB1	6
GO:0048029	monosaccharide binding	2/32	30/4337	0,0201746279088832	0,18748417332708	0,165715219493602	GPI/PYGL	2
GO:0140297	DNA-binding transcription factor binding	4/32	146/4337	0,0213021952703676	0,18748417332708	0,165715219493602	THRAP3/PTMA/HMGA2/HMGB1	4
GO:0016835	carbon-oxygen lyase activity	2/32	31/4337	0,0214676534343984	0,18748417332708	0,165715219493602	ENO2/HMGA2	2
GO:0051536	iron-sulfur cluster binding	2/32	36/4337	0,0284290289185347	0,219070752254591	0,193634252695902	CISD1/CISD3	2
GO:0051540	metal cluster binding	2/32	36/4337	0,0284290289185347	0,219070752254591	0,193634252695902	CISD1/CISD3	2
GO:0003712	transcription coregulator activity	4/32	171/4337	0,0354700837917951	0,258143387595842	0,228170129654822	THRAP3/SRSF2/HMGA2/HMGB1	4
GO:0003690	double-stranded DNA binding	4/32	184/4337	0,0445949698079918	0,292406433061595	0,258454862489156	THRAP3/HMGB3/HMGA2/HMGB1	4
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	3/32	109/4337	0,0451816057715657	0,292406433061595	0,258454862489156	THRAP3/HMGA2/HMGB1	3
GO:0008134	transcription factor binding	4/32	187/4337	0,0468743136968969	0,292406433061595	0,258454862489156	THRAP3/PTMA/HMGA2/HMGB1	4
GO:0005178	integrin binding	2/32	49/4337	0,0500225911200659	0,297861792578574	0,263276795368768	ICAM1/HMGB1	2
GO:0019842	vitamin binding	2/32	54/4337	0,0595071055969932	0,338931775356787	0,299578105980286	CISD1/PYGL	2
GO:0000976	transcription cis-regulatory region binding	3/32	135/4337	0,0759436427337978	0,348533679770343	0,308065124746788	THRAP3/HMGA2/HMGB1	3
GO:0001067	transcription regulatory region nucleic acid binding	3/32	136/4337	0,077276947354976	0,348533679770343	0,308065124746788	THRAP3/HMGA2/HMGB1	3
GO:0042605	peptide antigen binding	1/32	11/4337	0,0783202095556169	0,348533679770343	0,308065124746788	HLA-B	1
GO:0050145	nucleoside monophosphate kinase activity	1/32	11/4337	0,0783202095556169	0,348533679770343	0,308065124746788	AK4	1
GO:0070182	DNA polymerase binding	1/32	11/4337	0,0783202095556169	0,348533679770343	0,308065124746788	HMGB1	1
GO:0030246	carbohydrate binding	2/32	66/4337	0,084500478224642	0,348533679770343	0,308065124746788	GPI/PYGL	2
GO:0019955	cytokine binding	1/32	12/4337	0,0851379981118395	0,348533679770343	0,308065124746788	HMGB1	1
