ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	extracellular matrix structural constituent	8/102	20/4337	7,08854509462800e-09	1,58783410119667e-06	1,44009389817179e-06	COL6A1/AGRN/LAMB2/NID1/LTBP2/HSPG2/FBLN1/TGFBI	8
GO:0098632	cell-cell adhesion mediator activity	7/102	25/4337	1,09924200813021e-06	0,000123115104910584	0,000111659846089016	JUP/PKP3/CDC42EP1/DSG2/DSP/EPCAM/DSC2	7
GO:0098631	cell adhesion mediator activity	7/102	30/4337	4,22632737959879e-06	0,00031556577767671	0,000286203924302655	JUP/PKP3/CDC42EP1/DSG2/DSP/EPCAM/DSC2	7
GO:0005509	calcium ion binding	13/102	136/4337	1,37025164277876e-05	0,000767340919956103	0,000695943597516579	RCN3/GCA/DSG2/ANXA3/EGFL7/S100A1/AGRN/NID1/LTBP2/HSPG2/LRP1/FBLN1/DSC2	13
GO:0005518	collagen binding	5/102	24/4337	0,000194245362098826	0,00870219222202739	0,0078924957652786	MRC2/COL6A1/NID1/HSPG2/TGFBI	5
GO:0043394	proteoglycan binding	3/102	10/4337	0,00134418306828313	0,0501828345492369	0,0455135670488849	AGRN/NID1/LRP1	3
GO:0000217	DNA secondary structure binding	3/102	11/4337	0,00181680803197099	0,0581378570230716	0,0527284135594587	HMGB3/HMGB1/HMGA2	3
GO:0050839	cell adhesion molecule binding	15/102	291/4337	0,00296456140863093	0,0757383111393133	0,0686912314374411	PPP1R13L/JUP/PKP3/NDRG1/CDC42EP1/DSG2/DSP/LAMB2/ISG15/EPCAM/FBLN1/CALD1/HMGB1/DSC2/TGFBI	15
GO:0070325	lipoprotein particle receptor binding	3/102	13/4337	0,00304305714399027	0,0757383111393133	0,0686912314374411	CLU/HSPG2/LRP1	3
GO:0098641	cadherin binding involved in cell-cell adhesion	3/102	15/4337	0,00467848854817703	0,102161819971613	0,0926561619103441	PKP3/CDC42EP1/EPCAM	3
GO:0042393	histone binding	7/102	91/4337	0,00519898402720767	0,102161819971613	0,0926561619103441	DEK/DTX3L/CBX5/ANP32B/PTMA/ANP32E/PTMS	7
GO:0005178	integrin binding	5/102	49/4337	0,00547295464133639	0,102161819971613	0,0926561619103441	LAMB2/ISG15/FBLN1/HMGB1/TGFBI	5
GO:0001540	amyloid-beta binding	3/102	17/4337	0,00675747802469215	0,108119648395074	0,0980596435162094	CLU/HSPG2/LRP1	3
GO:0050840	extracellular matrix binding	3/102	17/4337	0,00675747802469215	0,108119648395074	0,0980596435162094	AGRN/NID1/TGFBI	3
GO:0004601	peroxidase activity	3/102	19/4337	0,00930706725489481	0,130298941568527	0,118175261854914	GPX1/HBA1/GPX4	3
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	3/102	19/4337	0,00930706725489481	0,130298941568527	0,118175261854914	GPX1/HBA1/GPX4	3
GO:0005198	structural molecule activity	13/102	287/4337	0,0160481359041728	0,211457790737336	0,191782676749557	JUP/SORBS2/DSP/COL6A1/AGRN/LAMB2/NID1/EPPK1/LTBP2/HSPG2/FBLN1/TGFBI/KRT16	13
GO:0061134	peptidase regulator activity	4/102	45/4337	0,0205376508844	0,248417595208221	0,22530355204505	CD109/TFPI/CTSV/FBLN1	4
GO:0038024	cargo receptor activity	2/102	10/4337	0,0217946652470566	0,248417595208221	0,22530355204505	LGALS3BP/LRP1	2
GO:0019838	growth factor binding	3/102	26/4337	0,0221801424293054	0,248417595208221	0,22530355204505	COL6A1/CD109/LTBP2	3
GO:0016209	antioxidant activity	3/102	29/4337	0,0296355478243445	0,301959583247544	0,273863719768684	GPX1/HBA1/GPX4	3
GO:0019955	cytokine binding	2/102	12/4337	0,0310047786370246	0,301959583247544	0,273863719768684	CD109/HMGB1	2
GO:0050750	low-density lipoprotein particle receptor binding	2/102	12/4337	0,0310047786370246	0,301959583247544	0,273863719768684	CLU/HSPG2	2
GO:0005200	structural constituent of cytoskeleton	4/102	52/4337	0,0329627551391138	0,307652381298395	0,279026830782849	SORBS2/DSP/AGRN/KRT16	4
GO:0004867	serine-type endopeptidase inhibitor activity	2/102	13/4337	0,0360887279993944	0,320312018899768	0,290508550975824	CD109/TFPI	2
GO:0005102	signaling receptor binding	12/102	290/4337	0,0380160762984135	0,320312018899768	0,290508550975824	CLU/ALCAM/EGFL7/LAMB2/ISG15/GUSB/HLA-B/HSPG2/LRP1/FBLN1/HMGB1/TGFBI	12
GO:0004175	endopeptidase activity	5/102	80/4337	0,039057612287512	0,320312018899768	0,290508550975824	PSMB8/PSMB9/PLAU/PSMB10/CTSV	5
GO:0043236	laminin binding	2/102	14/4337	0,0414689667325593	0,320312018899768	0,290508550975824	AGRN/NID1	2
GO:0051537	2 iron, 2 sulfur cluster binding	2/102	14/4337	0,0414689667325593	0,320312018899768	0,290508550975824	CISD3/CISD1	2
GO:0042277	peptide binding	5/102	83/4337	0,0446675997480441	0,33351807811873	0,302485850925352	CLU/PPIG/HLA-B/HSPG2/LRP1	5
GO:0003712	transcription coregulator activity	8/102	171/4337	0,0467565634124243	0,337853877560743	0,306418225419283	PPP1R13L/JUP/BCLAF1/THRAP3/SUB1/HMGB1/HMGA2/SRSF2	8
GO:0140297	DNA-binding transcription factor binding	7/102	146/4337	0,0548771320847168	0,384139924593018	0,348397581985209	JUP/DTX3L/THRAP3/CBX5/PTMA/HMGB1/HMGA2	7
GO:0003690	double-stranded DNA binding	8/102	184/4337	0,066414023551281	0,449612150925043	0,407777937634085	ZNF740/RIGI/UBTF/THRAP3/HMGB3/SUB1/HMGB1/HMGA2	8
GO:0004252	serine-type endopeptidase activity	2/102	19/4337	0,0722590956843819	0,449612150925043	0,407777937634085	PLAU/CTSV	2
GO:0016504	peptidase activator activity	2/102	19/4337	0,0722590956843819	0,449612150925043	0,407777937634085	CTSV/FBLN1	2
GO:0140597	protein carrier chaperone	2/102	19/4337	0,0722590956843819	0,449612150925043	0,407777937634085	CLU/ANP32E	2
GO:0038023	signaling receptor activity	4/102	70/4337	0,0814061063129018	0,474756181095644	0,43058243868167	MRC2/RIGI/NID1/LRP1	4
GO:0060089	molecular transducer activity	4/102	70/4337	0,0814061063129018	0,474756181095644	0,43058243868167	MRC2/RIGI/NID1/LRP1	4
GO:0140678	molecular function inhibitor activity	6/102	130/4337	0,0842825457292724	0,474756181095644	0,43058243868167	DTX3L/ANXA3/NOLC1/CD109/TFPI/ANP32E	6
GO:0003714	transcription corepressor activity	4/102	71/4337	0,0847778894813651	0,474756181095644	0,43058243868167	PPP1R13L/HMGB1/HMGA2/SRSF2	4
GO:0031490	chromatin DNA binding	3/102	46/4337	0,092773208953156	0,500581135699063	0,454004507471425	NKAP/HMGN1/HMGA2	3
GO:0004857	enzyme inhibitor activity	5/102	103/4337	0,0938589629435744	0,500581135699063	0,454004507471425	DTX3L/ANXA3/CD109/TFPI/ANP32E	5
GO:0000976	transcription cis-regulatory region binding	6/102	135/4337	0,0968544347061843	0,501251130010751	0,454612162086818	ZNF740/UBTF/THRAP3/SUB1/HMGB1/HMGA2	6
GO:0001067	transcription regulatory region nucleic acid binding	6/102	136/4337	0,0994841092775907	0,501251130010751	0,454612162086818	ZNF740/UBTF/THRAP3/SUB1/HMGB1/HMGA2	6
GO:0031492	nucleosomal DNA binding	2/102	23/4337	0,100697771653945	0,501251130010751	0,454612162086818	HMGN1/HMGA2	2
GO:0008233	peptidase activity	6/102	140/4337	0,110380370001945	0,537504410444254	0,48749225195367	PSMB8/PSMB9/PLAU/GGH/PSMB10/CTSV	6
GO:0003677	DNA binding	15/102	463/4337	0,122805531346143	0,543374917947552	0,492816537424236	ZNF740/NKAP/RIGI/DEK/HMG20B/LUC7L3/UBTF/BCLAF1/THRAP3/HMGN1/NCL/HMGB3/SUB1/HMGB1/HMGA2	15
GO:0004866	endopeptidase inhibitor activity	2/102	26/4337	0,123714825068416	0,543374917947552	0,492816537424236	CD109/TFPI	2
GO:0005539	glycosaminoglycan binding	2/102	26/4337	0,123714825068416	0,543374917947552	0,492816537424236	AGRN/LTBP2	2
GO:0008236	serine-type peptidase activity	2/102	26/4337	0,123714825068416	0,543374917947552	0,492816537424236	PLAU/CTSV	2
GO:0030414	peptidase inhibitor activity	2/102	26/4337	0,123714825068416	0,543374917947552	0,492816537424236	CD109/TFPI	2
GO:0140104	molecular carrier activity	3/102	53/4337	0,127645033939715	0,549855530817232	0,498694160938561	CLU/HBA1/ANP32E	3
GO:0017171	serine hydrolase activity	2/102	27/4337	0,131649179948366	0,550895944045899	0,499637768801027	PLAU/CTSV	2
