ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0008509	anion transmembrane transporter activity	3/45	17/4337	0,000641374464178724	0,0839694782544191	0,0724583625084033	TTYH3/SLC39A14/SLC26A2	3
GO:0098631	cell adhesion mediator activity	3/45	30/4337	0,00348502010686883	0,0839694782544191	0,0724583625084033	PDLIM1/KRT18/ITGA2	3
GO:1901702	salt transmembrane transporter activity	4/45	63/4337	0,00385765592738448	0,0839694782544191	0,0724583625084033	TTYH3/SLC39A14/SLC29A1/SLC26A2	4
GO:0001618	virus receptor activity	3/45	32/4337	0,00419643759815075	0,0839694782544191	0,0724583625084033	SCARB1/TFRC/ITGA2	3
GO:0140272	exogenous protein binding	3/45	32/4337	0,00419643759815075	0,0839694782544191	0,0724583625084033	SCARB1/TFRC/ITGA2	3
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	2/45	10/4337	0,00449366836014621	0,0839694782544191	0,0724583625084033	ALDH1A3/ALDH1B1	2
GO:0038024	cargo receptor activity	2/45	10/4337	0,00449366836014621	0,0839694782544191	0,0724583625084033	SCARB1/TFRC	2
GO:0004888	transmembrane signaling receptor activity	3/45	33/4337	0,00458284301398003	0,0839694782544191	0,0724583625084033	GPRC5A/CD44/ITGA2	3
GO:0050145	nucleoside monophosphate kinase activity	2/45	11/4337	0,00545613529221414	0,0839694782544191	0,0724583625084033	MPP1/AK6	2
GO:0038023	signaling receptor activity	4/45	70/4337	0,00563321547880821	0,0839694782544191	0,0724583625084033	GPRC5A/SCARB1/CD44/ITGA2	4
GO:0060089	molecular transducer activity	4/45	70/4337	0,00563321547880821	0,0839694782544191	0,0724583625084033	GPRC5A/SCARB1/CD44/ITGA2	4
GO:0015108	chloride transmembrane transporter activity	2/45	12/4337	0,006504325411736	0,0839694782544191	0,0724583625084033	TTYH3/SLC26A2	2
GO:0015294	solute:cation symporter activity	2/45	12/4337	0,006504325411736	0,0839694782544191	0,0724583625084033	SLC39A14/SLC29A1	2
GO:0051287	NAD binding	3/45	38/4337	0,0068347249741969	0,0839694782544191	0,0724583625084033	UGDH/ALDH1A3/ALDH1B1	3
GO:0015291	secondary active transmembrane transporter activity	3/45	39/4337	0,00735108072868476	0,0842923923555853	0,0727370093154072	SLC39A14/SLC29A1/SLC26A2	3
