,x
SRSF2,3.21794311344869
SRSF6,3.0626416074393
SRSF3,2.81874874701259
NOLC1,2.17216887880198
SUB1,1.82584292458166
IMUP,1.68678368945601
HMGB1,1.60565574023531
LUC7L3,1.54745318084042
TRA2A,1.54351296253817
BCLAF1,1.53547203837817
KRT9,1.51727534833487
SRSF1,1.41376054088005
KRT1,1.40917160455504
HMGA2,1.40650937735683
JMJD6,1.39376107867005
SRSF11,1.39228322819664
UBTF,1.35069275644399
LUC7L2,1.3449159141588
THRAP3,1.28057742993223
NPM3,1.27812046083267
RBM39,1.24331889794692
RNPS1,1.23585987875843
NCL,1.22517810972618
MRTO4,1.17830165879246
DEK,1.17188737643952
UBE2S,1.13144066104313
HMGB3,1.12135537669661
SREK1,1.09340094398459
EBNA1BP2,1.08757854027203
TOP1,1.08517226360608
IWS1,1.04143017702891
NSRP1,1.02681707616037
NPM1,1.023197876277
BOP1,0.989618710106448
KRT16,0.988011626192964
KIF4A,0.984405391160987
FLVCR1,0.984237136221644
DNMT1,0.982351073264294
ANP32E,0.965981021768133
ERVK3-1,0.960381074383974
ANP32A,0.947690984342973
TYMS,0.931191858043317
SNRNP70,0.927033482831412
PDAP1,0.917815675423249
VEZF1,0.911237866233847
NKAP,0.910693460374873
COIL,0.906292190392307
KPNA2,0.903518732167605
NOP2,0.903098833756264
ANP32B,0.901179845270715
HMGN1,0.892838100421304
ZRANB2,0.888606671083483
CBX5,0.878166891102396
TCOF1,0.876173357833622
CDC20,0.873115600795408
DDX21,0.869711165693396
PRPF40A,0.851008860744297
SLC5A6,0.847940307214451
MYPN,0.8449686277872
KIF22,0.842333884375694
ZC3H18,0.824786865225157
SQSTM1,0.806031873591344
ZMAT2,0.805061610648526
PROCR,0.803275632682809
GTF2E1,0.801483096635824
PRPF38A,0.80032443559147
ECD,0.79678167637217
TOP2A,0.792885076476807
RNF113A,0.783774286528629
WBP11,0.778431913280567
ABT1,0.768316985529001
SPAG5,0.765326480940629
RRP9,0.759092860054484
PNN,0.758474876222515
GNL2,0.753323916030791
UTP18,0.74833222418949
FLNC,0.740601817610756
PSME3,0.734573328468922
DDX23,0.734522623499974
CAVIN1,0.728593871598221
AK6,0.728496018920946
SYTL2,0.728388855039977
MPP1,0.728343990400212
MYO3B_HUMAN;Myo3b,0.718119660066499
POLA2,0.717180026863328
NCAPD3,0.716670066320756
TGM2,0.716150132838241
NAA40,0.710177797302322
RIF1,0.708527198562205
YTHDC1,0.70581126435993
SSRP1,0.702829263078346
UHRF1,0.700897790304225
NF2,0.700844639296204
ERAL1,0.69308776168263
TMX2,0.691847645430361
FBXO22,0.691553334937687
CCDC12,0.689669241685248
MAZ,0.684862989200884
SFSWAP,0.676129194377744
RRP8,0.67226022637324
PCNA,0.671403363965059
LTV1,0.671239514987636
H1-2,0.67003949476058
MRFAP1,0.668754170592965
RTF1,0.667208777171268
KIF2C,0.664874398700221
MCM7,0.660210381854505
BIRC5,0.656670691631724
PHAX,0.655936116655397
CRYBG1,0.652786527995172
NDUFA4,0.651540431086538
LYAR,0.65038120905718
TPX2,0.648732125817471
PRKAR1B,0.64638886652725
GTPBP10,0.64376097690679
RPL18A,0.643189392765642
TIMM17A,0.642641275999406
PTGES3,0.642499515617992
SUPT5H,0.638134540499866
U2SURP,0.637540287481137
TJP2,0.636719118939414
UBE2T,0.63643352463637
HTATSF1,0.635372136507829
FAM104A,0.633549670239923
LARP4,0.633380836021544
RASAL2,0.630658169926029
DDX5,0.624018089633623
DTWD1,0.621274552199523
JPT1,0.621124749299671
MYO1B,0.618478609895117
GPATCH4,0.618183123782078
ZDHHC23,0.617211707478415
DNTTIP2,0.615939986273343
CHERP,0.615440639572853
MCM3,0.614536074368942
COX16,0.61385441568223
CHD8,0.612246715950544
PHF23,0.608125018218811
MCM6,0.607091077749764
MYBBP1A,0.606527465197569
MCM5,0.606266546219938
CDK11B,0.605552297193483
RSL1D1,0.604691171682568
ZNF593,0.602009137749288
UAP1,0.601855189294486
POLR1G,0.596433476912363
RACGAP1,0.595654045049763
MCM2,0.595561237563611
ACIN1,0.592618216948676
RFC2,0.592406850591665
MT2A,0.592092075795193
ANPEP,0.588676316101004
LLPH,0.586577606822502
AGGF1,0.586438836083751
SF3B2,0.585473627374483
PPIG,0.579714137350781
YRDC,0.577943502425146
CMSS1,0.577217595250239
DDX47,0.575964572245031
POM121C_HUMAN;POM121,0.573523115671797
CCDC86,0.571968816557501
TSSC4,0.567183950326761
PTMA,0.565520412495584
SMN1,0.565152838216477
NUSAP1,0.564187888626225
EIF5B,0.560568330363786
CCNB1,0.559246700612835
GATAD2A,0.558017968231294
HAT1,0.557811410217845
BRAT1,0.557614401646795
EPS8,0.557301298096782
MAP2K3,0.555288379484615
FIZ1,0.55475963976818
TSR1,0.554480377418678
SPC25,0.551231358110325
FASTKD2,0.550064008123666
DDX56,0.54913505433306
UTP20,0.547637617910031
PBK,0.546618822731226
PTTG1IP,0.546382318143365
SUPT6H,0.545429463444215
POLD3,0.545056021748302
RCC2,0.544707489555734
U2AF2,0.543471684090111
SCAF11,0.540724553676231
DUS3L,0.540212317607722
SLIRP,0.539637187234035
SET,0.53869720919316
TRMT1,0.537176714160545
ANAPC7,0.536371334553131
SLC1A5,0.535249784303712
MPHOSPH8,0.535086081002664
NCAPD2,0.534511498035542
AATF,0.534178904637603
RPS9,0.53417256016257
ARHGEF18,0.53371951938648
NVL,0.53311162506181
WDHD1,0.532668402686042
PPM1G,0.532177829524933
RPL18,0.531919528384329
RPP30,0.531212144982433
ABCF1,0.531073140781931
RPL13A,0.526667241375982
KRR1,0.524425838156656
GPATCH11,0.524128700489483
SAC3D1,0.523456154728944
PDCD11,0.522032048725052
NCAPH,0.521556986609486
CENPF,0.519710349114025
AXL,0.519433217268482
LGALS8,0.519089813124705
MBP,0.517358293014702
PNO1,0.516338934773337
NOL7,0.516165393555852
CHCHD1,0.515697607056865
SLC26A2,0.515338191318946
POLR1E,0.514997676272682
EXOSC10,0.509041918209082
ANKRD17,0.508431045343546
TPRN,0.508422486597777
BCR,0.507532136513078
DOHH,0.506846085965517
METTL1,0.503979158076525
ATXN7L3B,0.502740710374756
RRS1,0.502346141883695
RBM3,0.500782367863682
PTPN14,0.500422510272092
WDR12,0.500396954274173
RPL7,0.498925191797642
ACTR5,0.498312822697756
PES1,0.497003401604893
SPC24,0.495930050623038
NOSIP,0.495423119457168
HNRNPC,0.494058026906938
PHC2,0.49393886042586
RPF2,0.493872542173872
CHD1,0.493076747715612
HOXC10,0.492169201383657
CTPS1,0.490533370635752
ZC3H4,0.490288406293288
EZH2,0.490271539729275
DNAJC2,0.489941121822664
GLS,0.489601093796324
WDR4,0.488285353190694
NOC4L,0.487724801711465
NIFK,0.48660313389043
RNASEH2C,0.486144649326008
RBM28,0.485877270583384
NRDC,0.485586421098677
SDCBP,0.485186431223553
NCAPG,0.483512375698933
TIMM23,0.483263669873757
GTPBP4,0.483052676358895
SLC38A9,0.481656347219172
KRT2,0.4814982183401
AUP1,0.479840059296215
VRK1,0.479571355449135
SMC4,0.478232690557149
MCM4,0.476229344080288
MPHOSPH10,0.474100743042204
UBAP2,0.473334716107782
ACTG1,0.473192144185237
DDX55,0.47246908452983
KLHL4,0.471767608472462
TRIP12,0.470922396291105
KDM2A,0.469422533551061
DHX33_HUMAN;Dhx33,0.46933762707781
BAIAP2,0.468986019909067
FAM118B,0.468796461781729
U2AF1,0.468358773175709
SPPL2A,0.467229621012002
UTP25,0.46649643442446
MKI67,0.465733696225723
RPS5,0.464101752468292
PPP1R11,0.46345054256394
TRIR,0.46254287862892
BYSL,0.462515118697652
FANCI,0.460607117653325
CPSF3,0.458767406606313
LIMA1,0.458638183090365
FHL3,0.457692812894116
RRP12,0.456958634114692
NOP9,0.455573716268141
CDK1,0.455231761178464
IL18,0.45451196284364
NDC80,0.453285141772504
WDR26,0.453252983937006
RFC4,0.452532961352286
CKS2,0.452343956730768
CHD4_HUMAN;Chd4,0.452096670695042
CLUH,0.451646144108132
RPL26L1,0.45105614333167
HMG20B,0.450817652851402
ZNF330,0.449318831927553
SPAG1,0.44915255168528
PRORP,0.448959590262419
WIZ,0.448876849004709
EIF1,0.448482880911708
MCRIP2,0.448456499347373
REPIN1,0.446953021358773
NOL10,0.446597429399258
PRPF4B,0.444784398070844
CENPB,0.4437897076387
RNASEH2A,0.443626794375085
DHX16,0.443312644822552
EIF4G2,0.443018358161215
ASB6,0.442865425728641
BAG2,0.442637650502416
KIF23,0.441021278363468
PAK1IP1,0.439954917456703
UTP4,0.439856518230943
RPL36,0.438609151328954
CPSF2,0.438030275877214
PPIA,0.438019287051631
TXNDC9,0.437804865901544
CEP55,0.435812598221126
POLR1C,0.435804825873451
DNAJA1,0.435126241641328
NAA35_HUMAN;Naa35,0.434844579417657
GABARAPL2,0.434583834855893
TOE1,0.43378736758881
PNP,0.432253286471845
KRT10,0.431382070048841
HSPH1,0.431008736290771
CIT,0.43100150448776
POLR1B,0.430613668794255
