"Row.names"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D1_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D1_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D2_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D2_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D3_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D3_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D4_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D4_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O1_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O1_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O2_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O2_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O3_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O3_2_repeat.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O4_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O4_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y1_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y1_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y2_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y2_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y3_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y3_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y4_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y4_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2A_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2A_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2B_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2B_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2C_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2C_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3A_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3A_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3B_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3B_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3C_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3C_2.mzML.dia"	"Protein.Group"	"Protein.Ids"	"Protein.Names"	"Genes"	"First.Protein.Description"
"AAAS_HUMAN"	2821199.95318066	2691861.50846256	1937811.2672367	1900767.86697109	1816497.03056725	1747087.75687753	1794557.10016122	1747849.6496604	2125448.51560435	2022022.56871931	1610850.80331145	1535460.77959604	1595321.80165098	1479986.57975269	1601917.92494408	1504722.85949733	2276939.55518292	2156715.64402042	1627874.17390063	1532126.03798719	1493531.51530284	1441452.49051059	1608948.46053955	1352460.5399569	1969296.18646929	1930323.8499902	1735790.5948478	1640333.97379674	1271501.83152171	1232579.02891021	1847405.29340064	1797865.07043107	1836234.04638745	1831465.81116379	1290316.08711554	1257230.54883482	"Q9NRG9"	"Q9NRG9;F8VZ44;H3BU82"	"AAAS_HUMAN"	"AAAS_HUMAN"	"Aladin"
"AACS_HUMAN"	2671972.97864357	2478092.07677681	1568133.88643399	1591591.18894058	1042193.88753492	1039584.8923422	1588908.81231756	1550546.4464362	2382222.94259653	2239004.47469289	1580944.35093712	1588232.88516478	1944193.56168347	1872963.6980575	1886319.49069146	1759475.33200283	2838502.27814647	2511540.23706374	2636012.62835884	2619613.90406936	1291898.97948177	1271462.30714552	1363140.26958604	1427665.45553032	1722881.15666072	1767159.45721028	1737009.9742061	1682714.36618458	1738245.33967494	1718323.19832929	1809909.54330005	1838192.61541046	1937140.48629913	1843849.71556255	1226110.18376855	1221270.33778114	"Q86V21"	"Q86V21;E7EW25;Q9D2R0"	"AACS_HUMAN"	"AACS_HUMAN"	"Acetoacetyl-CoA synthetase"
"AAGAB_HUMAN"	3671930.90219983	3365742.81851737	2775945.31645926	2642931.84972148	2390339.449791	2288943.56985951	2826382.45063564	2704612.72263496	2998785.2878122	2876053.26711768	1920963.22886617	1876440.84070307	1710304.78902358	1581971.83160514	1647646.91686138	1649280.63972787	3206467.94396382	3071484.78214681	2806240.51896636	2779839.60440724	2687203.11484248	2484857.8621162	2658194.09924481	1484295.92373524	2392804.71260189	2401849.61146907	1895916.1021628	1837813.43488655	1334018.41179495	1367719.21149703	1999059.91933061	1888726.46617029	1936546.98654838	1863951.35625831	1640855.76370826	1487719.36558942	"Q6PD74"	"Q6PD74"	"AAGAB_HUMAN"	"AAGAB_HUMAN"	"Alpha- and gamma-adaptin-binding protein p34"
"AAK1_HUMAN"	7928678.03023382	7689007.77071111	6701973.60093847	6467488.84613495	5345214.35366215	5364820.40683865	6329169.24714784	6369182.44828565	6378874.09912609	6455290.41098182	4635485.18039366	4425217.89605502	4952933.983642	4676470.1806753	4644041.08398268	4582458.98981938	6916587.78863089	6996754.293799	6918147.4547764	6759462.11368335	5903156.13977874	5790246.62097126	6826185.90637903	4337310.39378031	2840156.4546182	2795984.30222547	2686892.90413687	2614306.14347478	3007529.93804877	2902646.63415708	3222979.36766199	3116178.33519729	3183487.47468784	3115795.80268816	2629583.78219616	2485416.75500162	"A0A096LP25"	"A0A096LP25;Q6ZSR9"	"A0A096LP25_HUMAN"	"AAK1_HUMAN"	"AP2 associated kinase 1"
"AAMDC_HUMAN"	7558126.85567342	7250276.31412626	4725071.74386588	4258222.11029417	3127564.93526659	3002783.32249526	4111291.21001664	4043920.87079835	6515978.42255645	6056884.80291602	4506613.78186064	4474717.04729905	4392946.85604785	3713294.23257632	4393513.83646822	4150885.30232381	8207036.45691059	7593697.1091696	6150142.23014888	6012856.3966246	4029073.44118143	3856799.31334131	4324028.43939053	3847822.39272393	5792321.04652746	5231521.86184732	3300702.47551394	3192610.55541962	1852692.71408559	1831780.2174999	4361036.43188697	4147711.23146648	3193693.85688228	2962639.83170937	2841223.54794895	2646158.56408007	"Q9H7C9"	"Q9H7C9"	"AAMDC_HUMAN"	"AAMDC_HUMAN"	"Mth938 domain-containing protein"
"AAMP_HUMAN"	3981457.69472921	3649774.94546307	3657680.39401054	3713629.37033474	2919484.89736001	2986543.13147881	3299821.96363759	3301690.90412418	3188869.12868664	3116863.31987379	2444027.27159864	2484675.31990388	1575842.78388416	1448274.45024937	1204504.16570222	1315183.17542801	4203864.35408647	3991463.36326561	3073215.12614526	3127678.73026616	3465185.22443346	3615118.74411634	3613322.70286535	1432274.94554358	2165970.06743685	2064372.04432165	2465289.19451893	2404910.62106301	1715492.64865185	1755503.63276996	2588999.30436848	2525351.92581163	2627024.68212899	2672597.57145711	1906992.6187617	1847128.85377382	"Q13685"	"Q13685;C9JEH3;C9JG97;C9JTS3;J3QN89;Q3TJ22;A0A087WNM5"	"AAMP_HUMAN"	"AAMP_HUMAN"	"Angio-associated migratory cell protein"
"AAR2_HUMAN"	2520119.41738417	2512252.16147437	2366764.955729	2286621.65086325	1970875.30361609	1999331.54870112	2087594.35730869	2092439.59882776	1848786.92824501	1857009.69605174	1517124.98362041	1465495.3098682	1249233.95010522	1304354.74840161	1290229.09142657	1228827.42194921	2243990.52729703	2153221.26877234	2062635.5276681	2022547.81332679	2142437.94956892	2068083.52072929	1915666.26431861	1069425.76805713	1401437.10894769	1488904.56738658	1633659.35985207	1625113.14257607	1156363.58151615	1224429.62388243	1597983.6068794	1570625.89644867	1422487.2469923	1536238.64698974	1064927.18167154	1020190.48478413	"Q9Y312"	"Q9Y312"	"AAR2_HUMAN"	"AAR2_HUMAN"	"Protein AAR2 homolog"
"AARS1_HUMAN"	16720098.5103491	15549144.3916741	11268505.3543555	11257222.3402871	8340889.74487741	8343114.66687907	11752032.2128908	11655715.7682597	17139402.9722271	16830769.8778128	13257897.464426	13133083.646401	14122666.7221597	12260647.9944981	13182423.2163606	12962142.4687992	12675330.6411313	12312291.3197244	10592429.1069951	10515439.0261885	8324723.65789122	8186227.86960075	10210313.3981685	12157151.1445404	11095474.645961	10841228.8603001	8140547.83968261	7921950.81898405	6602087.2828317	6429140.08257504	9486491.60431428	8990249.27484178	8168189.31771372	8060047.99408584	5984502.69266572	6058473.59588606	"P49588"	"P49588;A0A6Q8PF33;A0A6Q8PFK3;A0A6Q8PFY2;A0A6Q8PGB5;A0A6Q8PGE8;A0A6Q8PGN5;A0A6Q8PGR9;A0A6Q8PH44;A0A6Q8PHJ2;A0A6Q8PHP7;H3BPK7"	"SYAC_HUMAN"	"AARS1_HUMAN"	"Alanine--tRNA ligase, cytoplasmic"
"AARS2_HUMAN"	14528077.0774176	14614232.2098937	9953898.82221349	9827888.271468	11919928.5255931	11827446.1170091	10948430.6006833	10920035.4262627	17060197.2928147	16536550.0742162	13303498.0440024	12830699.9056633	13987927.9331011	12308483.109511	12716535.7107186	12476656.6904304	13919577.5502506	13810722.4838779	12726622.600324	12674125.2791958	11370437.4542479	11084165.0260494	12284449.8352066	11154989.697439	11004379.9513161	9862006.19971337	11487220.5004604	11272339.565802	7261118.16511928	6745545.5282436	10453754.9288582	10285501.0706468	11208063.7413476	10635338.011502	7397460.50115932	7367377.06188481	"Q5JTZ9"	"Q5JTZ9"	"SYAM_HUMAN"	"AARS2_HUMAN"	"Alanine--tRNA ligase, mitochondrial"
"AARSD1_HUMAN"	1877701.34482332	1756442.27305358	1494233.11196054	1462681.13361848	1439779.52664202	1529354.28434563	1597098.14502112	1641779.00706075	1842939.39774827	1699823.38790596	1103370.94474958	1023240.55938637	1162264.65106508	990293.631700986	928008.494043714	922054.562349991	1702763.17394435	1427486.11515007	1304994.55252409	1084034.54329042	1203750.79136303	1036867.23092028	1459428.74301536	1144330.22415487	2268491.87320162	2247723.9707141	2006132.13197366	1926565.63800065	2012155.42790454	1887994.07249027	2106636.35782901	2080443.2061406	2545750.98996496	2776588.94381511	1763666.43600871	1482094.55981261	"Q9BTE6"	"Q9BTE6;B3KSP9;C9J5N1"	"AASD1_HUMAN"	"AARSD1_HUMAN"	"Alanyl-tRNA editing protein Aarsd1"
