ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042274	ribosomal small subunit biogenesis	71	0.714001253346643	2.95909457881033	1e-10	2.5275e-08	1.80526315789474e-08	1072	tags=86%, list=24%, signal=66%	ERAL1/ABT1/LTV1/FBL/RPS5/RRS1/UTP20/KRR1/NOP9/PNO1/NOB1/UTP4/TSR1/RPS9/EXOSC10/MRPS7/BYSL/UTP18/SURF6/NOL11/WDR43/HEATR1/RRP9/RPS8/UTP6/DCAF13/NOP58/UTP15/NPM1/WDR75/WDR46/NOL10/NOL6/RPS14/NGDN/IMP3/NOL7/RPP40/RPS21/RPSA/RRP7A/NOM1/BMS1/EMG1/RPS16/WDR3/TBL3/AATF/NAT10/WDR36/DNTTIP2/TSR2/RPS15/MPHOSPH10/UTP25/RPS24/RPS23/NOP56/PWP2/DDX52/RCL1
GO:0042273	ribosomal large subunit biogenesis	49	0.735117552170323	2.80090432380091	1e-10	2.5275e-08	1.80526315789474e-08	808	tags=76%, list=18%, signal=62%	NOP2/MRTO4/NVL/FASTKD2/RSL1D1/BOP1/RRS1/RPF2/WDR12/PES1/GTPBP4/RPL7/PAK1IP1/HEATR3/NIFK/RPL7L1/RPL26L1/SURF6/EBNA1BP2/NIP7/BRIX1/RPL35/WDR74/RPL5/RSL24D1/NOP16/RPL23A/NPM1/RPL14/EIF6/DHX30/FTSJ3/MDN1/RPL24/NLE1/NOP53/NOC2L
GO:0016042	lipid catabolic process	98	-0.645513462509932	-2.57571276954391	1e-10	2.5275e-08	1.80526315789474e-08	1052	tags=66%, list=24%, signal=52%	LDAH/ABCD3/PNPLA8/GCDH/PAFAH1B3/PPT1/INPP5F/HINT2/ASAH1/APOE/AKT1/ILVBL/ACADM/SCP2/GLA/HADH/ETFA/PLCG1/HSD17B11/GDE1/CROT/ETFB/ECI2/ACOT8/ECHS1/ACADVL/ACAT1/IRS1/HADHB/ECI1/ABHD12/HADHA/IVD/PCCA/PLCB3/PAFAH1B2/ACADS/PNPLA6/SGPL1/PLBD1/CPT2/OXCT1/PCCB/ACAA2/HSD17B4/DECR2/ETFDH/IAH1/ECH1/HACL1/ACOX3/HEXB/ACAA1/GM2A/CRAT/ACAD11/HEXA/ACOX1/PCK2/PLBD2/SCARB1/NAGA/EHHADH/PLCE1/FUCA1
GO:0044242	cellular lipid catabolic process	79	-0.665789323027951	-2.56368108227567	1e-10	2.5275e-08	1.80526315789474e-08	1031	tags=70%, list=23%, signal=54%	ABCD3/PNPLA8/GCDH/PPT1/INPP5F/ASAH1/AKT1/ILVBL/ACADM/SCP2/GLA/HADH/ETFA/PLCG1/GDE1/CROT/ETFB/ECI2/ACOT8/ECHS1/ACADVL/ACAT1/IRS1/HADHB/ECI1/ABHD12/HADHA/IVD/PCCA/ACADS/PNPLA6/SGPL1/PLBD1/CPT2/PCCB/ACAA2/HSD17B4/DECR2/ETFDH/ECH1/HACL1/ACOX3/HEXB/ACAA1/GM2A/CRAT/ACAD11/HEXA/ACOX1/PCK2/PLBD2/SCARB1/NAGA/EHHADH/FUCA1
GO:0043484	regulation of RNA splicing	93	0.585354237769807	2.5555411721918	1e-10	2.5275e-08	1.80526315789474e-08	1359	tags=63%, list=31%, signal=45%	SRSF6/SRSF3/JMJD6/RBM3/DDX5/RBM39/TRA2A/GRSF1/TIA1/RNPS1/ZPR1/RRP1B/THRAP3/SF3B4/CLNS1A/PQBP1/SFSWAP/NSRP1/PRPF19/NPM1/RBM4/U2AF2/TRRAP/HNRNPF/ZNF326/SF3B5/CELF1/WDR77/SLC38A2/ZBTB7A/RBM22/FAM50A/SON/AHNAK/NUP98/HNRNPA1/RBM7/RBM42/SNRNP70/SRSF1/NCL/SF1/PTBP1/SRPK1/FUS/HSPA8/SNW1/TAF10/SF3B3/HNRNPH1/USP22/SRSF9/CWC22/PUF60/YTHDC1/NCBP1/HNRNPU/PRMT5/DDX17
GO:0016052	carbohydrate catabolic process	71	-0.668425808002172	-2.53264815240014	1e-10	2.5275e-08	1.80526315789474e-08	634	tags=48%, list=14%, signal=42%	RB1CC1/ENO1/SCARB2/DHTKD1/OGDH/GALK1/APP/GIT1/PGM1/TKFC/PKM/STBD1/GALM/TPI1/PGAM1/HEXB/GAPDH/MAN2B1/LDHA/GM2A/HK1/ALDOA/HEXA/NAGA/MAN2C1/PGK1/PFKL/GLB1/CTBS/GPI/GAA/ENO2/ALDOC/PYGL
GO:0072329	monocarboxylic acid catabolic process	59	-0.689796127071376	-2.51916595164242	1e-10	2.5275e-08	1.80526315789474e-08	844	tags=68%, list=19%, signal=56%	AKT1/ILVBL/ACADM/SCP2/HADH/ETFA/CROT/ETFB/ECI2/ACOT8/ECHS1/ACADVL/ACAT1/IRS1/HADHB/ECI1/HADHA/IVD/PCCA/DCXR/AKR1A1/ACADS/CPT2/PCCB/ACAA2/HSD17B4/DECR2/ETFDH/ECH1/HACL1/ACOX3/HEXB/ACAA1/CRAT/ACAD11/SLC16A3/HEXA/ACOX1/PCK2/EHHADH
GO:0036293	response to decreased oxygen levels	92	-0.612793222119197	-2.43539017164601	1e-10	2.5275e-08	1.80526315789474e-08	288	tags=35%, list=6%, signal=33%	ENO1/SRC/ALKBH5/CHCHD2/LONP1/ITPR2/MECP2/ACAA2/LOXL2/ADA/CAT/ADAM17/HSP90B1/MMP14/P4HB/SOD2/HMOX1/PARP2/HSPG2/SDHD/EGLN1/PGK1/PLOD1/PLOD2/NOL3/FAM162A/SLC2A1/STC2/AK4/ERO1A/NDRG1/ANGPTL4
GO:0050684	regulation of mRNA processing	77	0.59867242904855	2.52276549385306	1.47816809307815e-10	3.01829840568184e-08	2.15581519735306e-08	1359	tags=68%, list=31%, signal=48%	SRSF6/SRSF3/JMJD6/RBM3/DDX5/RBM39/TRA2A/TIA1/RNPS1/SUPT6H/THRAP3/SF3B4/CLNS1A/SFSWAP/NSRP1/PRPF19/NPM1/RBM4/SAFB2/DHX9/NCBP2/U2AF2/CELF1/WDR77/ZC3H14/ZBTB7A/SON/NUP98/CDK11B/HNRNPA1/RBM7/DHX36/RBM42/PAPOLA/SNRNP70/NCL/SF1/PTBP1/CDC73/SRPK1/HSPA8/SNW1/SRSF9/MAGOHB/CWC22/PUF60/YTHDC1/NCBP1/IWS1/HNRNPU/PRMT5/DDX17
GO:0019318	hexose metabolic process	94	-0.599286946771943	-2.38191369169243	1.49272918184067e-10	3.01829840568184e-08	2.15581519735306e-08	621	tags=39%, list=14%, signal=35%	ENO1/SRC/MAN2A1/IRS1/HECTD4/DCXR/GALK1/B3GLCT/PGM1/TKFC/PKM/INPPL1/OMA1/SLC25A1/GALM/TPI1/PGAM1/GAPDH/MAN2B1/PGM2L1/HK1/POFUT2/TSTD1/BCKDK/ALDOA/PCK2/MPI/MAN2C1/PGK1/PFKL/GLB1/H6PD/FUCA1/GPI/GAA/ENO2/ALDOC
GO:0001666	response to hypoxia	87	-0.62206649715403	-2.43500912610374	1.71276468655844e-10	3.1483729056556e-08	2.24872071766333e-08	621	tags=36%, list=14%, signal=31%	ENO1/SRC/ALKBH5/CHCHD2/LONP1/ITPR2/MECP2/ACAA2/LOXL2/ADA/CAT/ADAM17/HSP90B1/MMP14/P4HB/SOD2/HMOX1/HSPG2/SDHD/EGLN1/PGK1/PLOD1/PLOD2/NOL3/FAM162A/SLC2A1/STC2/AK4/ERO1A/NDRG1/ANGPTL4
GO:0000070	mitotic sister chromatid segregation	96	0.551884632398896	2.40786025533759	5.00223362237216e-10	8.42876365369709e-08	6.0202320437672e-08	1101	tags=48%, list=25%, signal=37%	KIF4A/CDC20/KIF22/SPAG5/NCAPD3/BIRC5/NCAPH/RACGAP1/SPC24/SPC25/RRS1/TPX2/ANAPC7/CCNB1/NCAPG/NCAPD2/CDK1/SMC4/CENPF/SMC2/KIF23/KIF2C/NDC80/KIFC1/BAZ1B/AKAP8L/BUB3/NUDC/NUSAP1/CDCA5/MAPRE1/AKAP8/UBE2C/PPP2R1A/KIF11/MISP/BCCIP/SMC1A/POLDIP2/IK/RAN/WAPL/PSMG2/BUB1/MAD1L1/CDK5RAP2
GO:0042255	ribosome assembly	43	0.68846965007095	2.56183892959507	1.32050217714282e-09	2.05388877090983e-07	1.46698703404044e-07	1046	tags=74%, list=24%, signal=57%	ERAL1/ABT1/NOP2/MRTO4/FASTKD2/BOP1/RPS5/RRS1/RPF2/MRPS7/DDX3X/NIP7/BRIX1/EIF2A/RPL5/DHX29/RPL23A/NPM1/RPS14/EIF6/DHX30/RPSA/RRP7A/MDN1/RPL24/NLE1/NOP53/RPS15/RPL11/PWP2/RPLP0/RPL6
GO:0009062	fatty acid catabolic process	49	-0.694710049688847	-2.47311135166695	2.63654387765142e-09	3.80792265757941e-07	2.71980315799831e-07	844	tags=71%, list=19%, signal=59%	AKT1/ILVBL/ACADM/SCP2/HADH/ETFA/CROT/ETFB/ECI2/ACOT8/ECHS1/ACADVL/ACAT1/IRS1/HADHB/ECI1/HADHA/IVD/PCCA/ACADS/CPT2/PCCB/ACAA2/HSD17B4/DECR2/ETFDH/ECH1/HACL1/ACOX3/ACAA1/CRAT/ACAD11/ACOX1/PCK2/EHHADH
