ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0050684	regulation of mRNA processing	77	0.776769728538754	2.59378785042083	1e-10	3.37e-08	2.70350877192982e-08	111	tags=21%, list=2%, signal=21%	SRSF3/SRSF6/TRA2A/NCL/THRAP3/IWS1/RNPS1/RBM39/NPM1/NSRP1/SNRNP70/JMJD6/YTHDC1/CDK11B/SFSWAP/U2AF2
GO:0048024	regulation of mRNA splicing, via spliceosome	63	0.800780765295413	2.57542866461344	1e-10	3.37e-08	2.70350877192982e-08	111	tags=22%, list=2%, signal=22%	SRSF3/SRSF6/TRA2A/NCL/THRAP3/RNPS1/RBM39/NPM1/NSRP1/SNRNP70/JMJD6/YTHDC1/SFSWAP/U2AF2
GO:0044242	cellular lipid catabolic process	79	-0.665534338629228	-2.56456691636894	1e-10	3.37e-08	2.70350877192982e-08	1153	tags=75%, list=26%, signal=56%	SLC27A4/ACOT8/LYPLA2/PCCA/SIRT2/ACAD11/ABCD1/CPT1A/PLCG1/MCAT/DAGLB/NEU1/SGPL1/ECI1/PPT1/LDLR/DECR1/ACADM/AKT1/HEXA/HADH/HADHB/HSD17B10/ACAT2/IDH1/HSD17B4/HADHA/ACOX3/ACADS/PLBD2/PCCB/ETFDH/ACADVL/ECHS1/ACAT1/IVD/ACAA1/DECR2/CROT/CRAT/ETFB/CPT2/HACL1/GCDH/ACAA2/NAGA/PNPLA6/ECH1/PNPLA8/ETFA/ABHD12/GDE1/EHHADH/ACOX1/SCP2/SCARB1/CYP1B1/GM2A/FUCA1
GO:0043484	regulation of RNA splicing	93	0.745780289993179	2.56211403132617	1e-10	3.37e-08	2.70350877192982e-08	111	tags=16%, list=2%, signal=16%	SRSF3/SRSF6/SRSF1/TRA2A/NCL/THRAP3/RNPS1/RBM39/NPM1/NSRP1/SNRNP70/JMJD6/YTHDC1/SFSWAP/U2AF2
GO:0016042	lipid catabolic process	98	-0.643287136842644	-2.52686720103026	1e-10	3.37e-08	2.70350877192982e-08	1153	tags=68%, list=26%, signal=52%	SLC27A4/ACOT8/LYPLA2/PCCA/SIRT2/ACAD11/ABCD1/CPT1A/PLCG1/MCAT/DAGLB/NEU1/SGPL1/HINT2/ECI1/PPT1/LDLR/DECR1/ACADM/AKT1/HEXA/HADH/HADHB/HSD17B10/ACAT2/IDH1/HSD17B4/HADHA/ACOX3/APOE/ACADS/PLBD2/PCCB/PAFAH1B2/ETFDH/ACADVL/ECHS1/OXCT1/IAH1/ACAT1/PLCB3/IVD/PAFAH1B3/ACAA1/DECR2/CROT/CRAT/ETFB/CPT2/HACL1/GCDH/ACAA2/NAGA/PNPLA6/ECH1/PNPLA8/ETFA/ABHD12/GDE1/EHHADH/ACOX1/SCP2/SCARB1/CYP1B1/GM2A/FUCA1/PLCE1
GO:0042274	ribosomal small subunit biogenesis	71	0.75380706627168	2.47015786283276	1e-10	3.37e-08	2.70350877192982e-08	828	tags=70%, list=19%, signal=58%	NPM1/RRP9/UTP18/DNTTIP2/AATF/UTP25/MPHOSPH10/NOL7/ABT1/TSR1/LTV1/RPS9/NOL10/EXOSC10/PNO1/UTP20/KRR1/BYSL/RCL1/NGDN/WDR43/NOL6/NOP58/RPS16/WDR36/NOM1/NAT10/WDR46/NOP9/TBL3/ERCC2/UTP4/RRS1/BMS1/UTP15/DCAF13/RPS8/PRKDC/IMP3/RPS6/UTP23/NOP56/RRP7A/RPS14/DDX52/RPP40/WDR75/RPSA/UTP3/RPS5
GO:0009636	response to toxic substance	67	-0.64200600438862	-2.38066009914417	7.44028773766784e-09	2.14918025793777e-06	1.72413284266859e-06	835	tags=55%, list=19%, signal=46%	BLMH/ESD/NNT/LANCL1/AIFM1/ASS1/PRDX3/PRDX5/PARK7/CAT/TXNDC17/SLC30A1/MGST3/PRDX4/MPST/GSR/GPX7/AKR1A1/GSTT1/SOD1/FECH/APOE/PON2/GSTP1/CCS/PRDX2/BPHL/TXNRD2/GPX4/GSTM3/EPHX1/GSTM2/GPX1/CYP1B1/CDH1/SLC22A18/HBA1
GO:0034440	lipid oxidation	48	-0.689032309892	-2.36870109323201	9.50299409610641e-09	2.23936035981311e-06	1.79647785645895e-06	770	tags=65%, list=17%, signal=54%	ECI1/DECR1/ACADM/AKT1/HADH/HADHB/HSD17B10/ACAT2/HSD17B4/HADHA/ACOX3/ACADS/ETFDH/ACADVL/ECHS1/ACAT1/IVD/ACAA1/DECR2/CROT/CRAT/ETFB/CPT2/HACL1/GCDH/ACAA2/ECH1/ETFA/EHHADH/ACOX1/SCP2
GO:0072329	monocarboxylic acid catabolic process	59	-0.650120703748966	-2.36842084217345	9.96747934634916e-09	2.23936035981311e-06	1.79647785645895e-06	1153	tags=73%, list=26%, signal=55%	SLC27A4/ACOT8/PCCA/ACAD11/ABCD1/CPT1A/FAH/MCAT/ECI1/DECR1/ACADM/AKT1/HEXA/HADH/HADHB/AKR1A1/HSD17B10/ACAT2/HSD17B4/HADHA/ACOX3/ACADS/PCCB/ETFDH/ACADVL/ECHS1/ACAT1/IVD/ACAA1/DECR2/CROT/CRAT/ETFB/CPT2/HACL1/GCDH/ACAA2/DCXR/ECH1/ETFA/EHHADH/ACOX1/SCP2
GO:0098754	detoxification	42	-0.717088604186779	-2.40132685067367	1.74234203520458e-08	3.20274145016696e-06	2.56932925956962e-06	825	tags=64%, list=19%, signal=53%	ESD/NNT/LANCL1/PRDX3/PRDX5/PARK7/CAT/TXNDC17/SLC30A1/MGST3/PRDX4/GSR/GPX7/AKR1A1/GSTT1/SOD1/APOE/GSTP1/CCS/PRDX2/TXNRD2/GPX4/GSTM3/GSTM2/GPX1/SLC22A18/HBA1
