ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042273	ribosomal large subunit biogenesis	49	0.745915097163271	2.632551662005	1e-10	2.022e-07	1.74736842105263e-07	588	tags=59%, list=13%, signal=52%	RPL35/RPL6/RPL26L1/RPL14/RPL7/RPL24/RPF2/RSL1D1/RRS1/RPL7L1/BRIX1/NVL/GTPBP4/NIFK/FTSJ3/EBNA1BP2/PAK1IP1/WDR74/BOP1/RSL24D1/RPL5/NOP2/PES1/MRTO4/WDR12/RPL23A/NOC2L/FASTKD2/EIF6
GO:0030198	extracellular matrix organization	59	-0.696050557851579	-2.47663075330991	6.18149336912786e-10	4.16632653079217e-07	3.60044876938675e-07	243	tags=36%, list=5%, signal=34%	B4GALT1/FSCN1/APP/NFKB2/P4HA1/COL1A1/COL18A1/MELTF/COL1A2/COL5A2/ERO1A/FKBP10/MMP14/QSOX1/LAMC1/NID1/CTSV/LAMB2/FBLN1/LRP1/TGFBI
GO:0043062	extracellular structure organization	59	-0.696050557851579	-2.47663075330991	6.18149336912786e-10	4.16632653079217e-07	3.60044876938675e-07	243	tags=36%, list=5%, signal=34%	B4GALT1/FSCN1/APP/NFKB2/P4HA1/COL1A1/COL18A1/MELTF/COL1A2/COL5A2/ERO1A/FKBP10/MMP14/QSOX1/LAMC1/NID1/CTSV/LAMB2/FBLN1/LRP1/TGFBI
GO:0045229	external encapsulating structure organization	60	-0.67582761857117	-2.41612841413528	4.12886135809198e-09	2.0871394165155e-06	1.8036604880086e-06	243	tags=35%, list=5%, signal=34%	B4GALT1/FSCN1/APP/NFKB2/P4HA1/COL1A1/COL18A1/MELTF/COL1A2/COL5A2/ERO1A/FKBP10/MMP14/QSOX1/LAMC1/NID1/CTSV/LAMB2/FBLN1/LRP1/TGFBI
GO:0042274	ribosomal small subunit biogenesis	71	0.61195796970732	2.33961688611566	2.91709206838105e-08	1.1796720324533e-05	1.01944691231843e-05	1242	tags=65%, list=28%, signal=47%	RPS9/RPS8/RRS1/KRR1/NOP9/RPS5/ERAL1/NOL7/RPS6/ABT1/RPS16/MRPS7/PNO1/RPS24/WDR46/UTP20/RPS21/BMS1/RPS23/NAT10/LTV1/UTP18/NOL11/BYSL/IMP3/TSR1/AATF/DDX52/RPS14/UTP4/UTP3/HEATR1/EMG1/NPM1/MPHOSPH10/DCAF13/WDR43/TSR2/NOL6/NOB1/RRP7A/RPP40/UTP15/UTP23/RPS3A/WDR75
GO:0000470	maturation of LSU-rRNA	18	0.838949204563785	2.37201655550855	1.3202094420388e-07	4.44910581967074e-05	3.84482048032351e-05	376	tags=67%, list=8%, signal=61%	RPL35/RPL7/RPF2/RSL1D1/RPL7L1/GTPBP4/NIFK/FTSJ3/BOP1/NOP2/PES1/WDR12
GO:0060047	heart contraction	46	-0.689485124132852	-2.31442817459922	2.72170484175317e-07	6.87910898753113e-05	5.94477636488191e-05	386	tags=43%, list=9%, signal=40%	CDC42/SRI/GRK2/ATP2B1/AKAP9/TMEM65/CACNA2D1/FLNA/PPP1R13L/GPD1L/JUP/ATP2B4/DSP/GSN/DSG2/GSTM2/GAA/GPX1/S100A1/DSC2
GO:0008015	blood circulation	93	-0.557600686245757	-2.16621999780541	2.41485313821581e-07	6.87910898753113e-05	5.94477636488191e-05	607	tags=34%, list=14%, signal=30%	CDC42/SRI/GRK2/STK39/PLCB3/FERMT2/SOD2/ATP2B1/AKAP9/TMEM65/CACNA2D1/STAT1/WNK1/FLNA/PPP1R13L/MECP2/GPD1L/RHOA/ERAP1/JUP/ATP2B4/DSP/GSN/DSG2/COL1A2/ERAP2/GSTM2/SCPEP1/GAA/GPX1/S100A1/DSC2
GO:1903522	regulation of blood circulation	39	-0.68617581443062	-2.24322930245744	8.12056665400966e-07	0.000182442064160084	0.000157662463691883	386	tags=38%, list=9%, signal=35%	ATP2B1/AKAP9/TMEM65/CACNA2D1/FLNA/GPD1L/RHOA/JUP/ATP2B4/DSP/DSG2/GSTM2/GAA/S100A1/DSC2
GO:0003015	heart process	53	-0.634178719905269	-2.2000595490135	1.37439662873822e-06	0.000277902998330867	0.000240157726705836	386	tags=38%, list=9%, signal=35%	CDC42/SRI/GRK2/ATP2B1/AKAP9/TMEM65/CACNA2D1/FLNA/PPP1R13L/GPD1L/JUP/ATP2B4/DSP/GSN/DSG2/GSTM2/GAA/GPX1/S100A1/DSC2
