ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0045739	positive regulation of DNA repair	47	-0.653937167921324	-2.28994419754932	5.92983496557962e-07	0.00067294472019366	0.000543708785330085	815	tags=55%, list=18%, signal=46%	PARP1/ACTR5/SMARCD2/BRD8/ACTR2/SMARCE1/PNKP/ARID2/TOP2B/ARID1A/FUS/RIF1/ACTL6A/SMARCB1/XRCC1/MRNIP/DPF2/ARID1B/SMARCC1/EP400/H2AX/TRRAP/TRIM28/PCNA/SMARCD1/HMGB1
GO:2000779	regulation of double-strand break repair	48	-0.648413983380197	-2.28437423037425	7.9401250682885e-07	0.00067294472019366	0.000543708785330085	1187	tags=69%, list=27%, signal=51%	WRAP53/PRKDC/SMARCC2/ACTB/PPP4R2/KDM1A/RPA2/PARP1/TFIP11/PML/SMARCD2/BRD8/ACTR2/SMARCE1/PNKP/PPP4C/ARID2/TOP2B/ARID1A/FUS/RIF1/ACTL6A/SMARCB1/MRNIP/DPF2/ARID1B/SMARCC1/EP400/TRRAP/DEK/HSF1/SMARCD1/HMGA2
GO:0000724	double-strand break repair via homologous recombination	56	-0.624855902782937	-2.24041953395214	1.42349027754831e-06	0.00067294472019366	0.000543708785330085	1051	tags=62%, list=24%, signal=48%	ACTB/PPP4R2/POGZ/KDM1A/NBN/LIG3/SFPQ/RPA2/PARP1/INTS3/RPA1/RPA3/BRD8/ACTR2/PPP4C/NABP2/ARID2/FUS/MCM4/ATM/RIF1/ACTL6A/XRCC1/MCM5/SAMHD1/MRNIP/MCM6/MCM2/EP400/H2AX/MCM7/TRRAP/UHRF1/MCM3/CHD4
GO:0000725	recombinational repair	58	-0.611810250336973	-2.22138289714414	1.66405717159659e-06	0.00067294472019366	0.000543708785330085	1051	tags=60%, list=24%, signal=47%	ACTB/PPP4R2/POGZ/KDM1A/NBN/LIG3/SFPQ/RPA2/PARP1/INTS3/RPA1/RPA3/BRD8/ACTR2/PPP4C/NABP2/ARID2/FUS/MCM4/ATM/RIF1/ACTL6A/XRCC1/MCM5/SAMHD1/MRNIP/MCM6/MCM2/EP400/H2AX/MCM7/TRRAP/UHRF1/MCM3/CHD4
GO:0043588	skin development	68	-0.593402700855175	-2.20202926247491	1.58584226392871e-06	0.00067294472019366	0.000543708785330085	328	tags=34%, list=7%, signal=32%	CTNNB1/PPP3CA/NUMA1/SFN/ANXA1/CASP3/LAMA5/CLIC4/COL1A2/PPL/IL18/SGPP1/KRT9/CD109/DSP/PALLD/JUP/KRT2/KRT1/KRT10/COL1A1/SRSF6/KRT16
GO:0030216	keratinocyte differentiation	38	-0.690184990205042	-2.28331719053902	2.55162847131658e-06	0.000737056109857446	0.000595507877817043	312	tags=42%, list=7%, signal=39%	PPP3CA/NUMA1/SFN/ANXA1/CASP3/CLIC4/PPL/SGPP1/CD109/DSP/PALLD/KRT2/KRT1/KRT10/SRSF6/KRT16
GO:0006282	regulation of DNA repair	72	-0.589366126222021	-2.19425338139642	2.20033347781332e-06	0.000737056109857446	0.000595507877817043	842	tags=47%, list=19%, signal=39%	RPA2/PARP1/TFIP11/PML/ACTR5/SMARCD2/BRD8/ACTR2/SMARCE1/PNKP/UBE2V1/PPP4C/ARID2/TOP2B/ARID1A/FUS/RIF1/ACTL6A/SMARCB1/XRCC1/MRNIP/DPF2/ARID1B/SMARCC1/EP400/H2AX/TRRAP/TRIM28/PCNA/DEK/HSF1/SMARCD1/HMGB1/HMGA2
GO:0007162	negative regulation of cell adhesion	63	-0.5926120826913	-2.17504656337414	3.12913282569602e-06	0.000790888321694669	0.000639001861247398	354	tags=30%, list=8%, signal=28%	SLC4A2/DUSP3/RASA1/ANXA1/RAG2/CASP3/CBFB/PRKAR1A/HMGB1/RHOA/MMP14/RCC2/CDH1/EPCAM/HSPG2/COL1A1/PODXL/FBLN1/TGFBI
GO:0015748	organophosphate ester transport	36	0.660710200949552	2.21011185049066	3.9950521350321e-06	0.000897555046337212	0.000725183732581266	876	tags=61%, list=20%, signal=49%	SCARB1/NPC2/ABCC1/SCP2/CD47/DBI/SPNS1/SCARB2/ANO6/ATG9A/ATP11A/PLSCR3/SLC25A6/SLC66A2/VAPA/SLC25A4/SLC35B2/TMEM30A/TMEM41B/OSBP/CLPTM1L/SLC25A24
GO:0009913	epidermal cell differentiation	52	-0.610968897781644	-2.18794614012128	7.30267504242519e-06	0.00139047473975074	0.00112344046857887	384	tags=35%, list=9%, signal=32%	ESRP1/CTNNB1/PPP3CA/NUMA1/SFN/ANXA1/CASP3/CLIC4/PPL/SGPP1/CD109/DSP/PALLD/KRT2/KRT1/KRT10/SRSF6/KRT16
