ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0036293	response to decreased oxygen levels	92	-0.61319105153871	-2.28336681302242	3.51737405250266e-09	6.43579365936448e-06	5.36399898414417e-06	397	tags=29%, list=9%, signal=27%	HSP90B1/MMP14/HSPG2/P4HB/LONP1/LOXL2/CAT/ADA/PLAU/XRCC1/HP1BP3/PARP2/EGLN1/HMOX1/SOD2/SDHD/PLOD1/PGK1/PLOD2/FAM162A/NOL3/SLC2A1/STC2/NDRG1/AK4/ERO1A/ANGPTL4
GO:0001666	response to hypoxia	87	-0.616903960204905	-2.27584529360599	6.36577018730414e-09	6.43579365936448e-06	5.36399898414417e-06	397	tags=30%, list=9%, signal=28%	HSP90B1/MMP14/HSPG2/P4HB/LONP1/LOXL2/CAT/ADA/PLAU/XRCC1/HP1BP3/EGLN1/HMOX1/SOD2/SDHD/PLOD1/PGK1/PLOD2/FAM162A/NOL3/SLC2A1/STC2/NDRG1/AK4/ERO1A/ANGPTL4
GO:0019882	antigen processing and presentation	39	-0.739250336461996	-2.32690281374199	1.20490268147119e-08	8.1210440731158e-06	6.76859365977323e-06	520	tags=44%, list=12%, signal=39%	RAB6A/CTSL/PDIA3/HLA-A/PSME1/CTSH/TAP1/IFI30/TAP2/TAPBP/ERAP1/PSMB8/HLA-C/RELB/ERAP2/HLA-B/ICAM1
GO:0016052	carbohydrate catabolic process	71	-0.641099869734264	-2.30303978868694	1.96103293011592e-08	9.91302146173597e-06	8.26214137135681e-06	864	tags=54%, list=19%, signal=44%	ENO1/DHTKD1/STAT3/GALM/GALE/OGDH/LIPA/GM2A/GALK1/PYGB/GIT1/RB1CC1/SCARB2/PGM1/BPGM/TPI1/PFKP/PKM/GAPDH/STBD1/PGAM1/HEXB/HK1/LDHA/ALDOA/MAN2B1/HEXA/CTBS/NAGA/MAN2C1/PFKL/GLB1/PGK1/GAA/ALDOC/GPI/ENO2/PYGL
GO:1905820	positive regulation of chromosome separation	17	0.817884036388343	2.31743345599223	5.00809255313496e-07	0.000202527262848778	0.000168799077422507	533	tags=59%, list=12%, signal=52%	PLSCR1/CDC20/BIRC5/NCAPD3/NCAPH/SMC2/NCAPG/ANAPC7/SMC4/NCAPD2
GO:0071456	cellular response to hypoxia	43	-0.67064787150699	-2.17104945451123	1.53869508350371e-06	0.000444463065549215	0.000370443733637511	207	tags=26%, list=5%, signal=25%	HP1BP3/EGLN1/HMOX1/SDHD/PGK1/FAM162A/NOL3/STC2/NDRG1/AK4/ERO1A
GO:0006090	pyruvate metabolic process	56	-0.633972431306457	-2.16408293796257	1.49954221009143e-06	0.000444463065549215	0.000370443733637511	907	tags=50%, list=20%, signal=40%	ADPGK/FAHD1/ENO1/DHTKD1/STAT3/ME2/OGDH/LIPA/GALK1/GIT1/PGM1/BPGM/VDAC1/TPI1/PFKP/PKM/GAPDH/PGAM1/HK1/LDHA/ALDOA/SLC16A3/PFKL/PGK1/PCK2/ALDOC/GPI/ENO2
GO:0019318	hexose metabolic process	94	-0.5484991705645	-2.0481819390735	2.33134227587308e-06	0.000589246760226922	0.000491115655746422	748	tags=35%, list=17%, signal=30%	GALE/SRC/LIPA/GALK1/MAN2A1/GALK2/PGM1/SLC25A1/TPI1/PFKP/PKM/GAPDH/PGAM1/IRS1/POFUT2/TSTD1/PGM2L1/HK1/ALDOA/MAN2B1/BCKDK/MPI/MAN2C1/PFKL/FUCA1/H6PD/GLB1/PGK1/GAA/PCK2/ALDOC/GPI/ENO2
GO:0002456	T cell mediated immunity	27	-0.750831551360039	-2.17277234809588	2.63882856251478e-06	0.000592856817044987	0.000494124506267387	329	tags=37%, list=7%, signal=35%	HLA-A/CTSH/CD70/TAP2/CTSC/HLA-C/GNL1/HLA-B/ICAM1/HMGB1
GO:0036294	cellular response to decreased oxygen levels	48	-0.650216653716543	-2.14956572679871	4.90637192083159e-06	0.000992068402392147	0.000826852783710671	207	tags=23%, list=5%, signal=22%	HP1BP3/EGLN1/HMOX1/SDHD/PGK1/FAM162A/NOL3/STC2/NDRG1/AK4/ERO1A
