ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0050684	GO:0050684	regulation of mRNA processing	77	0.776769728538754	2.58815584786024	1e-10	3.37e-08	2.70701754385965e-08	111	tags=21%, list=2%, signal=21%	SRSF3/SRSF6/TRA2A/NCL/THRAP3/IWS1/RNPS1/RBM39/NPM1/NSRP1/SNRNP70/JMJD6/YTHDC1/CDK11B/SFSWAP/U2AF2
GO:0048024	GO:0048024	regulation of mRNA splicing, via spliceosome	63	0.800780765295413	2.58036072291955	1e-10	3.37e-08	2.70701754385965e-08	111	tags=22%, list=2%, signal=22%	SRSF3/SRSF6/TRA2A/NCL/THRAP3/RNPS1/RBM39/NPM1/NSRP1/SNRNP70/JMJD6/YTHDC1/SFSWAP/U2AF2
GO:0043484	GO:0043484	regulation of RNA splicing	93	0.745780289993179	2.55352853839281	1e-10	3.37e-08	2.70701754385965e-08	111	tags=16%, list=2%, signal=16%	SRSF3/SRSF6/SRSF1/TRA2A/NCL/THRAP3/RNPS1/RBM39/NPM1/NSRP1/SNRNP70/JMJD6/YTHDC1/SFSWAP/U2AF2
GO:0016042	GO:0016042	lipid catabolic process	98	-0.643287136842644	-2.52612189396991	1e-10	3.37e-08	2.70701754385965e-08	1153	tags=68%, list=26%, signal=52%	SLC27A4/ACOT8/LYPLA2/PCCA/SIRT2/ACAD11/ABCD1/CPT1A/PLCG1/MCAT/DAGLB/NEU1/SGPL1/HINT2/ECI1/PPT1/LDLR/DECR1/ACADM/AKT1/HEXA/HADH/HADHB/HSD17B10/ACAT2/IDH1/HSD17B4/HADHA/ACOX3/APOE/ACADS/PLBD2/PCCB/PAFAH1B2/ETFDH/ACADVL/ECHS1/OXCT1/IAH1/ACAT1/PLCB3/IVD/PAFAH1B3/ACAA1/DECR2/CROT/CRAT/ETFB/CPT2/HACL1/GCDH/ACAA2/NAGA/PNPLA6/ECH1/PNPLA8/ETFA/ABHD12/GDE1/EHHADH/ACOX1/SCP2/SCARB1/CYP1B1/GM2A/FUCA1/PLCE1
GO:0044242	GO:0044242	cellular lipid catabolic process	79	-0.665534338629228	-2.50106347134925	1e-10	3.37e-08	2.70701754385965e-08	1153	tags=75%, list=26%, signal=56%	SLC27A4/ACOT8/LYPLA2/PCCA/SIRT2/ACAD11/ABCD1/CPT1A/PLCG1/MCAT/DAGLB/NEU1/SGPL1/ECI1/PPT1/LDLR/DECR1/ACADM/AKT1/HEXA/HADH/HADHB/HSD17B10/ACAT2/IDH1/HSD17B4/HADHA/ACOX3/ACADS/PLBD2/PCCB/ETFDH/ACADVL/ECHS1/ACAT1/IVD/ACAA1/DECR2/CROT/CRAT/ETFB/CPT2/HACL1/GCDH/ACAA2/NAGA/PNPLA6/ECH1/PNPLA8/ETFA/ABHD12/GDE1/EHHADH/ACOX1/SCP2/SCARB1/CYP1B1/GM2A/FUCA1
GO:0042274	GO:0042274	ribosomal small subunit biogenesis	71	0.75380706627168	2.47073809960733	1e-10	3.37e-08	2.70701754385965e-08	828	tags=70%, list=19%, signal=58%	NPM1/RRP9/UTP18/DNTTIP2/AATF/UTP25/MPHOSPH10/NOL7/ABT1/TSR1/LTV1/RPS9/NOL10/EXOSC10/PNO1/UTP20/KRR1/BYSL/RCL1/NGDN/WDR43/NOL6/NOP58/RPS16/WDR36/NOM1/NAT10/WDR46/NOP9/TBL3/ERCC2/UTP4/RRS1/BMS1/UTP15/DCAF13/RPS8/PRKDC/IMP3/RPS6/UTP23/NOP56/RRP7A/RPS14/DDX52/RPP40/WDR75/RPSA/UTP3/RPS5
GO:0009636	GO:0009636	response to toxic substance	67	-0.64200600438862	-2.32901862078568	4.11547549464649e-09	1.18878449288217e-06	9.54914088457073e-07	835	tags=55%, list=19%, signal=46%	BLMH/ESD/NNT/LANCL1/AIFM1/ASS1/PRDX3/PRDX5/PARK7/CAT/TXNDC17/SLC30A1/MGST3/PRDX4/MPST/GSR/GPX7/AKR1A1/GSTT1/SOD1/FECH/APOE/PON2/GSTP1/CCS/PRDX2/BPHL/TXNRD2/GPX4/GSTM3/EPHX1/GSTM2/GPX1/CYP1B1/CDH1/SLC22A18/HBA1
GO:0034440	GO:0034440	lipid oxidation	48	-0.689032309892	-2.36423897416346	1.33638155833087e-08	2.75387955900138e-06	2.21210690798018e-06	770	tags=65%, list=17%, signal=54%	ECI1/DECR1/ACADM/AKT1/HADH/HADHB/HSD17B10/ACAT2/HSD17B4/HADHA/ACOX3/ACADS/ETFDH/ACADVL/ECHS1/ACAT1/IVD/ACAA1/DECR2/CROT/CRAT/ETFB/CPT2/HACL1/GCDH/ACAA2/ECH1/ETFA/EHHADH/ACOX1/SCP2
GO:0009062	GO:0009062	fatty acid catabolic process	49	-0.678048371918953	-2.33522030496745	1.34268524492677e-08	2.75387955900138e-06	2.21210690798018e-06	1153	tags=80%, list=26%, signal=60%	SLC27A4/ACOT8/PCCA/ACAD11/ABCD1/CPT1A/MCAT/ECI1/DECR1/ACADM/AKT1/HADH/HADHB/HSD17B10/ACAT2/HSD17B4/HADHA/ACOX3/ACADS/PCCB/ETFDH/ACADVL/ECHS1/ACAT1/IVD/ACAA1/DECR2/CROT/CRAT/ETFB/CPT2/HACL1/GCDH/ACAA2/ECH1/ETFA/EHHADH/ACOX1/SCP2
GO:0019395	GO:0019395	fatty acid oxidation	47	-0.689982262737526	-2.3291583989093	1.36195823887308e-08	2.75387955900138e-06	2.21210690798018e-06	770	tags=66%, list=17%, signal=55%	ECI1/DECR1/ACADM/AKT1/HADH/HADHB/HSD17B10/ACAT2/HSD17B4/HADHA/ACOX3/ACADS/ETFDH/ACADVL/ECHS1/ACAT1/IVD/ACAA1/DECR2/CROT/CRAT/ETFB/CPT2/HACL1/GCDH/ACAA2/ECH1/ETFA/EHHADH/ACOX1/SCP2
