ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042273	GO:0042273	ribosomal large subunit biogenesis	49	0.745915097163271	2.6200900078224	1e-10	2.022e-07	1.80736842105263e-07	588	tags=59%, list=13%, signal=52%	RPL35/RPL6/RPL26L1/RPL14/RPL7/RPL24/RPF2/RSL1D1/RRS1/RPL7L1/BRIX1/NVL/GTPBP4/NIFK/FTSJ3/EBNA1BP2/PAK1IP1/WDR74/BOP1/RSL24D1/RPL5/NOP2/PES1/MRTO4/WDR12/RPL23A/NOC2L/FASTKD2/EIF6
GO:0030198	GO:0030198	extracellular matrix organization	59	-0.696050557851579	-2.41375089968427	1.14506461217939e-09	7.71773548608908e-07	6.89851206705969e-07	243	tags=36%, list=5%, signal=34%	B4GALT1/FSCN1/APP/NFKB2/P4HA1/COL1A1/COL18A1/MELTF/COL1A2/COL5A2/ERO1A/FKBP10/MMP14/QSOX1/LAMC1/NID1/CTSV/LAMB2/FBLN1/LRP1/TGFBI
GO:0043062	GO:0043062	extracellular structure organization	59	-0.696050557851579	-2.41375089968427	1.14506461217939e-09	7.71773548608908e-07	6.89851206705969e-07	243	tags=36%, list=5%, signal=34%	B4GALT1/FSCN1/APP/NFKB2/P4HA1/COL1A1/COL18A1/MELTF/COL1A2/COL5A2/ERO1A/FKBP10/MMP14/QSOX1/LAMC1/NID1/CTSV/LAMB2/FBLN1/LRP1/TGFBI
GO:0000470	GO:0000470	maturation of LSU-rRNA	18	0.838949204563785	2.27994510216187	1.51545168346707e-07	5.10707217328402e-05	4.56496586054905e-05	376	tags=67%, list=8%, signal=61%	RPL35/RPL7/RPF2/RSL1D1/RPL7L1/GTPBP4/NIFK/FTSJ3/BOP1/NOP2/PES1/WDR12
GO:0060047	GO:0060047	heart contraction	46	-0.689485124132852	-2.24442767389177	2.95223449957053e-07	8.52774022590229e-05	7.62253629437984e-05	386	tags=43%, list=9%, signal=40%	CDC42/SRI/GRK2/ATP2B1/AKAP9/TMEM65/CACNA2D1/FLNA/PPP1R13L/GPD1L/JUP/ATP2B4/DSP/GSN/DSG2/GSTM2/GAA/GPX1/S100A1/DSC2
GO:0042255	GO:0042255	ribosome assembly	43	0.647689021471818	2.21104725348298	9.34417615269997e-07	0.000209932490897326	0.000187648543323811	1052	tags=60%, list=24%, signal=47%	RPL6/RPL24/RPF2/RRS1/BRIX1/RPS5/ERAL1/C1QBP/BOP1/RPL5/ABT1/NOP2/MTERF3/MRPS7/MRTO4/RPL23A/FASTKD2/EIF6/MRPS2/RPS14/EIF2A/DHX29/NOP53/NPM1/RRP7A/MDN1
GO:1903522	GO:1903522	regulation of blood circulation	39	-0.68617581443062	-2.16295241274575	2.39631577057956e-06	0.000440486408010169	0.000393729586419627	386	tags=38%, list=9%, signal=35%	ATP2B1/AKAP9/TMEM65/CACNA2D1/FLNA/GPD1L/RHOA/JUP/ATP2B4/DSP/DSG2/GSTM2/GAA/S100A1/DSC2
GO:0006936	GO:0006936	muscle contraction	70	-0.571585647160969	-2.06152618003517	6.04586410488492e-06	0.000873195515719807	0.000780507418653188	949	tags=49%, list=21%, signal=39%	ALDOA/CALM3/RAP1GDS1/SOD1/EMD/TPM3/ANXA6/ASPH/MYL6/ENO1/SRI/GRK2/C12orf57/ATP2B1/AKAP9/ORMDL3/CACNA2D1/FLNA/ACTA1/PPP1R13L/PLCE1/GPD1L/RHOA/JUP/ATP2B4/MYL1/TPM4/DSP/GSN/DSG2/GSTM2/GAA/CALD1/DSC2
GO:0070252	GO:0070252	actin-mediated cell contraction	24	-0.742230077435944	-2.12241778075331	1.15328987697053e-05	0.00137173654778495	0.0012261292376213	382	tags=42%, list=9%, signal=38%	AKAP9/CACNA2D1/FLNA/GPD1L/JUP/MYL1/DSP/GSN/DSG2/DSC2
GO:0051651	GO:0051651	maintenance of location in cell	62	-0.577852144390838	-2.0217709773388	1.74161693656286e-05	0.00195641635873895	0.00174874636261897	1069	tags=56%, list=24%, signal=43%	GHITM/TMSB4X/ITPR2/HNRNPU/HSPA5/OS9/CALM3/SLC30A7/HK1/ANXA6/AKT1/TWF2/PML/ARL2/TMED2/SRI/VPS13C/TXN/PLCB3/HSP90B1/SYNE1/AKAP9/PLCG1/HEXA/FLNA/FTH1/TSPO/PLCE1/GSN/FTL/SUN1/GSTM2/NOL3/ERO1A/GAA
GO:0000027	GO:0000027	ribosomal large subunit assembly	17	0.769667268418607	2.07376783042074	1.94775192920514e-05	0.00205213455338543	0.00183430424705231	528	tags=65%, list=12%, signal=57%	RPL6/RPL24/RPF2/RRS1/BRIX1/BOP1/RPL5/NOP2/MRTO4/RPL23A/FASTKD2
GO:1905818	GO:1905818	regulation of chromosome separation	43	0.605779833872053	2.06797983830957	2.13129701390178e-05	0.00205213455338543	0.00183430424705231	724	tags=40%, list=16%, signal=33%	PLSCR1/NDC80/CDC20/SPC25/SPC24/BIRC5/CCNB1/NCAPH/NCAPG/NCAPD2/CENPF/TTK/PSMG2/ANAPC7/BUB1/SMC2/SMC4
GO:0051304	GO:0051304	chromosome separation	44	0.590701387582105	2.03002086037054	4.04255188430585e-05	0.00371547268639383	0.00332108209825509	724	tags=39%, list=16%, signal=33%	PLSCR1/NDC80/CDC20/SPC25/SPC24/BIRC5/CCNB1/NCAPH/NCAPG/NCAPD2/CENPF/TTK/PSMG2/ANAPC7/BUB1/SMC2/SMC4
GO:0045910	GO:0045910	negative regulation of DNA recombination	15	0.790489807054008	2.06542351096209	4.70034983168532e-05	0.00413222059115988	0.00369359297986439	220	tags=33%, list=5%, signal=32%	H1-5/H1-2/NDFIP1/H1-10/H1-0
GO:0048002	GO:0048002	antigen processing and presentation of peptide antigen	24	-0.715285574415563	-2.0453695796058	5.73590901943626e-05	0.00444186283378863	0.00397036726826752	338	tags=50%, list=8%, signal=46%	TAP1/HLA-F/TAP2/TAPBP/HLA-C/ERAP1/PYCARD/LGMN/ERAP2/HLA-B/IFI30/CTSV
GO:0045839	GO:0045839	negative regulation of mitotic nuclear division	27	0.658995540127446	2.00907101974296	6.15094754431659e-05	0.00444186283378863	0.00397036726826752	579	tags=41%, list=13%, signal=36%	NDC80/CDC20/SPC25/SPC24/BIRC5/TOM1L2/CCNB1/CENPF/TTK/PSMG2/BUB1
GO:0051784	GO:0051784	negative regulation of nuclear division	27	0.658995540127446	2.00907101974296	6.15094754431659e-05	0.00444186283378863	0.00397036726826752	579	tags=41%, list=13%, signal=36%	NDC80/CDC20/SPC25/SPC24/BIRC5/TOM1L2/CCNB1/CENPF/TTK/PSMG2/BUB1
GO:0042303	GO:0042303	molting cycle	15	-0.804635064450349	-2.06430942798085	7.2640725435836e-05	0.00473804989778259	0.0042351146204866	221	tags=40%, list=5%, signal=38%	CTNNB1/PPP1R13L/TRADD/LAMA5/CD109/KRT16
GO:0042633	GO:0042633	hair cycle	15	-0.804635064450349	-2.06430942798085	7.2640725435836e-05	0.00473804989778259	0.0042351146204866	221	tags=40%, list=5%, signal=38%	CTNNB1/PPP1R13L/TRADD/LAMA5/CD109/KRT16
GO:0016052	GO:0016052	carbohydrate catabolic process	71	-0.532230244217689	-1.92478400818816	7.74087226706671e-05	0.00489126366375278	0.00437206502715577	1010	tags=51%, list=23%, signal=40%	PPP1CA/TPI1/PGAM1/ALDOA/HK1/PRKAA1/ZBTB7A/PGM1/MAN2C1/STBD1/PGM2/OGDH/GAPDH/ENO1/ARL2/CTBS/GALT/DHTKD1/AGL/PFKM/GALK1/HEXA/PFKL/GIT1/GPD2/GPI/APP/MAN2B1/BPGM/PGK1/ENO2/ALDOC/GLB1/NAGA/GAA/PYGL
GO:1990748	GO:1990748	cellular detoxification	39	-0.618947552018424	-1.95103656066953	0.000111085628763885	0.00680651943516898	0.00608401992304916	904	tags=44%, list=20%, signal=35%	SOD1/LANCL1/TXNRD2/ADH5/PRDX2/MGST3/GSTT1/TXN/GSTK1/CCS/SOD2/AKR1A1/GSTM2/GPX7/GPX1/GPX4/HBA1
GO:0040013	GO:0040013	negative regulation of locomotion	76	-0.512237757412335	-1.87817283110382	0.000147243662153241	0.0080466671587528	0.00719252824799759	605	tags=32%, list=14%, signal=28%	NF1/STK24/RAC1/WASL/NISCH/HMOX1/ARHGAP4/DAG1/DUSP3/TIMP1/CTNNA1/RABGEF1/CDH1/MECP2/RHOA/SERPINE1/JUP/ATP2B4/SEMA3C/TCAF1/EPPK1/FBLN1/KRT16/LRP1
GO:0051985	GO:0051985	negative regulation of chromosome segregation	26	0.648875513106413	1.96461701471749	0.000189921573488107	0.00914336718078456	0.0081728155809293	579	tags=38%, list=13%, signal=34%	NDC80/CDC20/SPC25/SPC24/BIRC5/CCNB1/CENPF/TTK/PSMG2/BUB1
GO:1902100	GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	26	0.648875513106413	1.96461701471749	0.000189921573488107	0.00914336718078456	0.0081728155809293	579	tags=38%, list=13%, signal=34%	NDC80/CDC20/SPC25/SPC24/BIRC5/CCNB1/CENPF/TTK/PSMG2/BUB1
GO:0000070	GO:0000070	mitotic sister chromatid segregation	96	0.444883761848044	1.78534420490534	0.000180927727862029	0.00914336718078456	0.0081728155809293	724	tags=30%, list=16%, signal=26%	RRS1/EML4/SPAG5/NDC80/CDC20/SPC25/SPC24/BIRC5/CCNB1/RACGAP1/NCAPH/NCAPG/BCCIP/NUSAP1/TPX2/KIF4A/KIF2C/KIF22/NCAPD2/CENPF/TTK/PSMG2/ANAPC7/BUB1/NUDC/KIFC1/AKAP8L/SMC2/SMC4
GO:2000146	GO:2000146	negative regulation of cell motility	73	-0.510014327125374	-1.84245253149798	0.000201782970477394	0.00948849223965791	0.00848130624993109	605	tags=32%, list=14%, signal=28%	NF1/STK24/RAC1/WASL/NISCH/HMOX1/ARHGAP4/DAG1/DUSP3/TIMP1/CTNNA1/RABGEF1/CDH1/MECP2/RHOA/SERPINE1/JUP/ATP2B4/TCAF1/EPPK1/FBLN1/KRT16/LRP1
GO:0098900	GO:0098900	regulation of action potential	18	-0.741774444927741	-1.99957516831404	0.000218680847131617	0.0100493789295484	0.00898265584988008	382	tags=50%, list=9%, signal=46%	AKAP9/KCNAB2/CACNA2D1/FLNA/MECP2/JUP/DSP/DSG2/DSC2
GO:0031577	GO:0031577	spindle checkpoint signaling	25	0.662790354746115	1.98850796746889	0.000243473446512923	0.0109400735299807	0.00977880485760674	579	tags=40%, list=13%, signal=35%	NDC80/CDC20/SPC25/SPC24/BIRC5/CCNB1/CENPF/TTK/PSMG2/BUB1
GO:0051149	GO:0051149	positive regulation of muscle cell differentiation	17	-0.751323436102446	-2.00169201922063	0.000292651130734704	0.0125902252413951	0.011253796001601	497	tags=41%, list=11%, signal=37%	NIBAN2/SOD2/PARP2/MMP14/LAMC1/NID1/LAMB2
GO:1902905	GO:1902905	positive regulation of supramolecular fiber organization	74	-0.496033913864116	-1.80457881511987	0.000330150190282148	0.0136237486683776	0.0121776128187851	708	tags=34%, list=16%, signal=29%	VASP/PDE4DIP/ARL2/ARPC2/ARHGEF10/CDC42/RHOC/RAC1/SNX9/FERMT2/AKAP9/SLAIN2/FLNA/GIT1/MAP1B/APP/MECP2/FCHSD1/RHOA/CDC42EP1/GSN/PYCARD/NCK2/CLU/GPX1
GO:0010810	GO:0010810	regulation of cell-substrate adhesion	70	-0.509421375118819	-1.83731958052685	0.000355350821404429	0.0143703872175951	0.0128449970600296	650	tags=39%, list=15%, signal=33%	GFUS/ARL2/TLN1/ARPC2/CDC42/NF1/RSU1/RAC1/RCC2/ARHGEF7/FERMT2/DAG1/RAC2/DUSP3/FLNA/RHOA/SERPINE1/JUP/RASA1/COL1A1/MELTF/MMP14/RAC3/FN1/PLAU/NID1/FBLN1
GO:0007094	GO:0007094	mitotic spindle assembly checkpoint signaling	24	0.664746129763112	1.97738204829092	0.000420578505104607	0.0146622368503709	0.0131058673913722	579	tags=42%, list=13%, signal=36%	NDC80/CDC20/SPC25/SPC24/BIRC5/CCNB1/CENPF/TTK/PSMG2/BUB1
GO:0071174	GO:0071174	mitotic spindle checkpoint signaling	24	0.664746129763112	1.97738204829092	0.000420578505104607	0.0146622368503709	0.0131058673913722	579	tags=42%, list=13%, signal=36%	NDC80/CDC20/SPC25/SPC24/BIRC5/CCNB1/CENPF/TTK/PSMG2/BUB1
GO:0033046	GO:0033046	negative regulation of sister chromatid segregation	25	0.650764204181922	1.95242703170446	0.000399417608845285	0.0146622368503709	0.0131058673913722	579	tags=40%, list=13%, signal=35%	NDC80/CDC20/SPC25/SPC24/BIRC5/CCNB1/CENPF/TTK/PSMG2/BUB1
GO:0045841	GO:0045841	negative regulation of mitotic metaphase/anaphase transition	25	0.650764204181922	1.95242703170446	0.000399417608845285	0.0146622368503709	0.0131058673913722	579	tags=40%, list=13%, signal=35%	NDC80/CDC20/SPC25/SPC24/BIRC5/CCNB1/CENPF/TTK/PSMG2/BUB1
GO:0006942	GO:0006942	regulation of striated muscle contraction	21	-0.703786632727111	-1.93675320782139	0.000567170191435305	0.0188002971652817	0.0168046802190581	603	tags=43%, list=14%, signal=37%	SRI/GRK2/C12orf57/AKAP9/JUP/DSP/DSG2/GSTM2/DSC2
GO:0072006	GO:0072006	nephron development	26	-0.649966918475431	-1.89400179188777	0.00062569108394224	0.0201604316625714	0.0180204389424932	324	tags=31%, list=7%, signal=29%	PPP3CA/STAT1/CTNNB1/PLCE1/LAMA5/NID1/PODXL/LAMB2
GO:0098754	GO:0098754	detoxification	42	-0.577614396700774	-1.8451098005634	0.000638114553117988	0.0201604316625714	0.0180204389424932	904	tags=43%, list=20%, signal=34%	SOD1/LANCL1/TXNRD2/ADH5/PRDX2/MGST3/GSTT1/TXN/GSTK1/CCS/SOD2/AKR1A1/SLC22A18/GSTM2/GPX7/GPX1/GPX4/HBA1
GO:0007162	GO:0007162	negative regulation of cell adhesion	63	-0.516302471834019	-1.81979188971596	0.000749443939056156	0.0229602370419931	0.0205230501333241	391	tags=29%, list=9%, signal=26%	DUSP3/PLXND1/WNK1/ASS1/ANXA1/CDH1/RHOA/SERPINE1/RAG2/RASA1/COL1A1/MELTF/MMP14/EPCAM/PODXL/FBLN1/HSPG2/TGFBI
GO:0030261	GO:0030261	chromosome condensation	22	0.654157282186016	1.89045719531313	0.000940674267220038	0.0283887069898346	0.0253752979861242	814	tags=59%, list=18%, signal=49%	H1-5/H1-2/H1-10/H1-0/NCAPH/NCAPG/NUSAP1/NCAPD2/TOP2A/AKAP8L/SMC2/SMC4/CDK1
GO:0034446	GO:0034446	substrate adhesion-dependent cell spreading	41	-0.560361575111692	-1.78872110919834	0.00110310767796345	0.0318640532120299	0.0284817426024547	805	tags=46%, list=18%, signal=38%	PARVB/RAB1A/SRC/DOCK1/MICALL2/ARPC2/CDC42/RAC1/RCC2/ARHGEF7/FERMT2/FLNA/RHOA/MELTF/RAC3/FN1/LAMC1/LAMA5/FBLN1
GO:0007519	GO:0007519	skeletal muscle tissue development	37	-0.579033886841633	-1.80898022398176	0.00124270474123592	0.0353908307997046	0.0316341592394673	900	tags=38%, list=20%, signal=30%	PRKAA1/EMD/PPP3CB/MYL6/NF1/NIBAN2/YBX3/PPP3CA/ACTA1/CTNNB1/RHOA/HMG20B/GPC1/GPX1
GO:0055117	GO:0055117	regulation of cardiac muscle contraction	18	-0.698408792330254	-1.88267591048087	0.0012812952427763	0.0355337504050755	0.0317619081917407	382	tags=39%, list=9%, signal=36%	SRI/AKAP9/JUP/DSP/DSG2/GSTM2/DSC2
GO:0045765	GO:0045765	regulation of angiogenesis	65	-0.496052244377317	-1.75814717486702	0.00165284614133669	0.042846857663882	0.0382987425732133	655	tags=34%, list=15%, signal=29%	PML/NF1/CD40/HMOX1/NIBAN2/ANXA3/PLXND1/PLCG1/STAT1/WNK1/CTNNB1/MECP2/PGK1/HSPB1/SERPINE1/ERAP1/JUP/ATP2B4/HMGA2/ANGPTL4/HSPG2/S100A1
GO:0046718	GO:0046718	viral entry into host cell	52	0.487267941418038	1.74275560739396	0.0016804722381541	0.0430115805765519	0.03844598045184	726	tags=35%, list=16%, signal=29%	ITGA2/SCARB1/TFRC/SLC1A5/EPHA2/PLSCR1/NPC1/ITGA5/ITGB5/SLC3A2/LAMP1/AXL/ITGB1/ICAM1/IDE/SLC7A1/CXADR/NUP153
GO:0048708	GO:0048708	astrocyte differentiation	19	-0.67887047017057	-1.83830057909888	0.00175414761804193	0.0443360810460097	0.0396298876339209	208	tags=21%, list=5%, signal=20%	APP/MECP2/LAMB2/LRP1
