ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0036293	GO:0036293	response to decreased oxygen levels	92	-0.61319105153871	-2.27781059646895	4.94462932918404e-09	9.99804050361012e-06	8.23931392431403e-06	397	tags=29%, list=9%, signal=27%	HSP90B1/MMP14/HSPG2/P4HB/LONP1/LOXL2/CAT/ADA/PLAU/XRCC1/HP1BP3/PARP2/EGLN1/HMOX1/SOD2/SDHD/PLOD1/PGK1/PLOD2/FAM162A/NOL3/SLC2A1/STC2/NDRG1/AK4/ERO1A/ANGPTL4
GO:0019882	GO:0019882	antigen processing and presentation	39	-0.739250336461996	-2.3529861734217	4.03804169672504e-08	2.15976243738409e-05	1.77984483230726e-05	520	tags=44%, list=12%, signal=39%	RAB6A/CTSL/PDIA3/HLA-A/PSME1/CTSH/TAP1/IFI30/TAP2/TAPBP/ERAP1/PSMB8/HLA-C/RELB/ERAP2/HLA-B/ICAM1
GO:0016052	GO:0016052	carbohydrate catabolic process	71	-0.641099869734264	-2.28747861151797	4.27252707692203e-08	2.15976243738409e-05	1.77984483230726e-05	864	tags=54%, list=19%, signal=44%	ENO1/DHTKD1/STAT3/GALM/GALE/OGDH/LIPA/GM2A/GALK1/PYGB/GIT1/RB1CC1/SCARB2/PGM1/BPGM/TPI1/PFKP/PKM/GAPDH/STBD1/PGAM1/HEXB/HK1/LDHA/ALDOA/MAN2B1/HEXA/CTBS/NAGA/MAN2C1/PFKL/GLB1/PGK1/GAA/ALDOC/GPI/ENO2/PYGL
GO:1905820	GO:1905820	positive regulation of chromosome separation	17	0.817884036388343	2.37169570444207	3.73563787350625e-07	0.000151069195604593	0.000124495047447587	533	tags=59%, list=12%, signal=52%	PLSCR1/CDC20/BIRC5/NCAPD3/NCAPH/SMC2/NCAPG/ANAPC7/SMC4/NCAPD2
GO:0006090	GO:0006090	pyruvate metabolic process	56	-0.633972431306457	-2.15325551331042	1.58559829669902e-06	0.00053434662598757	0.000440351246258693	907	tags=50%, list=20%, signal=40%	ADPGK/FAHD1/ENO1/DHTKD1/STAT3/ME2/OGDH/LIPA/GALK1/GIT1/PGM1/BPGM/VDAC1/TPI1/PFKP/PKM/GAPDH/PGAM1/HK1/LDHA/ALDOA/SLC16A3/PFKL/PGK1/PCK2/ALDOC/GPI/ENO2
GO:0002456	GO:0002456	T cell mediated immunity	27	-0.750831551360039	-2.19348149720399	2.25093893064929e-06	0.000577911523585911	0.000476252767888228	329	tags=37%, list=7%, signal=35%	HLA-A/CTSH/CD70/TAP2/CTSC/HLA-C/GNL1/HLA-B/ICAM1/HMGB1
GO:0019318	GO:0019318	hexose metabolic process	94	-0.5484991705645	-2.04291518808186	2.2864946531589e-06	0.000577911523585911	0.000476252767888228	748	tags=35%, list=17%, signal=30%	GALE/SRC/LIPA/GALK1/MAN2A1/GALK2/PGM1/SLC25A1/TPI1/PFKP/PKM/GAPDH/PGAM1/IRS1/POFUT2/TSTD1/PGM2L1/HK1/ALDOA/MAN2B1/BCKDK/MPI/MAN2C1/PFKL/FUCA1/H6PD/GLB1/PGK1/GAA/PCK2/ALDOC/GPI/ENO2
GO:0071456	GO:0071456	cellular response to hypoxia	43	-0.67064787150699	-2.1584942491777	3.35418597705174e-06	0.000663736705419986	0.00054698068857298	207	tags=26%, list=5%, signal=25%	HP1BP3/EGLN1/HMOX1/SDHD/PGK1/FAM162A/NOL3/STC2/NDRG1/AK4/ERO1A
GO:0036294	GO:0036294	cellular response to decreased oxygen levels	48	-0.650216653716543	-2.12736342275185	3.61083271989112e-06	0.000663736705419986	0.00054698068857298	207	tags=23%, list=5%, signal=22%	HP1BP3/EGLN1/HMOX1/SDHD/PGK1/FAM162A/NOL3/STC2/NDRG1/AK4/ERO1A
GO:0051651	GO:0051651	maintenance of location in cell	62	-0.6059645991005	-2.09781946941336	3.32398372302514e-06	0.000663736705419986	0.00054698068857298	833	tags=42%, list=19%, signal=35%	PLCG1/ITPR2/GSTM2/SYNE1/GM2A/CHCHD10/TMED2/GSN/FTH1/VPS13C/HSPA5/GHITM/ITPR3/HSP90B1/FTL/SUN1/TSPO/CHERP/HEXB/PLCE1/FLNA/HK1/HEXA/GAA/NOL3/ERO1A
