ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006376	GO:0006376	mRNA splice site selection	18	-0.870954465627334	-2.32951044369227	2.39034275913332e-07	0.000399078405097565	0.000355054919210651	294	tags=44%, list=7%, signal=42%	SFSWAP/NOL3/PSIP1/YTHDC1/LUC7L3/LUC7L2/SRSF1/SRSF6
GO:0045229	GO:0045229	external encapsulating structure organization	60	-0.643523162319573	-2.15650259145223	5.92104458601729e-07	0.000399078405097565	0.000355054919210651	627	tags=43%, list=14%, signal=38%	COL5A2/P4HA1/SH3PXD2B/COL18A1/CLASP1/HRNR/APP/ERCC2/QSOX1/MELTF/VIPAS39/B4GALT1/NFKB2/COL1A2/FSCN1/ERO1A/LAMC1/COL1A1/FKBP10/MMP14/LAMB2/NID1/CTSV/LRP1/FBLN1/TGFBI
GO:0043588	GO:0043588	skin development	68	-0.627733207309425	-2.14855456131951	5.90311163982236e-07	0.000399078405097565	0.000355054919210651	509	tags=43%, list=11%, signal=38%	NUMA1/CASP3/HRNR/LSR/TRADD/ERCC2/ITGB4/PPP3CA/CTNNB1/SFN/IL18/PALLD/COL1A2/CLIC4/COL1A1/PTGES3/LAMA5/PPL/ANXA1/SGPP1/JUP/KRT2/KRT10/KRT1/DSP/KRT9/CD109/SRSF6/KRT16
GO:0008544	GO:0008544	epidermis development	78	-0.586174724021549	-2.053739958893	2.59163777269386e-06	0.000873381929397832	0.000777036658514704	509	tags=33%, list=11%, signal=30%	NUMA1/CASP3/HRNR/LSR/ESRP1/TRADD/ERCC2/PPP3CA/CTNNB1/SFN/IL18/PALLD/CLIC4/LAMA5/PPL/ANXA1/FABP5/SGPP1/KRT2/KRT10/KRT1/DSP/KRT9/CD109/SRSF6/KRT16
GO:0030216	GO:0030216	keratinocyte differentiation	38	-0.698998360353269	-2.14526740904093	4.36552406835105e-06	0.00126101280945797	0.00112190686207698	266	tags=45%, list=6%, signal=42%	NUMA1/CASP3/HRNR/PPP3CA/SFN/PALLD/CLIC4/PPL/ANXA1/SGPP1/KRT2/KRT10/KRT1/DSP/CD109/SRSF6/KRT16
GO:0050684	GO:0050684	regulation of mRNA processing	77	-0.570739442672041	-1.99468473084238	1.58145973842441e-05	0.0035530128789935	0.00316106981633604	294	tags=19%, list=7%, signal=19%	SFSWAP/CDK11B/NSRP1/JMJD6/YTHDC1/NPM1/RBM39/SNRNP70/THRAP3/IWS1/NCL/RNPS1/TRA2A/SRSF6/SRSF3
GO:0017004	GO:0017004	cytochrome complex assembly	18	0.781739213547284	2.16287599133788	1.85735905881365e-05	0.00375558001692121	0.00334129119106583	541	tags=67%, list=12%, signal=59%	COX16/SCO2/COA6/COA4/HCCS/LYRM7/COX15/COX17/SCO1/COA3/UQCC6/BCS1L
GO:0050678	GO:0050678	regulation of epithelial cell proliferation	71	-0.563782098097748	-1.93681582944629	2.31038129704162e-05	0.00389299248551513	0.00346354529530187	289	tags=20%, list=6%, signal=19%	B4GALT1/STAT1/CTNNB1/SFN/LAMC1/LAMA5/GPX1/EGFL7/HMGN1/CD109/EPPK1/HSPG2/HMGB1/SRSF6
GO:0006303	GO:0006303	double-strand break repair via nonhomologous end joining	29	-0.688586109731498	-2.01573507980511	5.50507428565467e-05	0.00795090014685268	0.00707381349938634	880	tags=52%, list=20%, signal=42%	PRKDC/RIF1/LIG4/SMARCAL1/TOP2B/HSF1/ZBTB7A/MRNIP/PNKP/PAXX/ATM/XRCC1/DEK/HMGB1/HMGA2
GO:0002474	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	16	-0.80530160463758	-2.10128064868174	9.03299922255219e-05	0.0107439555458827	0.00955875892962334	301	tags=56%, list=7%, signal=53%	ERAP2/HLA-F/ERAP1/TAP1/TAPBP/TAP2/HLA-C/IFI30/HLA-B
GO:2000779	GO:2000779	regulation of double-strand break repair	48	-0.625275727694858	-2.02980069076662	8.01924088390495e-05	0.0107439555458827	0.00955875892962334	905	tags=56%, list=20%, signal=45%	SMARCC2/ARID2/PPP4C/ARID1A/SMARCB1/MMS19/PRKDC/RIF1/SMARCE1/SMARCD2/PARP1/SMARCC1/RPA2/EP400/DPF2/ACTR2/ARID1B/TRRAP/TOP2B/ACTB/HSF1/PML/MRNIP/PNKP/SMARCD1/DEK/HMGA2
GO:0042273	GO:0042273	ribosomal large subunit biogenesis	49	0.55997698429837	1.94658874004144	8.84601985222377e-05	0.0107439555458827	0.00955875892962334	1131	tags=57%, list=25%, signal=43%	RPL35/RPF2/RPL6/RPL26L1/RPL14/RPL7/RRS1/RSL1D1/RPL7L1/NVL/RPL24/GTPBP4/BRIX1/NIFK/FTSJ3/WDR74/PAK1IP1/RPL23A/NOC2L/PES1/RPL5/NOP16/ZNF622/WDR12/AFG2B/NOP53/MALSU1/FASTKD2
GO:0007006	GO:0007006	mitochondrial membrane organization	68	0.503420907124387	1.87617020073996	0.00010169701561017	0.0114239647535425	0.0101637543671217	1376	tags=59%, list=31%, signal=41%	SLC35F6/TOMM5/SLC25A6/TOMM6/APOO/TOMM7/TIMM29/BID/TIMM8B/OMA1/TIMM8A/BCS1L/MTCH2/TOMM40/TIMM13/TP53/CHCHD10/CHCHD3/TIMM10B/TOMM22/PDCD5/VDAC2/TOMM20/MTCH1/PPIF/AFG3L2/TIMM9/GCLC/MICOS13/HSPA9/TIMM50/MTX1/TOMM70/IMMT/HSPA4/TIMM22/MFN2/ACAA2/DNAJC11/HIP1R
GO:0033108	GO:0033108	mitochondrial respiratory chain complex assembly	62	0.512006289673523	1.87478822909328	0.000115046386796904	0.0122433575843863	0.0108927576197179	541	tags=31%, list=12%, signal=27%	SDHAF2/COX16/SCO2/NDUFAF2/NDUFAF1/COA4/LYRM7/NDUFAF4/ECSIT/NDUFAB1/NDUFAF3/CHCHD4/COX17/SCO1/AIFM1/OMA1/COA3/UQCC6/BCS1L
GO:0006839	GO:0006839	mitochondrial transport	98	0.457111351443361	1.79637663737385	0.000125087406665215	0.0126463368138532	0.0112512830521501	1207	tags=48%, list=27%, signal=36%	FLVCR1/GRPEL1/DNLZ/SLC35F6/TOMM5/CPT1A/SLC25A6/TOMM6/HAX1/TOMM7/TIMM17A/ATG13/TIMM29/CHCHD4/BID/HSPD1/AIFM1/TIMM8B/TIMM8A/BCS1L/PARL/MTCH2/TOMM40/TIMM13/TP53/CHCHD10/TIMM10B/TOMM22/TIMM23/PDCD5/VDAC2/TOMM20/MTCH1/CPT2/PPIF/TIMM44/TIMM9/GCLC/MFF/SLC25A10/TIMM50/MTX1/TOMM70/TIMM21/KIFBP/HSPA4/PMPCA
GO:0098773	GO:0098773	skin epidermis development	25	-0.712274805175164	-2.04648120789871	0.000179915052933269	0.0165358289559577	0.0147117141369835	509	tags=48%, list=11%, signal=43%	NUMA1/HRNR/LSR/TRADD/ERCC2/CTNNB1/SFN/IL18/LAMA5/KRT1/CD109/KRT16
GO:0045109	GO:0045109	intermediate filament organization	17	-0.772399096760888	-2.03375975737322	0.000226955618406015	0.0172386953475541	0.0153370453167629	77	tags=41%, list=2%, signal=41%	KRT2/KRT10/KRT1/DSP/KRT9/EPPK1/KRT16
GO:0000470	GO:0000470	maturation of LSU-rRNA	18	0.732655375966523	2.0270733451019	0.000240073433376286	0.0172386953475541	0.0153370453167629	408	tags=44%, list=9%, signal=41%	RPL35/RPF2/RPL7/RSL1D1/RPL7L1/GTPBP4/NIFK/FTSJ3
GO:0045682	GO:0045682	regulation of epidermis development	15	-0.772135015753486	-1.97905884980635	0.000247241426844248	0.0172386953475541	0.0153370453167629	509	tags=53%, list=11%, signal=47%	NUMA1/ESRP1/SFN/SGPP1/KRT2/KRT10/CD109/SRSF6
GO:0061041	GO:0061041	regulation of wound healing	31	-0.664265829833721	-1.97880168127458	0.000241139537372659	0.0172386953475541	0.0153370453167629	124	tags=32%, list=3%, signal=32%	CLASP1/SERPINE1/FERMT2/ANXA1/KRT1/PLAU/CD109/EPPK1/TFPI/SRSF6
GO:0001952	GO:0001952	regulation of cell-matrix adhesion	40	-0.607141952174438	-1.88581674008657	0.000207606061731488	0.0172386953475541	0.0153370453167629	937	tags=52%, list=21%, signal=42%	MAP4K4/ROCK2/NF1/CIB1/ACTG1/PIK3CB/TLN1/GSK3B/CLASP1/MACF1/SERPINE1/FERMT2/RAC1/DUSP3/GFUS/RASA1/RHOA/MMP14/JUP/RCC2/PLAU
GO:0030856	GO:0030856	regulation of epithelial cell differentiation	29	-0.655366467191248	-1.91848943708792	0.000268105544190888	0.0174874003339992	0.015558314941332	509	tags=34%, list=11%, signal=31%	NUMA1/ESRP1/SERPINE1/STAT1/CTNNB1/SFN/VEZF1/SGPP1/CD109/SRSF6
