ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0001533	cornified envelope	18	-0.887114169666987	-2.52980912146786	6.16467266086135e-10	1.83090778027582e-07	1.25889104863906e-07	226	tags=67%, list=5%, signal=64%	ANXA1/HSPB1/PPL/DSG2/PKP3/DSP/JUP/KRT2/KRT1/KRT10/DSC2/KRT16
GO:0005604	basement membrane	22	-0.819396926991941	-2.42312846197084	9.54278938887603e-08	4.19977943534096e-06	2.88767396936433e-06	208	tags=50%, list=5%, signal=48%	LAMA5/LAMC1/COL18A1/VWA1/FN1/LAMB2/AGRN/NID1/HSPG2/FBLN1/TGFBI
GO:0098802	plasma membrane signaling receptor complex	27	0.76105484509016	2.3562534945536	5.66858752269106e-08	4.19977943534096e-06	2.88767396936433e-06	292	tags=41%, list=7%, signal=38%	ITGA5/ITGA2/IL13RA1/ITGB5/ABHD12/TFRC/ITGB1/ITGAE/ITGA1/ITGAV/ITGA3
GO:0022625	cytosolic large ribosomal subunit	41	0.693416382334971	2.31613083146148	7.81948118253261e-08	4.19977943534096e-06	2.88767396936433e-06	536	tags=44%, list=12%, signal=39%	RPL35/RPL18A/RPL18/RPL15/RPL6/RPL7/RPL26L1/RPL13A/RPL14/RPL28/RPL36AL/RPL19/RPL4/RPL8/RPL24/RSL1D1/RPL7L1/RPL13
GO:0000313	organellar ribosome	74	0.58427492243542	2.20928319795944	4.8753261715243e-08	4.19977943534096e-06	2.88767396936433e-06	1533	tags=74%, list=34%, signal=50%	MRPS15/MRPS24/MRPS6/MRPS12/MRPS16/MRPL46/MRPL43/MRPS26/MRPS34/MRPS10/MRPL1/MRPS14/MRPS18A/MRPS22/MRPS2/MRPL12/MRPL17/MRPS27/MRPS17/MRPS18C/MRPS18B/MRPL2/MRPL42/MRPS25/CHCHD1/MRPL27/MRPS23/MRPS11/MRPS31/MRPL30/MRPL50/MRPL10/MRPL55/MRPL53/MRPL9/MRPL23/MRPL38/MRPS28/MRPS5/MRPL19/MRPL18/MRPS35/MRPL49/MRPL24/MRPL16/MRPL11/MRPS7/GADD45GIP1/MRPL32/MRPL45/MRPL47/MRPL54/MRPL21/MRPL4/MRPL39
GO:0005761	mitochondrial ribosome	74	0.58427492243542	2.20928319795944	4.8753261715243e-08	4.19977943534096e-06	2.88767396936433e-06	1533	tags=74%, list=34%, signal=50%	MRPS15/MRPS24/MRPS6/MRPS12/MRPS16/MRPL46/MRPL43/MRPS26/MRPS34/MRPS10/MRPL1/MRPS14/MRPS18A/MRPS22/MRPS2/MRPL12/MRPL17/MRPS27/MRPS17/MRPS18C/MRPS18B/MRPL2/MRPL42/MRPS25/CHCHD1/MRPL27/MRPS23/MRPS11/MRPS31/MRPL30/MRPL50/MRPL10/MRPL55/MRPL53/MRPL9/MRPL23/MRPL38/MRPS28/MRPS5/MRPL19/MRPL18/MRPS35/MRPL49/MRPL24/MRPL16/MRPL11/MRPS7/GADD45GIP1/MRPL32/MRPL45/MRPL47/MRPL54/MRPL21/MRPL4/MRPL39
GO:0015934	large ribosomal subunit	87	0.554798922603366	2.16170610251262	9.89847004962515e-08	4.19977943534096e-06	2.88767396936433e-06	1533	tags=64%, list=34%, signal=43%	RPL35/RPL18A/RPL18/RPL15/RPL6/RPL7/RPL26L1/RPL13A/RPL14/MRPL46/RPL28/RPL36AL/RPL19/RPL4/MRPL43/RPL8/RPL24/RSL1D1/RPL7L1/MRPL1/RPL13/MRPS18A/MRPL12/MRPL17/MRPL2/MRPL42/RPL27A/MRPL27/MRPL30/MRPL50/MRPL10/MRPL55/RPL3/MRPL53/MRPL9/MRPL23/MRPL38/MRPL19/MRPL18/RPL37A/RPL27/MRPL49/MRPL24/MRPL16/MRPL11/RPL37/GADD45GIP1/MRPL32/MRPL45/RPL17/MRPL47/RPL29/MRPL54/MRPL21/MRPL4/MRPL39
GO:0070603	SWI/SNF superfamily-type complex	46	-0.671447711487666	-2.37918350614593	3.78173706511794e-07	1.40396988542503e-05	9.65338145569578e-06	1119	tags=74%, list=25%, signal=56%	RBBP7/SMARCC2/SUZ12/ACTB/GATAD2B/MTA3/CHD3/SS18/ACTR5/SMARCA5/SMARCD2/BAZ1B/BRD8/SMARCE1/BAZ2A/ARID2/SMARCA1/ARID1A/ACTL6A/SMARCB1/GATAD2A/MTA2/DPF2/BPTF/ANP32E/ARID1B/RBBP4/SMARCC1/EP400/TRRAP/CHD5/DEK/SMARCD1/CHD4
GO:0000781	chromosome, telomeric region	78	-0.568495836540857	-2.19463795293882	5.94756341953051e-07	1.96269592844507e-05	1.34950561799874e-05	1335	tags=63%, list=30%, signal=45%	FEN1/TOX4/WRNIP1/ORC2/WRAP53/PRKDC/XRCC6/RBBP7/SSB/GATAD2B/POLR2B/LIG4/KDM1A/NBN/MEN1/CDK1/MSH2/CBX1/RPA2/CBX5/PARP1/CDK2/TFIP11/ALYREF/PML/RPA1/NABP2/MCM4/POLD1/ATM/RIF1/ATRX/PPP1CB/PPP1CC/XRCC1/MCM5/DHX36/MTA2/MCM6/MCM2/RBBP4/WDR82/H2AX/MCM7/HAT1/PPP1CA/PCNA/MCM3/CHD4
GO:0000314	organellar small ribosomal subunit	29	0.72241978482879	2.28769673493992	1.42308641238884e-06	3.84233331344986e-05	2.64190204787975e-05	913	tags=76%, list=21%, signal=61%	MRPS15/MRPS24/MRPS6/MRPS12/MRPS16/MRPS26/MRPS34/MRPS10/MRPS14/MRPS18A/MRPS22/MRPS2/MRPS27/MRPS17/MRPS18C/MRPS18B/MRPL42/MRPS25/CHCHD1/MRPS23/MRPS11/MRPS31
