ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0000313	organellar ribosome	74	0.749097850323827	2.83538619163984	1e-10	5.94e-09	4.86315789473684e-09	934	tags=91%, list=21%, signal=73%	MRPS15/CHCHD1/MRPL43/MRPS12/MRPS18A/MRPS6/MRPS16/MRPL17/MRPL46/MRPL12/MRPL53/MRPS26/MRPL30/MRPS23/MRPL1/MRPS7/MRPL23/MRPS24/MRPS18C/MRPS34/MRPL2/MRPL19/MRPL32/MRPL27/MRPS14/MRPL38/MRPL50/MRPL9/MRPL11/MRPS10/MRPL45/GADD45GIP1/MRPL55/MRPL47/MRPL13/MRPL49/MRPL10/MRPS2/MRPS22/MRPL39/MRPL24/MRPL28/MRPL4/MRPL16/MRPL21/MRPS18B/MRPS28/MRPL15/MRPL41/MRPL42/MRPL40/MRPS5/MRPL3/MRPS17/MRPS27/MRPS25/MRPS11/MRPS31/MRPL18/MRPL14/MRPL44/MRPL58/DAP3/MRPL37/MRPS35/MRPS30/MRPL54
GO:0005761	mitochondrial ribosome	74	0.749097850323827	2.83538619163984	1e-10	5.94e-09	4.86315789473684e-09	934	tags=91%, list=21%, signal=73%	MRPS15/CHCHD1/MRPL43/MRPS12/MRPS18A/MRPS6/MRPS16/MRPL17/MRPL46/MRPL12/MRPL53/MRPS26/MRPL30/MRPS23/MRPL1/MRPS7/MRPL23/MRPS24/MRPS18C/MRPS34/MRPL2/MRPL19/MRPL32/MRPL27/MRPS14/MRPL38/MRPL50/MRPL9/MRPL11/MRPS10/MRPL45/GADD45GIP1/MRPL55/MRPL47/MRPL13/MRPL49/MRPL10/MRPS2/MRPS22/MRPL39/MRPL24/MRPL28/MRPL4/MRPL16/MRPL21/MRPS18B/MRPS28/MRPL15/MRPL41/MRPL42/MRPL40/MRPS5/MRPL3/MRPS17/MRPS27/MRPS25/MRPS11/MRPS31/MRPL18/MRPL14/MRPL44/MRPL58/DAP3/MRPL37/MRPS35/MRPS30/MRPL54
GO:0015934	large ribosomal subunit	87	0.709898802194759	2.76650150515984	1e-10	5.94e-09	4.86315789473684e-09	1088	tags=85%, list=24%, signal=66%	RPL35/RPL18/RPL18A/RPL6/RPL26L1/RPL14/RPL15/RPL13A/RPL7/RPL4/RPL13/RSL1D1/MRPL43/RPL28/RPL8/RPL19/MRPS18A/RPL7L1/MRPL17/MRPL46/RPL24/MRPL12/MRPL53/MRPL30/RPL27A/MRPL1/RPL36AL/MRPL23/MRPL2/MRPL19/MRPL32/MRPL27/MRPL38/MRPL50/MRPL9/MRPL11/MRPL45/GADD45GIP1/MRPL55/MRPL47/RPL3/MRPL13/MRPL49/MRPL10/MRPL39/MRPL24/MRPL28/MRPL4/RPL17/MRPL16/MRPL21/MRPL15/MRPL41/RPL27/MRPL42/MRPL40/MRPL3/RPL21/RPL23A/MRPL18/MRPL14/MRPL44/MRPL58/MRPL37/RPL5/MRPS30/RPL37/MRPL54/RPL37A/RPL32/RPL29/RPL36/RPL23/MRPL48
GO:0000315	organellar large ribosomal subunit	45	0.757648402090056	2.61716135797999	1e-10	5.94e-09	4.86315789473684e-09	934	tags=93%, list=21%, signal=74%	MRPL43/MRPS18A/MRPL17/MRPL46/MRPL12/MRPL53/MRPL30/MRPL1/MRPL23/MRPL2/MRPL19/MRPL32/MRPL27/MRPL38/MRPL50/MRPL9/MRPL11/MRPL45/GADD45GIP1/MRPL55/MRPL47/MRPL13/MRPL49/MRPL10/MRPL39/MRPL24/MRPL28/MRPL4/MRPL16/MRPL21/MRPL15/MRPL41/MRPL42/MRPL40/MRPL3/MRPL18/MRPL14/MRPL44/MRPL58/MRPL37/MRPS30/MRPL54
GO:0005762	mitochondrial large ribosomal subunit	45	0.757648402090056	2.61716135797999	1e-10	5.94e-09	4.86315789473684e-09	934	tags=93%, list=21%, signal=74%	MRPL43/MRPS18A/MRPL17/MRPL46/MRPL12/MRPL53/MRPL30/MRPL1/MRPL23/MRPL2/MRPL19/MRPL32/MRPL27/MRPL38/MRPL50/MRPL9/MRPL11/MRPL45/GADD45GIP1/MRPL55/MRPL47/MRPL13/MRPL49/MRPL10/MRPL39/MRPL24/MRPL28/MRPL4/MRPL16/MRPL21/MRPL15/MRPL41/MRPL42/MRPL40/MRPL3/MRPL18/MRPL14/MRPL44/MRPL58/MRPL37/MRPS30/MRPL54
GO:0022626	cytosolic ribosome	79	0.632204515877563	2.41903139932712	1.56403629937602e-10	7.74197968191129e-09	6.33846289747123e-09	1106	tags=57%, list=25%, signal=44%	RPL35/RPL18/RPL18A/RPL6/RPL26L1/RPL14/RPL15/RPL13A/RPL7/RPL4/RPS9/RPL13/RSL1D1/RPL28/RPL8/RPL19/RPL7L1/RPL24/RPL27A/RPS8/RPL36AL/GSPT1/RPL3/RPL17/EEF1A1/RPL27/RPL21/ETF1/RPS16/RPL23A/HBS1L/RPS5/RPS21/RPS24/RPL5/RPL37/GCN1/RPL37A/RPL32/RPS23/RPL29/FAU/RPL36/RPL23/RPS3A
GO:0001533	cornified envelope	18	-0.920416640305948	-2.41061928123746	2.50343245678949e-10	1.06217062809497e-08	8.69613379726877e-09	149	tags=72%, list=3%, signal=70%	HSPB1/PPL/ANXA1/JUP/PKP3/DSG2/KRT2/KRT10/KRT1/DSP/NCL/DSC2/KRT16
GO:0000314	organellar small ribosomal subunit	29	0.788118815372106	2.48045669536917	3.25090324338029e-09	1.0727980703155e-07	8.78314209615026e-08	882	tags=93%, list=20%, signal=75%	MRPS15/CHCHD1/MRPS12/MRPS18A/MRPS6/MRPS16/MRPS26/MRPS23/MRPS7/MRPS24/MRPS18C/MRPS34/MRPS14/MRPS10/MRPS2/MRPS22/MRPS18B/MRPS28/MRPL42/MRPS5/MRPS17/MRPS27/MRPS25/MRPS11/MRPS31/DAP3/MRPS35
GO:0005763	mitochondrial small ribosomal subunit	29	0.788118815372106	2.48045669536917	3.25090324338029e-09	1.0727980703155e-07	8.78314209615026e-08	882	tags=93%, list=20%, signal=75%	MRPS15/CHCHD1/MRPS12/MRPS18A/MRPS6/MRPS16/MRPS26/MRPS23/MRPS7/MRPS24/MRPS18C/MRPS34/MRPS14/MRPS10/MRPS2/MRPS22/MRPS18B/MRPS28/MRPL42/MRPS5/MRPS17/MRPS27/MRPS25/MRPS11/MRPS31/DAP3/MRPS35
GO:0022625	cytosolic large ribosomal subunit	41	0.715599798759542	2.40584623630817	1.44457546475741e-08	4.29038913032951e-07	3.51259928798908e-07	1078	tags=76%, list=24%, signal=58%	RPL35/RPL18/RPL18A/RPL6/RPL26L1/RPL14/RPL15/RPL13A/RPL7/RPL4/RPL13/RSL1D1/RPL28/RPL8/RPL19/RPL7L1/RPL24/RPL27A/RPL36AL/RPL3/RPL17/RPL27/RPL21/RPL23A/RPL5/RPL37/RPL37A/RPL32/RPL29/RPL36/RPL23
