ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0001533	GO:0001533	cornified envelope	18	-0.887114169666987	-2.4913604025292	5.66560934544025e-09	1.68268597559575e-06	1.162940865643e-06	226	tags=67%, list=5%, signal=64%	ANXA1/HSPB1/PPL/DSG2/PKP3/DSP/JUP/KRT2/KRT1/KRT10/DSC2/KRT16
GO:0005604	GO:0005604	basement membrane	22	-0.819396926991941	-2.43248603303959	6.35500191842751e-08	3.23781101337855e-06	2.23772159350989e-06	208	tags=50%, list=5%, signal=48%	LAMA5/LAMC1/COL18A1/VWA1/FN1/LAMB2/AGRN/NID1/HSPG2/FBLN1/TGFBI
GO:0098802	GO:0098802	plasma membrane signaling receptor complex	27	0.76105484509016	2.31723474552935	6.37554267238327e-08	3.23781101337855e-06	2.23772159350989e-06	292	tags=41%, list=7%, signal=38%	ITGA5/ITGA2/IL13RA1/ITGB5/ABHD12/TFRC/ITGB1/ITGAE/ITGA1/ITGAV/ITGA3
GO:0000313	GO:0000313	organellar ribosome	74	0.58427492243542	2.24701164667573	4.95355158507562e-08	3.23781101337855e-06	2.23772159350989e-06	1533	tags=74%, list=34%, signal=50%	MRPS15/MRPS24/MRPS6/MRPS12/MRPS16/MRPL46/MRPL43/MRPS26/MRPS34/MRPS10/MRPL1/MRPS14/MRPS18A/MRPS22/MRPS2/MRPL12/MRPL17/MRPS27/MRPS17/MRPS18C/MRPS18B/MRPL2/MRPL42/MRPS25/CHCHD1/MRPL27/MRPS23/MRPS11/MRPS31/MRPL30/MRPL50/MRPL10/MRPL55/MRPL53/MRPL9/MRPL23/MRPL38/MRPS28/MRPS5/MRPL19/MRPL18/MRPS35/MRPL49/MRPL24/MRPL16/MRPL11/MRPS7/GADD45GIP1/MRPL32/MRPL45/MRPL47/MRPL54/MRPL21/MRPL4/MRPL39
GO:0005761	GO:0005761	mitochondrial ribosome	74	0.58427492243542	2.24701164667573	4.95355158507562e-08	3.23781101337855e-06	2.23772159350989e-06	1533	tags=74%, list=34%, signal=50%	MRPS15/MRPS24/MRPS6/MRPS12/MRPS16/MRPL46/MRPL43/MRPS26/MRPS34/MRPS10/MRPL1/MRPS14/MRPS18A/MRPS22/MRPS2/MRPL12/MRPL17/MRPS27/MRPS17/MRPS18C/MRPS18B/MRPL2/MRPL42/MRPS25/CHCHD1/MRPL27/MRPS23/MRPS11/MRPS31/MRPL30/MRPL50/MRPL10/MRPL55/MRPL53/MRPL9/MRPL23/MRPL38/MRPS28/MRPS5/MRPL19/MRPL18/MRPS35/MRPL49/MRPL24/MRPL16/MRPL11/MRPS7/GADD45GIP1/MRPL32/MRPL45/MRPL47/MRPL54/MRPL21/MRPL4/MRPL39
GO:0015934	GO:0015934	large ribosomal subunit	87	0.554798922603366	2.18560912286655	6.54103235025969e-08	3.23781101337855e-06	2.23772159350989e-06	1533	tags=64%, list=34%, signal=43%	RPL35/RPL18A/RPL18/RPL15/RPL6/RPL7/RPL26L1/RPL13A/RPL14/MRPL46/RPL28/RPL36AL/RPL19/RPL4/MRPL43/RPL8/RPL24/RSL1D1/RPL7L1/MRPL1/RPL13/MRPS18A/MRPL12/MRPL17/MRPL2/MRPL42/RPL27A/MRPL27/MRPL30/MRPL50/MRPL10/MRPL55/RPL3/MRPL53/MRPL9/MRPL23/MRPL38/MRPL19/MRPL18/RPL37A/RPL27/MRPL49/MRPL24/MRPL16/MRPL11/RPL37/GADD45GIP1/MRPL32/MRPL45/RPL17/MRPL47/RPL29/MRPL54/MRPL21/MRPL4/MRPL39
GO:0070603	GO:0070603	SWI/SNF superfamily-type complex	46	-0.671447711487666	-2.34394920334691	5.24361514587254e-07	1.94669212290518e-05	1.34540125453309e-05	1119	tags=74%, list=25%, signal=56%	RBBP7/SMARCC2/SUZ12/ACTB/GATAD2B/MTA3/CHD3/SS18/ACTR5/SMARCA5/SMARCD2/BAZ1B/BRD8/SMARCE1/BAZ2A/ARID2/SMARCA1/ARID1A/ACTL6A/SMARCB1/GATAD2A/MTA2/DPF2/BPTF/ANP32E/ARID1B/RBBP4/SMARCC1/EP400/TRRAP/CHD5/DEK/SMARCD1/CHD4
GO:0000781	GO:0000781	chromosome, telomeric region	78	-0.568495836540857	-2.20361193541457	1.11367660676041e-06	3.67513280230936e-05	2.53996419085708e-05	1335	tags=63%, list=30%, signal=45%	FEN1/TOX4/WRNIP1/ORC2/WRAP53/PRKDC/XRCC6/RBBP7/SSB/GATAD2B/POLR2B/LIG4/KDM1A/NBN/MEN1/CDK1/MSH2/CBX1/RPA2/CBX5/PARP1/CDK2/TFIP11/ALYREF/PML/RPA1/NABP2/MCM4/POLD1/ATM/RIF1/ATRX/PPP1CB/PPP1CC/XRCC1/MCM5/DHX36/MTA2/MCM6/MCM2/RBBP4/WDR82/H2AX/MCM7/HAT1/PPP1CA/PCNA/MCM3/CHD4
GO:0043235	GO:0043235	receptor complex	52	0.603962158531709	2.15749704365047	5.74919695674676e-06	0.000142292624679482	9.8341526891721e-05	432	tags=35%, list=10%, signal=32%	GPRC5A/CD44/ITGA5/ITGA2/IL13RA1/EPHA2/ITGB5/ABHD12/TFRC/ITGB1/ITGAE/ITGA1/ITGAV/ITGA3/ITPR3/NOTCH2/ENG/HSPD1
GO:0000228	GO:0000228	nuclear chromosome	84	-0.520558017894398	-2.04911342965215	2.11641401909131e-05	0.000483519202823169	0.000334170634593365	926	tags=49%, list=21%, signal=39%	RCC1/POLD2/BIRC5/RPA2/TOP2A/PARP1/OGT/RPA1/ACTR5/SMARCA5/BAZ1B/SMC4/RPA3/BRD8/POLD3/SMARCE1/SMC1A/TARDBP/CPSF6/MCM4/TOP1/POLD1/ACTL6A/ATRX/SMARCB1/MCM5/WDHD1/MCM6/HNRNPU/ANP32E/POLA2/MCM2/RBBP4/EP400/H2AX/MCM7/TRRAP/PCNA/MCM3/NCAPD3/HMGA2
