ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0004386	helicase activity	87	0.595605851608881	2.524598609231	1e-10	1.66e-08	9.47368421052631e-09	925	tags=52%, list=21%, signal=42%	DDX21/DDX5/MCM7/DDX56/MCM6/MCM3/MCM5/MCM2/DDX47/RFC2/MCM4/CHD8/RFC4/DDX3X/DHX33/G3BP1/DHX16/ERCC6L/DDX49/DDX55/CHD4/EIF4A1/DHX29/DHX38/DDX54/RFC5/DDX27/EP400/DHX30/MTREX/DDX39A/DDX10/DHX9/DDX23/RFC3/UPF1/AQR/DDX51/BTAF1/CHD1/SMARCA1/SNRNP200/SRCAP/DDX20/DHX36
GO:0030246	carbohydrate binding	66	-0.663929200365334	-2.49012888724697	1e-10	1.66e-08	9.47368421052631e-09	861	tags=65%, list=19%, signal=53%	UGP2/OS9/NOMO1/PFKP/AGL/P3H1/LMAN2/LMAN2L/LGALS1/CANX/ENPP1/MAN2A1/CHID1/GALK1/GANAB/MLEC/STBD1/GALM/LOXL2/P3H3/LMAN1/FBXO2/BSG/MAN2B1/GBE1/PLOD3/HK1/ALDOA/GUSB/EGLN1/MAN2C1/PFKL/PLOD1/H6PD/PLOD2/P4HA2/MRC2/GPI/LGALS3/GAA/P4HA1/GYS1/PYGL
GO:0042393	histone binding	91	0.558469960342165	2.39219448034214	5.32284795895885e-10	5.89061840791446e-08	3.36179871092138e-08	1142	tags=56%, list=26%, signal=43%	NCAPD3/UHRF1/CKS2/HAT1/MCM2/KMT2C/NPM3/DEK/GRWD1/NCAPD2/CHD8/RBBP4/RRP8/SUPT6H/VRK1/SUZ12/TSPYL1/RBBP7/CHD4/DNAJC2/WRAP53/BAZ1B/RNF20/PSME4/NPM1/USP15/PHC2/LRWD1/PYGO2/H2AX/WDR5/MPHOSPH8/ING5/USP3/PWP1/CHD1/HJURP/DNAJC9/SIRT1/NOC2L/RCC1/GLYR1/BPTF/SRCAP/NAP1L1/DAXX/SMARCC1/SSRP1/COPRS/NASP/ATRX
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	57	-0.663154727933672	-2.39949160941827	3.19522160155996e-09	2.65203392929477e-07	1.51352602179156e-07	764	tags=54%, list=17%, signal=46%	KCNAB2/UGDH/GRHPR/HADH/HSD17B11/CBR1/DHRS7/PHGDH/HADHB/HADHA/DCXR/AKR1A1/IMPDH1/ME2/PTGR1/DHRS4L2/HSD17B4/AKR7A2/CBR4/RDH14/DHRS4/PTGR2/KDSR/GPD1L/HSD17B12/LDHA/HSD17B8/HIBADH/IDH2/EHHADH/H6PD
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	61	-0.635446304895632	-2.3440860425733	2.47585909750371e-08	1.64397044074246e-06	9.38220289580353e-07	902	tags=56%, list=20%, signal=45%	MDH2/CHDH/ALDH3A2/KCNAB2/UGDH/GRHPR/HADH/HSD17B11/CBR1/DHRS7/PHGDH/HADHB/HADHA/DCXR/AKR1A1/IMPDH1/ME2/PTGR1/DHRS4L2/HSD17B4/AKR7A2/CBR4/RDH14/DHRS4/PTGR2/KDSR/GPD1L/HSD17B12/LDHA/HSD17B8/HIBADH/IDH2/EHHADH/H6PD
GO:0048029	monosaccharide binding	30	-0.753764130273941	-2.40754126886403	3.49984921755072e-08	1.65992848603834e-06	9.47327607758089e-07	274	tags=50%, list=6%, signal=47%	P3H3/LMAN1/BSG/PLOD3/HK1/ALDOA/EGLN1/PFKL/PLOD1/PLOD2/P4HA2/GPI/P4HA1/GYS1/PYGL
GO:0140097	catalytic activity, acting on DNA	90	0.526514779430592	2.2477931637327	3.38699119788501e-08	1.65992848603834e-06	9.47327607758089e-07	1341	tags=57%, list=30%, signal=40%	DNMT1/PCNA/TOP1/MCM7/MCM6/MCM3/MCM5/MCM2/RFC2/TOP2A/MCM4/CHD8/RBBP4/RFC4/DDX3X/G3BP1/ERCC6L/CHD4/RFC5/CHRAC1/EP400/DHX30/DHX9/RFC3/UPF1/N6AMT1/APTX/BTAF1/CHD1/SMARCA1/BPTF/SRCAP/HMGA2/REXO2/DHX36/FEN1/WAPL/MPG/MGME1/TWNK/MSH2/NME1/ATRX/TDP1/TOP2B/PLD3/CHTF18/LIG1/DKC1/RPS3/MSH6
GO:0016829	lyase activity	71	-0.591700661821734	-2.26749649922202	6.05848308984989e-08	2.5142704822877e-06	1.43490388970129e-06	724	tags=44%, list=16%, signal=37%	DDT/ACO1/KYAT3/ENO1/ECHS1/HADHB/UROS/HADHA/SGPL1/ME2/APMAP/TKFC/HSD17B4/BCKDHA/GGACT/HACD3/GMDS/TPI1/MGST3/HACL1/ACO2/HMGCL/ASL/FECH/ALDOA/SDSL/PCK2/EHHADH/RNASET2/ENO2/ALDOC
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	38	-0.697015604871591	-2.35418630967115	1.28773281228721e-07	4.75030326310394e-06	2.71101644692045e-06	669	tags=63%, list=15%, signal=54%	ACAD8/DHCR7/ACADVL/IVD/ACADS/BLVRB/PTGR1/CPOX/DECR2/MECR/PPOX/COX15/PTGR2/ACOX3/ACADSB/ACAA1/SDHC/CRAT/ACAD11/ACOX1/SDHA/SDHD/SDHB/TM7SF2
GO:0016860	intramolecular oxidoreductase activity	30	-0.737003566526477	-2.35400761385078	1.61708881959987e-07	5.36873488107155e-06	3.06395776345238e-06	724	tags=70%, list=16%, signal=59%	DDT/TXNDC5/ERP44/ECI2/ECHS1/ECI1/PDIA4/TMX3/PIGK/CRELD2/TPI1/ECH1/PDIA3/PDIA6/HYI/P4HB/QSOX1/EHHADH/PDIA5/MPI/GPI
