ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042393	histone binding	91	0.730353646774039	2.48430679489428	1e-10	3.32e-08	2.29473684210526e-08	600	tags=47%, list=13%, signal=42%	ANP32A/ANP32E/NPM3/ANP32B/CBX5/DEK/NPM1/PTMA/PTMS/SSRP1/SET/RRP8/BRD4/MPHOSPH8/CHD1/CHD8/PHC2/SUPT6H/DNAJC2/UHRF1/NCAPD3/CHD4/DAXX/SIRT1/MCM2/VRK1/NCAPD2/RSF1/SRCAP/CHD5/BAZ1B/SUZ12/MSH6/IPO7/USP3/PHF6/HAT1/LRWD1/WDR5/MCM3AP/HJURP/ZMYND8/USP15
GO:0140097	catalytic activity, acting on DNA	90	0.670543785441885	2.28267373755467	2.01186207014971e-08	3.33969103644851e-06	2.30834700680335e-06	890	tags=54%, list=20%, signal=44%	HMGA2/PTGES3/TOP1/POLD3/TOP2A/DNMT1/XRCC1/CHD1/CHD8/TDP1/MCM7/MCM3/RFC2/MCM5/CHD4/MCM6/MCM2/RSF1/DKC1/CHRAC1/TOP2B/SRCAP/CHD5/ERCC6L/HLTF/MSH6/RFC4/PCNA/MCM4/ERCC2/CHTF18/EP400/DDX11L8/SMARCA1/RPS3/POLD1/RFC5/DHX9/WAPL/TWNK/ATRX/RFC3/BPTF/MPG/NME1/FEN1/MSH2/LIG1/DDX3X
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	26	-0.771163518288807	-2.33384097438907	2.09726794683605e-07	2.3209765278319e-05	1.60422600845705e-05	895	tags=81%, list=20%, signal=65%	ALDH9A1/ALDH1A3/ALDH2/DLD/ALDH5A1/AKR1B1/OGDH/DHTKD1/DLAT/ALDH16A1/PDHA1/PDHX/ALDH3A2/BCKDHB/GAPDH/PDHB/HSD17B12/ALDH1B1/BCKDHA/ALDH4A1/ALDH7A1
GO:0016209	antioxidant activity	29	-0.737519722218307	-2.29353369150694	1.09655841821226e-06	6.39114735876779e-05	4.41747027333982e-05	755	tags=66%, list=17%, signal=55%	PRDX3/PRDX5/PARK7/CAT/TXNDC17/MGST3/PRDX4/GSR/GPX7/GSTT1/SOD1/APOE/GSTP1/PRDX2/TXNRD2/GPX4/GSTM2/GPX1/HBA1
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	22	-0.783816967961967	-2.26672118833889	1.72342042081896e-06	6.39114735876779e-05	4.41747027333982e-05	895	tags=82%, list=20%, signal=66%	ALDH9A1/ALDH1A3/ALDH2/DLD/ALDH5A1/AKR1B1/OGDH/DLAT/ALDH16A1/PDHA1/PDHX/ALDH3A2/GAPDH/PDHB/HSD17B12/ALDH1B1/ALDH4A1/ALDH7A1
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	38	-0.675711028688038	-2.22217723278513	1.71049191493294e-06	6.39114735876779e-05	4.41747027333982e-05	707	tags=66%, list=16%, signal=56%	PECR/DECR1/SDHB/ACADM/MECR/DHODH/DHCR7/BLVRB/CPOX/ACOX3/DHCR24/ACADS/ACADVL/IVD/ACAA1/DECR2/COX15/CRAT/RETSAT/GCDH/SDHA/ACOX1/ACAD8/ACADSB/TM7SF2
GO:0043177	organic acid binding	55	-0.618373211236481	-2.20944342023352	1.03413012581336e-06	6.39114735876779e-05	4.41747027333982e-05	619	tags=42%, list=14%, signal=36%	DDAH2/SHMT1/P3H1/PLOD3/ACOX3/MCCC1/GCLC/GSTP1/CRABP1/PLOD2/EGLN1/PLOD1/P4HA2/PC/DBT/GSTM2/ACOX1/SCP2/UROS/P4HA1/AGRN/CRABP2/HBA1
GO:0004386	helicase activity	87	0.635748388124875	2.16602494562594	1.43644340762556e-06	6.39114735876779e-05	4.41747027333982e-05	814	tags=55%, list=18%, signal=46%	DDX23/DDX21/CHD1/CHD8/DDX55/MCM7/MCM3/RFC2/MCM5/CHD4/MCM6/MCM2/DHX33/DDX47/DHX16/SRCAP/CHD5/ERCC6L/DDX5/MTREX/HLTF/RFC4/DDX27/DDX10/DHX38/DDX20/MCM4/ERCC2/CHTF18/EP400/DDX56/DDX11L8/DDX50/SMARCA1/EIF4A1/DDX51/RFC5/DDX39A/DHX9/DHX29/DDX43/TWNK/ATRX/DDX52/SNRNP200/RFC3/AQR/DDX54
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	61	-0.592301866362422	-2.14386950920733	1.73253994665392e-06	6.39114735876779e-05	4.41747027333982e-05	1207	tags=61%, list=27%, signal=45%	MDH1/G6PD/DHRS7B/DHRS7/LDHA/CBR1/CBR4/IDH3G/KCNAB2/SPR/GRHPR/AKR1B1/HADH/HADHB/L2HGDH/AKR1A1/HSD17B10/IDH1/HSD17B4/HADHA/ME2/HSD17B8/ALDH3A2/GPD1L/IMPDH1/MDH2/HSD17B12/UGDH/CHDH/DHRS4L2/DHRS4/DCXR/AKR7A2/HIBADH/H6PD/EHHADH/IDH2
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	57	-0.587645061415999	-2.10026058096219	6.77357772191551e-06	0.000204438891243268	0.000141305257739481	1207	tags=60%, list=27%, signal=44%	MDH1/G6PD/DHRS7B/DHRS7/LDHA/CBR1/CBR4/IDH3G/KCNAB2/SPR/GRHPR/AKR1B1/HADH/HADHB/AKR1A1/HSD17B10/IDH1/HSD17B4/HADHA/ME2/HSD17B8/GPD1L/IMPDH1/MDH2/HSD17B12/UGDH/DHRS4L2/DHRS4/DCXR/AKR7A2/HIBADH/H6PD/EHHADH/IDH2
