ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0001618	virus receptor activity	32	0.706377908885916	2.26452154707295	1.97653071259355e-06	0.000275462636753022	0.000234064637443912	820	tags=62%, list=18%, signal=51%	SCARB1/TFRC/ITGA2/NPC1/EPHA2/SLC1A5/ITGA5/LAMP1/ITGB5/CD81/ITGB1/LDLR/BSG/ITGAV/NECTIN2/CXADR/CD46/SLC3A2/IDE/SLC7A1
GO:0140272	exogenous protein binding	32	0.706377908885916	2.26452154707295	1.97653071259355e-06	0.000275462636753022	0.000234064637443912	820	tags=62%, list=18%, signal=51%	SCARB1/TFRC/ITGA2/NPC1/EPHA2/SLC1A5/ITGA5/LAMP1/ITGB5/CD81/ITGB1/LDLR/BSG/ITGAV/NECTIN2/CXADR/CD46/SLC3A2/IDE/SLC7A1
GO:0015291	secondary active transmembrane transporter activity	39	0.660881951417492	2.1976454054957	2.48912021162369e-06	0.000275462636753022	0.000234064637443912	978	tags=59%, list=22%, signal=46%	SLC39A14/SLC29A1/SLC26A2/SLC16A2/SLC1A5/SLC5A6/SLC12A7/SLC38A2/SLC4A7/SLC25A6/SLC16A1/SLC4A11/SLC16A3/CHP1/SLC25A1/SLC7A5/SLC35B2/SLC35E1/SLC7A6/SLC3A2/SLC9A6/SLC12A2/SLC25A10
GO:0005200	structural constituent of cytoskeleton	52	-0.645436880805313	-2.17363481384301	5.93495895013683e-06	0.000492601592861357	0.000418570789114913	764	tags=50%, list=17%, signal=42%	ACTG1/TUBB1/POTEKP/TLN1/TUBB/LMNB2/ACTR2/ACTA1/LMNB1/ACTB/TUBGCP3/TUBA1C/ARPC2/ARPC5/TUBB4A/TUBB3/TUBAL3/ARPC1B/TUBA3E/PPL/KRT2/SORBS2/DSP/KRT9/AGRN/KRT16
GO:0015293	symporter activity	15	0.812937566200704	2.21524395971104	7.6341975080112e-06	0.000506910714531944	0.000430729459399369	401	tags=67%, list=9%, signal=61%	SLC39A14/SLC29A1/SLC1A5/SLC5A6/SLC12A7/SLC38A2/SLC4A7/SLC16A1/SLC4A11/SLC16A3
GO:0005201	extracellular matrix structural constituent	20	-0.796224859178712	-2.17827783707091	1.30824209309878e-05	0.000723893958181325	0.000615103299913111	206	tags=65%, list=5%, signal=62%	FN1/COL1A2/LAMC1/COL1A1/LAMA5/COL6A1/AGRN/LAMB2/NID1/LTBP2/HSPG2/FBLN1/TGFBI
GO:0042393	histone binding	91	-0.514554666148158	-1.88444034815078	6.92976196483237e-05	0.0032866871033205	0.00279274617530087	883	tags=42%, list=20%, signal=34%	PHF6/SMARCA5/KMT2A/CHD1/GLYR1/CHD3/IPO9/SUPT6H/SART3/MSH6/NCAPD3/ATRX/SMARCC1/BPTF/DPF2/CHD8/MCM3AP/RSF1/DAXX/WDR5/CHD4/BRD4/MPHOSPH8/STAT1/CHD5/RAG2/NPM3/NPM1/SET/SSRP1/DEK/DTX3L/CBX5/ANP32B/PTMA/ANP32A/ANP32E/PTMS
GO:1901702	salt transmembrane transporter activity	63	0.488718130071716	1.83133120410525	0.000470038523769045	0.0195065987364154	0.0165750426802769	446	tags=25%, list=10%, signal=23%	TTYH3/SLC39A14/SLC29A1/SLC26A2/SLC5A6/SLC12A7/PANX1/SLC38A2/SLC4A7/SLC25A6/SLC16A1/SLC4A11/SLC16A3/CHP1/SLC25A1/CCDC51
GO:0098632	cell-cell adhesion mediator activity	25	-0.682083269897164	-1.95112589453825	0.000774351580609447	0.0257084724762336	0.021844865642456	239	tags=44%, list=5%, signal=42%	CNN3/PALLD/S100A11/ANXA1/JUP/PKP3/CDC42EP1/DSG2/DSP/EPCAM/DSC2
GO:0004888	transmembrane signaling receptor activity	33	0.592049349156303	1.90247351577641	0.000725926633281756	0.0257084724762336	0.021844865642456	591	tags=42%, list=13%, signal=37%	GPRC5A/CD44/ITGA2/NPC1/EPHA2/CTSH/BCAM/L1CAM/ANTXR2/EPHB4/OR1F2P/TNFRSF10B/M6PR/IL13RA1
GO:0003684	damaged DNA binding	31	-0.626571047416229	-1.89265277088821	0.001260813371345	0.03805363993514	0.0323347352651158	823	tags=42%, list=18%, signal=34%	RAD23B/MSH6/RPA3/PARP1/RPA2/RPA1/POLD1/PNKP/ERCC2/PARP2/DDB2/XRCC1/HMGB1
GO:0015297	antiporter activity	26	0.615811499833774	1.89401288929999	0.00164276778816352	0.0454499088058573	0.0386194532655985	978	tags=54%, list=22%, signal=42%	SLC26A2/SLC1A5/SLC4A7/SLC25A6/SLC4A11/CHP1/SLC25A1/SLC7A5/SLC35B2/SLC35E1/SLC7A6/SLC3A2/SLC9A6/SLC25A10
