ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0004386	GO:0004386	helicase activity	87	0.595605851608881	2.56242536143211	1e-10	2.74368200210112e-08	1.54843182109702e-08	925	tags=52%, list=21%, signal=42%	DDX21/DDX5/MCM7/DDX56/MCM6/MCM3/MCM5/MCM2/DDX47/RFC2/MCM4/CHD8/RFC4/DDX3X/DHX33/G3BP1/DHX16/ERCC6L/DDX49/DDX55/CHD4/EIF4A1/DHX29/DHX38/DDX54/RFC5/DDX27/EP400/DHX30/MTREX/DDX39A/DDX10/DHX9/DDX23/RFC3/UPF1/AQR/DDX51/BTAF1/CHD1/SMARCA1/SNRNP200/SRCAP/DDX20/DHX36
GO:0030246	GO:0030246	carbohydrate binding	66	-0.663929200365334	-2.48665758034361	1.65282048319345e-10	2.74368200210112e-08	1.54843182109702e-08	861	tags=65%, list=19%, signal=53%	UGP2/OS9/NOMO1/PFKP/AGL/P3H1/LMAN2/LMAN2L/LGALS1/CANX/ENPP1/MAN2A1/CHID1/GALK1/GANAB/MLEC/STBD1/GALM/LOXL2/P3H3/LMAN1/FBXO2/BSG/MAN2B1/GBE1/PLOD3/HK1/ALDOA/GUSB/EGLN1/MAN2C1/PFKL/PLOD1/H6PD/PLOD2/P4HA2/MRC2/GPI/LGALS3/GAA/P4HA1/GYS1/PYGL
GO:0016616	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	57	-0.663154727933672	-2.42984874581471	1.5271692101288e-09	1.69006725920921e-07	9.53810945273426e-08	764	tags=54%, list=17%, signal=46%	KCNAB2/UGDH/GRHPR/HADH/HSD17B11/CBR1/DHRS7/PHGDH/HADHB/HADHA/DCXR/AKR1A1/IMPDH1/ME2/PTGR1/DHRS4L2/HSD17B4/AKR7A2/CBR4/RDH14/DHRS4/PTGR2/KDSR/GPD1L/HSD17B12/LDHA/HSD17B8/HIBADH/IDH2/EHHADH/H6PD
GO:0042393	GO:0042393	histone binding	91	0.558469960342165	2.42229022972754	2.16393520064849e-09	1.79606621653825e-07	1.01363280451429e-07	1142	tags=56%, list=26%, signal=43%	NCAPD3/UHRF1/CKS2/HAT1/MCM2/KMT2C/NPM3/DEK/GRWD1/NCAPD2/CHD8/RBBP4/RRP8/SUPT6H/VRK1/SUZ12/TSPYL1/RBBP7/CHD4/DNAJC2/WRAP53/BAZ1B/RNF20/PSME4/NPM1/USP15/PHC2/LRWD1/PYGO2/H2AX/WDR5/MPHOSPH8/ING5/USP3/PWP1/CHD1/HJURP/DNAJC9/SIRT1/NOC2L/RCC1/GLYR1/BPTF/SRCAP/NAP1L1/DAXX/SMARCC1/SSRP1/COPRS/NASP/ATRX
GO:0004553	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	25	-0.779651281111484	-2.41979787921336	3.3320886202568e-08	1.78338961276011e-06	1.00647860200158e-06	847	tags=80%, list=19%, signal=65%	ADPRS/AGL/GLA/ABHD10/MAN2A1/GANAB/MAN1B1/HEXB/MOGS/MAN2B1/GBE1/GM2A/HEXA/GUSB/NAGA/MAN2C1/GLB1/CTBS/FUCA1/GAA
GO:0140097	GO:0140097	catalytic activity, acting on DNA	90	0.526514779430592	2.28860562013486	3.76015882208457e-08	1.78338961276011e-06	1.00647860200158e-06	1341	tags=57%, list=30%, signal=40%	DNMT1/PCNA/TOP1/MCM7/MCM6/MCM3/MCM5/MCM2/RFC2/TOP2A/MCM4/CHD8/RBBP4/RFC4/DDX3X/G3BP1/ERCC6L/CHD4/RFC5/CHRAC1/EP400/DHX30/DHX9/RFC3/UPF1/N6AMT1/APTX/BTAF1/CHD1/SMARCA1/BPTF/SRCAP/HMGA2/REXO2/DHX36/FEN1/WAPL/MPG/MGME1/TWNK/MSH2/NME1/ATRX/TDP1/TOP2B/PLD3/CHTF18/LIG1/DKC1/RPS3/MSH6
GO:0048029	GO:0048029	monosaccharide binding	30	-0.753764130273941	-2.4226166069776	6.63697992659192e-08	2.75434666953564e-06	1.55445056175442e-06	274	tags=50%, list=6%, signal=47%	P3H3/LMAN1/BSG/PLOD3/HK1/ALDOA/EGLN1/PFKL/PLOD1/PLOD2/P4HA2/GPI/P4HA1/GYS1/PYGL
GO:0016627	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	38	-0.697015604871591	-2.34463701564866	8.45887283666753e-08	3.12038420197069e-06	1.76102849699043e-06	669	tags=63%, list=15%, signal=54%	ACAD8/DHCR7/ACADVL/IVD/ACADS/BLVRB/PTGR1/CPOX/DECR2/MECR/PPOX/COX15/PTGR2/ACOX3/ACADSB/ACAA1/SDHC/CRAT/ACAD11/ACOX1/SDHA/SDHD/SDHB/TM7SF2
GO:0016829	GO:0016829	lyase activity	71	-0.591700661821734	-2.26529016544765	1.20366173077864e-07	3.99615694618508e-06	2.25528197977471e-06	724	tags=44%, list=16%, signal=37%	DDT/ACO1/KYAT3/ENO1/ECHS1/HADHB/UROS/HADHA/SGPL1/ME2/APMAP/TKFC/HSD17B4/BCKDHA/GGACT/HACD3/GMDS/TPI1/MGST3/HACL1/ACO2/HMGCL/ASL/FECH/ALDOA/SDSL/PCK2/EHHADH/RNASET2/ENO2/ALDOC
GO:0008094	GO:0008094	ATP-dependent activity, acting on DNA	58	0.581358885114951	2.30627185242201	2.18918851836847e-07	6.05675490081943e-06	3.41820663394375e-06	1044	tags=52%, list=23%, signal=40%	MCM7/MCM6/MCM3/MCM5/MCM2/RFC2/TOP2A/MCM4/CHD8/RBBP4/RFC4/DDX3X/G3BP1/ERCC6L/CHD4/RFC5/EP400/DHX30/DHX9/RFC3/UPF1/BTAF1/CHD1/SMARCA1/BPTF/SRCAP/DHX36/WAPL/TWNK/MSH2
