ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042393	GO:0042393	histone binding	91	0.730353646774039	2.51643143316537	1e-10	3.32e-08	2.26315789473684e-08	600	tags=47%, list=13%, signal=42%	ANP32A/ANP32E/NPM3/ANP32B/CBX5/DEK/NPM1/PTMA/PTMS/SSRP1/SET/RRP8/BRD4/MPHOSPH8/CHD1/CHD8/PHC2/SUPT6H/DNAJC2/UHRF1/NCAPD3/CHD4/DAXX/SIRT1/MCM2/VRK1/NCAPD2/RSF1/SRCAP/CHD5/BAZ1B/SUZ12/MSH6/IPO7/USP3/PHF6/HAT1/LRWD1/WDR5/MCM3AP/HJURP/ZMYND8/USP15
GO:0140097	GO:0140097	catalytic activity, acting on DNA	90	0.670543785441885	2.31518513566451	4.80403879674604e-08	7.97470440259843e-06	5.43614916473894e-06	890	tags=54%, list=20%, signal=44%	HMGA2/PTGES3/TOP1/POLD3/TOP2A/DNMT1/XRCC1/CHD1/CHD8/TDP1/MCM7/MCM3/RFC2/MCM5/CHD4/MCM6/MCM2/RSF1/DKC1/CHRAC1/TOP2B/SRCAP/CHD5/ERCC6L/HLTF/MSH6/RFC4/PCNA/MCM4/ERCC2/CHTF18/EP400/DDX11L8/SMARCA1/RPS3/POLD1/RFC5/DHX9/WAPL/TWNK/ATRX/RFC3/BPTF/MPG/NME1/FEN1/MSH2/LIG1/DDX3X
GO:0016903	GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	26	-0.771163518288807	-2.26197523548835	2.19994605356698e-07	2.43460696594746e-05	1.65960842637509e-05	895	tags=81%, list=20%, signal=65%	ALDH9A1/ALDH1A3/ALDH2/DLD/ALDH5A1/AKR1B1/OGDH/DHTKD1/DLAT/ALDH16A1/PDHA1/PDHX/ALDH3A2/BCKDHB/GAPDH/PDHB/HSD17B12/ALDH1B1/BCKDHA/ALDH4A1/ALDH7A1
GO:0016209	GO:0016209	antioxidant activity	29	-0.737519722218307	-2.23786470461392	8.70889084671492e-07	4.81891960184892e-05	3.28493251235738e-05	755	tags=66%, list=17%, signal=55%	PRDX3/PRDX5/PARK7/CAT/TXNDC17/MGST3/PRDX4/GSR/GPX7/GSTT1/SOD1/APOE/GSTP1/PRDX2/TXNRD2/GPX4/GSTM2/GPX1/HBA1
GO:0004386	GO:0004386	helicase activity	87	0.635748388124875	2.18306003270691	8.02388634749997e-07	4.81891960184892e-05	3.28493251235738e-05	814	tags=55%, list=18%, signal=46%	DDX23/DDX21/CHD1/CHD8/DDX55/MCM7/MCM3/RFC2/MCM5/CHD4/MCM6/MCM2/DHX33/DDX47/DHX16/SRCAP/CHD5/ERCC6L/DDX5/MTREX/HLTF/RFC4/DDX27/DDX10/DHX38/DDX20/MCM4/ERCC2/CHTF18/EP400/DDX56/DDX11L8/DDX50/SMARCA1/EIF4A1/DDX51/RFC5/DDX39A/DHX9/DHX29/DDX43/TWNK/ATRX/DDX52/SNRNP200/RFC3/AQR/DDX54
GO:0043177	GO:0043177	organic acid binding	55	-0.618373211236481	-2.17287366117383	7.61792958167475e-07	4.81891960184892e-05	3.28493251235738e-05	619	tags=42%, list=14%, signal=36%	DDAH2/SHMT1/P3H1/PLOD3/ACOX3/MCCC1/GCLC/GSTP1/CRABP1/PLOD2/EGLN1/PLOD1/P4HA2/PC/DBT/GSTM2/ACOX1/SCP2/UROS/P4HA1/AGRN/CRABP2/HBA1
GO:0016627	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	38	-0.675711028688038	-2.19454143389405	1.78958894550986e-06	7.42679412386591e-05	5.06265293795552e-05	707	tags=66%, list=16%, signal=56%	PECR/DECR1/SDHB/ACADM/MECR/DHODH/DHCR7/BLVRB/CPOX/ACOX3/DHCR24/ACADS/ACADVL/IVD/ACAA1/DECR2/COX15/CRAT/RETSAT/GCDH/SDHA/ACOX1/ACAD8/ACADSB/TM7SF2
GO:0008324	GO:0008324	cation transmembrane transporter activity	91	-0.519569437636176	-2.04516629149402	2.66929176629912e-06	9.84672073790343e-05	6.71225414917324e-05	1467	tags=62%, list=33%, signal=42%	CUL5/CCDC51/CYC1/SEC61A1/ATP5F1B/ATP5PF/ATP5MG/SLC16A3/ATP5MF/ATP6V0A1/ATP6V1H/SLC12A7/CNNM4/SLC25A13/ATP5PB/SLC39A14/SLC4A7/TMEM165/LETM1/SLC25A3/KCNAB2/SLC12A2/TCIRG1/UQCR10/SLC39A7/SLC25A4/ATP2A2/NNT/ATP5F1D/SLC41A3/ATP5PD/SLC30A7/ITGAV/ANXA6/COX4I1/SLC30A1/ATP5F1E/GHITM/ATP5PO/ATP2B1/ATP2B4/SLC9A6/UQCRC1/ITPR2/MAGT1/ATP5F1A/TMEM109/ATP13A1/COX15/ANO10/TRPV2/ATP2C1/CACNA2D1/SLC39A11/DMAC2L/TMEM63B
GO:0016614	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	61	-0.592301866362422	-2.14511320160586	3.67377129789988e-06	0.000121969207090276	8.31432451629972e-05	1207	tags=61%, list=27%, signal=45%	MDH1/G6PD/DHRS7B/DHRS7/LDHA/CBR1/CBR4/IDH3G/KCNAB2/SPR/GRHPR/AKR1B1/HADH/HADHB/L2HGDH/AKR1A1/HSD17B10/IDH1/HSD17B4/HADHA/ME2/HSD17B8/ALDH3A2/GPD1L/IMPDH1/MDH2/HSD17B12/UGDH/CHDH/DHRS4L2/DHRS4/DCXR/AKR7A2/HIBADH/H6PD/EHHADH/IDH2
GO:1901681	GO:1901681	sulfur compound binding	56	-0.584863072716901	-2.07127329605349	6.44458389664376e-06	0.000178300154473811	0.000121542591033194	717	tags=43%, list=16%, signal=36%	PARK7/OGDH/ANXA6/DHTKD1/DBI/HADHA/MCCC1/APOE/GSTP1/ACADVL/HSD17B12/FTH1/HACL1/GCDH/SLIT3/APLP2/LXN/PC/DBT/APP/SCP2/AGRN/FN1/LRP1
