ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0005201	GO:0005201	extracellular matrix structural constituent	20	-0.861624141107619	-2.5283774498535	5.34564238456564e-09	1.77475327167579e-06	1.30546214023077e-06	208	tags=75%, list=5%, signal=72%	LAMA5/LAMC1/COL18A1/COL1A2/VWA1/FN1/LAMB2/AGRN/COL6A1/NID1/HSPG2/COL1A1/LTBP2/FBLN1/TGFBI
GO:0048029	GO:0048029	monosaccharide binding	30	0.748440483778907	2.39951713770513	3.29221445466609e-08	5.46507599474571e-06	4.01996712359228e-06	560	tags=60%, list=13%, signal=53%	G6PD/BSG/P3H3/PLOD2/ALDOA/GPI/HK1/P4HA1/EGLN1/GYS1/P4HA2/PLOD3/PLOD1/LMAN2L/ENG/PYGL/PFKP/PFKL
GO:1901702	GO:1901702	salt transmembrane transporter activity	63	0.600945996478176	2.22917156723852	1.86463570556801e-07	2.0635301808286e-05	1.51787889014659e-05	920	tags=54%, list=21%, signal=43%	SLC16A3/SLC4A7/SLC39A14/SLC25A1/TTYH3/PANX1/SLC26A2/SLC41A3/ITGAV/SLC12A7/SLC7A1/SLC29A1/SLC16A1/ANO6/ITPR3/CCDC51/SLC39A7/ANXA2/SLC25A11/ATP1A1/SLC25A6/SLC25A4/SLC4A11/CLCN3/GHITM/SLC25A10/ITPR2/TMEM165/ANO10/SLC25A24/SLC38A2/MPC2/ANXA6/SLC3A2
GO:0015291	GO:0015291	secondary active transmembrane transporter activity	39	0.677041687864124	2.28832180999493	3.09570757805433e-07	2.56943728978509e-05	1.89001094239106e-05	920	tags=64%, list=21%, signal=51%	SLC16A3/SLC4A7/SLC16A2/SLC39A14/SLC25A1/SLC35E1/SLC26A2/SLC41A3/SLC12A7/SLC1A5/SLC29A1/SLC16A1/SLC22A18/SLC25A11/SLC25A6/SLC25A4/SLC4A11/SLC35B2/CLCN3/GHITM/SLC7A5/SLC25A10/SLC25A24/SLC38A2/SLC3A2
GO:0030246	GO:0030246	carbohydrate binding	66	0.560393048978045	2.0899884079197	3.9153185935134e-06	0.00025997715460929	0.000191232402883181	560	tags=41%, list=13%, signal=36%	LGALS3/G6PD/MAN2C1/BSG/GALM/P3H3/PLOD2/ALDOA/GPI/HK1/P4HA1/EGLN1/GYS1/P4HA2/PLOD3/FBXO2/PLOD1/LMAN2L/CHID1/ENPP1/GBE1/ENG/LGALS1/PYGL/PFKP/GALNT2/PFKL
GO:0001618	GO:0001618	virus receptor activity	32	0.6722276824255	2.16300106326214	6.34212635918786e-06	0.000300797993035767	0.000221259145162644	451	tags=47%, list=10%, signal=42%	SCARB1/ICAM1/ITGA5/ITGA2/NPC1/BSG/EPHA2/ITGB5/TFRC/ITGB1/ITGAV/SLC7A1/SLC1A5/SCARB2/NECTIN2
GO:0140272	GO:0140272	exogenous protein binding	32	0.6722276824255	2.16300106326214	6.34212635918786e-06	0.000300797993035767	0.000221259145162644	451	tags=47%, list=10%, signal=42%	SCARB1/ICAM1/ITGA5/ITGA2/NPC1/BSG/EPHA2/ITGB5/TFRC/ITGB1/ITGAV/SLC7A1/SLC1A5/SCARB2/NECTIN2
GO:0005200	GO:0005200	structural constituent of cytoskeleton	52	-0.588177389012446	-2.1163351553071	1.09297436448571e-05	0.000424627378867921	0.000312344806269365	510	tags=37%, list=11%, signal=33%	TUBB3/ARPC1B/ARPC5/TUBB1/TUBB/LMNB2/TUBB4A/LMNB1/TUBA1C/ACTG1/TUBAL3/TUBA3E/PPL/SORBS2/KRT9/DSP/KRT2/AGRN/KRT16
GO:0015267	GO:0015267	channel activity	44	0.594869446039556	2.05835897279165	1.94032887957021e-05	0.000534437217059177	0.000393118054399902	906	tags=50%, list=20%, signal=40%	TMEM120A/TTYH3/PANX1/ITGAV/VDAC1/SLC12A7/SLC1A5/ANO6/ITPR3/CCDC51/TMEM109/ANXA2/VDAC2/ATP5F1D/SLC4A11/CLCN3/TOMM40/ATP5PF/ATP5F1C/ITPR2/ANO10/ANXA6
GO:0022803	GO:0022803	passive transmembrane transporter activity	44	0.594869446039556	2.05835897279165	1.94032887957021e-05	0.000534437217059177	0.000393118054399902	906	tags=50%, list=20%, signal=40%	TMEM120A/TTYH3/PANX1/ITGAV/VDAC1/SLC12A7/SLC1A5/ANO6/ITPR3/CCDC51/TMEM109/ANXA2/VDAC2/ATP5F1D/SLC4A11/CLCN3/TOMM40/ATP5PF/ATP5F1C/ITPR2/ANO10/ANXA6
GO:0016614	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	61	0.549563389217842	2.02701369388719	2.09267584993051e-05	0.000534437217059177	0.000393118054399902	823	tags=46%, list=18%, signal=38%	UGDH/G6PD/IDH2/HSD17B12/IMPDH1/L2HGDH/PHGDH/AKR1B1/HSD17B11/NSDHL/HIBADH/RDH11/ME1/LDHA/DHRS4L2/IDH3A/PTGR2/PGD/PTGR1/HADH/SPR/RDH13/RDH14/IDH3B/H6PD/CHDH/HSD17B10/AKR7A2
GO:0016616	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	57	0.556998978133335	2.01538628310141	1.640083093443e-05	0.000534437217059177	0.000393118054399902	691	tags=42%, list=16%, signal=36%	UGDH/G6PD/IDH2/HSD17B12/IMPDH1/PHGDH/AKR1B1/HSD17B11/NSDHL/HIBADH/RDH11/ME1/LDHA/DHRS4L2/IDH3A/PTGR2/PGD/PTGR1/HADH/SPR/RDH13/RDH14/IDH3B/H6PD
GO:0016705	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	41	0.614585198425606	2.08713298435135	2.48638893049822e-05	0.000550320749950272	0.000404801566228482	557	tags=49%, list=13%, signal=43%	SCD/FADS2/P3H3/PLOD2/ASPH/MSMO1/P4HA1/EGLN1/MICAL2/P4HA2/PLOD3/ALKBH5/PLOD1/DEGS1/KDM3A/HMOX1/P4HB/CYP20A1/PCBD1/HIF1AN
GO:0004888	GO:0004888	transmembrane signaling receptor activity	33	0.645737292550572	2.10140895277086	3.95867390199032e-05	0.000821424834662992	0.000604218648198523	431	tags=42%, list=10%, signal=39%	ICAM1/GPRC5A/CD44/ITGA2/NPC1/CTSH/IL13RA1/ANTXR2/EPHA2/TNFRSF10B/L1CAM/BCAM/SCARB2/ENG
GO:0140097	GO:0140097	catalytic activity, acting on DNA	90	-0.485236891309835	-1.93379484779477	7.71013404910946e-05	0.00127988225215217	0.000941447947049155	1013	tags=46%, list=23%, signal=36%	LIG4/DDX3X/MPG/RFC5/MSH2/CHD3/LIG3/MSH6/TDP1/DHX30/TOP2A/SMARCA5/RFC3/POLD3/DNMT1/TOP2B/SMARCA1/MCM4/DDX11L8/TOP1/POLD1/CHD8/RFC4/ATRX/RFC2/XRCC1/MCM5/DHX36/BPTF/MCM6/MCM2/RBBP4/EP400/MCM7/CHD5/LIG1/PCNA/MCM3/CHD4/CHTF18/HMGA2
GO:0003697	GO:0003697	single-stranded DNA binding	53	-0.568352485245427	-2.06746808468704	8.09989932817795e-05	0.00128055551283575	0.000941943180018689	994	tags=57%, list=22%, signal=44%	SMC2/HNRNPA1/MSH2/TDP1/RPA2/PCBP2/TSNAX/RPA1/POLR2G/SMC4/RPA3/NABP2/FUBP1/RAD23B/SMARCA1/TSN/MCM4/TOP1/MCM5/DHX36/SAMHD1/MCM6/HNRNPU/MCM2/MCM7/HSF1/MCM3/HMGB1/RBMS1/SUB1
GO:0008094	GO:0008094	ATP-dependent activity, acting on DNA	58	-0.540245178339652	-1.98252507181018	9.70094532736605e-05	0.0014639608403116	0.00107685134734398	1477	tags=69%, list=33%, signal=47%	UPF1/RAD50/SMARCAL1/DHX9/ASCC3/G3BP1/BTAF1/SRCAP/WRNIP1/XRCC6/ERCC2/DDX3X/RFC5/MSH2/CHD3/MSH6/DHX30/TOP2A/SMARCA5/RFC3/TOP2B/SMARCA1/MCM4/DDX11L8/CHD8/RFC4/ATRX/RFC2/MCM5/DHX36/BPTF/MCM6/MCM2/RBBP4/EP400/MCM7/CHD5/MCM3/CHD4/CHTF18
GO:0042393	GO:0042393	histone binding	91	-0.478119656256217	-1.909782278871	0.000126916532783408	0.00183201256017789	0.00134758057692223	1014	tags=52%, list=23%, signal=41%	RBBP7/SMARCC2/SUZ12/CKS2/ANP32B/CBX1/CHD3/RCC1/MSH6/CBX5/VRK1/SMARCA5/DNAJC9/BAZ1B/MCM3AP/PYGO2/DAXX/KMT2A/BAZ2A/GRWD1/ING5/IPO9/SUPT6H/SSRP1/PTMS/CHD8/ATRX/USP15/GLYR1/MPHOSPH8/DPF2/BPTF/ANP32E/MCM2/RBBP4/SMARCC1/H2AX/HAT1/RAG2/UHRF1/WDR5/CHD5/DEK/STAT1/CHD4/NCAPD3/DTX3L
