ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0030246	GO:0030246	carbohydrate binding	66	-0.656794648955151	-2.30954512048214	1.57300136775276e-08	5.22236454093918e-06	4.23882473836535e-06	384	tags=39%, list=9%, signal=37%	PFKP/STBD1/LOXL2/LMAN1/BSG/PLOD3/GBE1/P3H3/HK1/ALDOA/MAN2B1/EGLN1/MAN2C1/PFKL/MRC2/GUSB/H6PD/PLOD1/GYS1/GAA/P4HA2/LGALS3/P4HA1/PLOD2/GPI/PYGL
GO:0048029	GO:0048029	monosaccharide binding	30	-0.74483285000669	-2.24589841465618	1.74226938870687e-06	0.00028921671852534	0.00023474787553103	384	tags=53%, list=9%, signal=49%	PFKP/LMAN1/BSG/PLOD3/P3H3/HK1/ALDOA/EGLN1/PFKL/PLOD1/GYS1/P4HA2/P4HA1/PLOD2/GPI/PYGL
GO:0004553	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	25	-0.733360978656904	-2.12840793011284	9.35918085479599e-06	0.00103574934793076	0.000840684315378166	715	tags=76%, list=16%, signal=64%	ADPRS/OGA/GM2A/GLA/GANAB/MAN2A1/MAN1B1/MOGS/HEXB/GBE1/MAN2B1/HEXA/CTBS/NAGA/MAN2C1/GUSB/FUCA1/GLB1/GAA
GO:0019842	GO:0019842	vitamin binding	54	-0.607067818776404	-2.06203842123896	2.21669883091247e-05	0.00183986002965735	0.00149335500187788	767	tags=46%, list=17%, signal=39%	ILVBL/MCCC1/MTR/OGDH/PDXK/GGCX/PYGB/SGPL1/PNPO/HACL1/PCCA/SDSL/CRABP1/PLOD3/HLCS/P3H3/SEC14L2/PSAT1/EGLN1/PLOD1/P4HA2/P4HA1/PLOD2/CISD1/PYGL
GO:0016860	GO:0016860	intramolecular oxidoreductase activity	30	-0.668328141948691	-2.01521336560169	0.000223075474267923	0.00763041157071926	0.00619335878916972	840	tags=63%, list=19%, signal=52%	ERP44/ECH1/QSOX2/ECI1/PIGK/PDIA4/ECI2/TMX3/HYI/TPI1/PDIA3/PDIA6/P4HB/QSOX1/PDIA5/EHHADH/MPI/PTGES3/GPI
GO:0051213	GO:0051213	dioxygenase activity	27	-0.671849869364776	-1.99652128662073	0.00025281484119853	0.00763041157071926	0.00619335878916972	669	tags=59%, list=15%, signal=51%	FTO/JMJD6/ALKBH5/TMLHE/ADI1/P4HB/KDM3A/PLOD3/P3H3/ASPH/PEDS1/EGLN1/PLOD1/P4HA2/P4HA1/PLOD2
GO:0030546	GO:0030546	signaling receptor activator activity	32	-0.658239250389916	-1.98846456095965	0.000174403825630272	0.00763041157071926	0.00619335878916972	322	tags=22%, list=7%, signal=20%	TYMP/CD70/SEMA4B/LGALS3/GPI/STC2/HMGB1
GO:0030545	GO:0030545	signaling receptor regulator activity	35	-0.627251826590397	-1.93888730234732	0.000210071259305402	0.00763041157071926	0.00619335878916972	322	tags=20%, list=7%, signal=19%	TYMP/CD70/SEMA4B/LGALS3/GPI/STC2/HMGB1
GO:0016614	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	61	-0.541566352053493	-1.88511034714108	0.000243673399740726	0.00763041157071926	0.00619335878916972	1199	tags=51%, list=27%, signal=38%	AKR7A2/DHRS4L2/HSD17B7/SORD/GRHPR/IMPDH1/KCNAB2/HADHA/HADHB/AKR1A1/ME2/CBR1/DHRS4/RDH11/DHRS7/HSD17B4/GPD1L/PTGR1/HSD17B11/CBR4/HSD17B12/HIBADH/PTGR2/RDH14/KDSR/IDH2/HSD17B8/LDHA/EHHADH/PHGDH/H6PD
GO:0016829	GO:0016829	lyase activity	71	-0.525574863668841	-1.86439513595988	0.000248008067689682	0.00763041157071926	0.00619335878916972	958	tags=42%, list=22%, signal=34%	TKFC/HADHA/HADHB/FAHD1/ENO1/ME2/ILVBL/HACD3/GGACT/GGCX/SGPL1/HSD17B4/HACL1/APMAP/SDSL/TPI1/MGST3/GMDS/ACO2/HMGCL/ASL/FECH/ALDOA/EHHADH/RNASET2/PCK2/ALDOC/ENO2/HMGA2/HMGB1
GO:0048018	GO:0048018	receptor ligand activity	30	-0.660916967444915	-1.99286641209578	0.000362737276716542	0.00957052206831052	0.0077680838601379	322	tags=23%, list=7%, signal=22%	TYMP/CD70/SEMA4B/LGALS3/GPI/STC2/HMGB1
GO:0070279	GO:0070279	vitamin B6 binding	21	-0.695112340992424	-1.96187220531636	0.000382175048183202	0.00957052206831052	0.0077680838601379	717	tags=38%, list=16%, signal=32%	PDXK/PYGB/SGPL1/PNPO/SDSL/PSAT1/CISD1/PYGL
GO:0031406	GO:0031406	carboxylic acid binding	54	-0.554938282028143	-1.88496906534234	0.000461317440168688	0.00957233688350027	0.00776955688705158	595	tags=33%, list=13%, signal=29%	PCCA/AGRN/DBT/AARS1/ACOX3/CRABP1/ACOX1/PLOD3/HLCS/P3H3/EGLN1/ASS1/EPDR1/PLOD1/P4HA2/P4HA1/PLOD2/PYGL
GO:0009055	GO:0009055	electron transfer activity	72	-0.505029047744802	-1.79679227944062	0.00082112885517333	0.0151452655509747	0.0122929232119516	556	tags=32%, list=12%, signal=28%	COX15/NDUFS6/NDUFA12/NDUFS4/CYC1/NDUFA6/NDUFS1/NDUFV1/NDUFA7/NDUFA2/ALDH2/CYB5A/NDUFA9/NDUFV2/CYCS/ASPH/SDHA/NDUFV3/SDHC/PHGDH/SDHB/SDHD/P4HA2
GO:0016757	GO:0016757	glycosyltransferase activity	54	-0.531398547271727	-1.80501121550714	0.00150574818377437	0.0210305929175912	0.0170698534778166	479	tags=28%, list=11%, signal=25%	ALG9/COLGALT1/UGGT1/UGGT2/QPRT/TYMP/PLOD3/HEXB/POFUT2/GBE1/PARP2/HEXA/PPAT/GYS1/PYGL
GO:0005506	GO:0005506	iron ion binding	37	-0.574629942595499	-1.80432711672476	0.00152028382536804	0.0210305929175912	0.0170698534778166	698	tags=54%, list=16%, signal=46%	FDX1/FTO/JMJD6/FXN/FTH1/TMLHE/ADI1/ACO2/FTL/KDM3A/SCD/PLOD3/P3H3/FECH/MELTF/EGLN1/PLOD1/P4HA2/P4HA1/PLOD2
GO:0016810	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	44	-0.556025306726486	-1.79850213215403	0.00128444595517483	0.0210305929175912	0.0170698534778166	714	tags=50%, list=16%, signal=42%	NIT2/NIT1/ASAH1/DDAH2/DARS1/MTHFD2/OPLAH/NADSYN1/SIRT3/RIDA/SIRT5/HDAC6/AMPD2/TGM2/CAT/ADA/AGA/DPYSL2/HINT3/ACY1/PADI2/BTD
GO:0045182	GO:0045182	translation regulator activity	79	0.416077335999356	1.7041815127681	0.0014035426706123	0.0210305929175912	0.0170698534778166	1135	tags=46%, list=26%, signal=35%	TYMS/EIF3G/DHFR/EIF3I/EIF3B/EIF3F/PABPC1/EIF2A/EIF1/EIF3K/MRPL58/EIF6/DHX29/EIF3A/EIF4A1/GSPT1/EIF4H/EIF4B/EEF1B2/EEF1A1/RPS14/EEF1D/GSPT2/EIF3E/HBS1L/EIF3L/IGF2BP1/EIF3M/EIF3H/SERBP1/CELF1/EIF3CL/RACK1/EIF4G1/EIF4G2/ETF1
GO:0004386	GO:0004386	helicase activity	87	0.393030720436358	1.63649941216505	0.00135079464436501	0.0210305929175912	0.0170698534778166	954	tags=38%, list=21%, signal=30%	DDX5/DDX56/MCM7/G3BP1/MCM6/MCM4/DDX47/DDX3X/MCM3/MCM2/MCM5/UPF1/RFC2/DDX49/YTHDC2/RFC4/DDX21/DHX30/DDX54/DHX29/DDX17/EIF4A1/BTAF1/MOV10/RFC5/ERCC6L/DHX36/DHX16/RFC3/AQR/DDX39A/EP400/DHX9
GO:0008238	GO:0008238	exopeptidase activity	39	-0.580753133252595	-1.82577729208879	0.00169096219783802	0.0222631799339256	0.0180703045754121	509	tags=36%, list=11%, signal=32%	CTSA/NPEPL1/SCRN2/ERMP1/MMP14/CTSH/PRCP/CTSC/TPP1/ERAP1/CTSZ/ERAP2/DPP7/GGH
