ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa03010	Ribosome	96	0.649415203147215	2.7927700646998	1e-10	4.65e-09	3.31578947368421e-09	1291	tags=82%, list=29%, signal=60%	RPS5/RPL18/RPL36/RPL18A/RPL13A/RPL7/RPS9/RPL26L1/MRPS7/RPL13/RPL35/MRPL3/RPL17/RPS29/MRPL13/RPL5/MRPL32/RPS8/RSL24D1/MRPL30/RPL3/MRPL23/RPL15/MRPL17/RPL21/RPL23A/MRPL28/RPS2/MRPS18C/RPL14/RPS14/RPS4Y2/RPL8/MRPL24/RPL28/MRPL11/MRPL19/RPS21/RPSA/RPL27A/RPS20/RPL23/MRPS18A/RPL24/MRPL9/RPS10/MRPL15/RPS16/RPL30/MRPL27/RPS4Y1/RPL4/MRPL14/RPLP2/RPL29/RPL36AL/RPL27/RPS15/RPLP1/FAU/RPS24/RPL11/RPL32/MRPL4/RPS23/RPLP0/RPL9/RPL6/MRPS9/RPL19/MRPL16/MRPL21/RPL12/RPS6/RPL37A/RPL37/MRPL10/RPS7/RPS27A
hsa03040	Spliceosome	91	0.622198886414326	2.65388196404329	1e-10	4.65e-09	3.31578947368421e-09	1301	tags=74%, list=29%, signal=53%	SRSF2/SRSF6/SRSF3/DDX5/TRA2A/PRPF3/DHX16/SF3B4/SNRPD1/PQBP1/RBM17/SYF2/DHX38/PRPF19/PRPF38A/HNRNPM/SNRPF/SF3B2/CRNKL1/NCBP2/U2AF2/DDX23/SF3B5/XAB2/ALYREF/AQR/BUD31/PRPF40A/RBM22/ISY1/SNRNP200/CHERP/PRPF31/CDC5L/HNRNPC/HNRNPA1L2/PRPF6/PRPF4/HNRNPA1/SART1/U2SURP/SF3A3/SNRNP70/CTNNBL1/SNRPD2/USP39/PRPF8/SRSF1/CCDC12/ACIN1/SNRPB/FUS/SF3A1/SNRNP40/SNRPB2/HSPA8/WBP11/SNW1/SF3A2/SF3B3/U2AF1/EIF4A3/SRSF9/MAGOHB/PUF60/NCBP1/HNRNPU
hsa03008	Ribosome biogenesis in eukaryotes	56	0.685787579090801	2.64883394442651	1e-10	4.65e-09	3.31578947368421e-09	1127	tags=80%, list=25%, signal=61%	AK6/NVL/FBL/GNL2/RPP30/GTPBP4/NOB1/UTP4/UTP18/UTP14A/WDR43/HEATR1/UTP6/RBM28/NOP58/UTP15/WDR75/POP1/NOL6/EIF6/IMP3/RPP40/GNL3/RRP7A/MDN1/NXF1/BMS1/EMG1/TCOF1/WDR3/TBL3/CSNK2B/NAT10/POP4/WDR36/CSNK2A1/MPHOSPH10/REXO2/XRN2/RAN/NOP56/PWP2/RCL1/LSG1/CSNK2A2
hsa01200	Carbon metabolism	77	-0.666400914272172	-2.52358477110096	1e-10	4.65e-09	3.31578947368421e-09	902	tags=61%, list=20%, signal=49%	PDHA1/TKT/SUCLG1/GLUD1/MDH2/PGLS/PFKP/PDHB/ADPGK/HIBCH/ACO1/ENO1/PSAT1/ECHS1/ACAT1/PHGDH/OGDH/PCCA/ACADS/ME2/PCCB/TKFC/DLST/PKM/SUCLG2/TPI1/PGAM1/ACOX3/CAT/ACO2/SDHC/GAPDH/HK1/ACSS2/ALDOA/SDSL/ACOX1/SDHA/SDHD/SDHB/IDH2/PGK1/PFKL/H6PD/GPI/ENO2/ALDOC
hsa00010	Glycolysis / Gluconeogenesis	36	-0.739604485656015	-2.49391716828646	4.62958975600822e-09	1.72220738923506e-07	1.22805959843586e-07	819	tags=67%, list=18%, signal=55%	PFKP/PDHB/ALDH3A2/ADPGK/ENO1/AKR1A1/PGM1/PKM/GALM/TPI1/PGAM1/ALDH2/GAPDH/LDHA/HK1/ALDH7A1/ACSS2/ALDOA/PCK2/PGK1/PFKL/GPI/ENO2/ALDOC
hsa03030	DNA replication	25	0.761173692297446	2.48191134328671	4.14729291834529e-08	1.09028322118392e-06	7.77451532932504e-07	485	tags=56%, list=11%, signal=50%	POLA2/PCNA/MCM7/MCM6/MCM3/RNASEH2C/MCM5/MCM2/RFC2/MCM4/RNASEH2A/RFC4/PRIM1/RFC5
hsa04142	Lysosome	64	-0.621213060355024	-2.32723791353718	4.6893901986405e-08	1.09028322118392e-06	7.77451532932504e-07	394	tags=39%, list=9%, signal=36%	DNASE2/CTSA/SCARB2/GNS/CTSL/LGMN/AGA/HEXB/TPP1/MAN2B1/CTSH/CTSC/GM2A/SGSH/GALNS/CTSB/HEXA/GUSB/CTSZ/NAGA/ARSA/ARSB/GLB1/FUCA1/GAA
hsa05171	Coronavirus disease - COVID-19	88	0.527234262380536	2.25164544100983	3.79236594960247e-08	1.09028322118392e-06	7.77451532932504e-07	1291	tags=67%, list=29%, signal=48%	RPS5/RPL18/RPL36/RPL18A/RPL13A/RPL7/RPS9/RPL26L1/RPL13/RPL35/RPL17/RPS29/RPL5/RPS8/RSL24D1/RPL3/RPL15/RPL21/RPL23A/RPS2/RPL14/RPS14/RPS4Y2/RPL8/RPL28/RPS21/RPSA/RPL27A/RPS20/RPL23/RPL24/RPS10/RPS16/RPL30/RPS4Y1/RPL4/RPLP2/RPL29/RPL36AL/RPL27/RPS15/RPLP1/FAU/RPS24/RPL11/RPL32/RPS23/RPLP0/ISG15/RPL9/RPL6/RPL19/RPL12/RPS6/RPL37A/EGFR/RPL37/RPS7/RPS27A
hsa00280	Valine, leucine and isoleucine degradation	37	-0.728229426108279	-2.47731811456049	6.16225158816277e-08	1.15297987044175e-06	8.22158821028074e-07	798	tags=76%, list=18%, signal=63%	ALDH3A2/ACADM/HADH/HIBCH/ACAD8/AACS/ECHS1/ACAT1/HADHB/HADHA/IVD/PCCA/ACADS/OXCT1/PCCB/BCAT2/MCCC1/ACAA2/BCKDHA/BCKDHB/ALDH2/ACADSB/ACAA1/DBT/HMGCL/ALDH7A1/HIBADH/EHHADH
hsa01230	Biosynthesis of amino acids	47	-0.677670554392958	-2.3918891373477	6.19881650775135e-08	1.15297987044175e-06	8.22158821028074e-07	689	tags=49%, list=16%, signal=42%	ACO1/MTR/ENO1/PSAT1/PHGDH/PYCR2/BCAT2/PKM/TPI1/PGAM1/ACO2/GAPDH/ASL/ALDOA/ACY1/SDSL/PYCR1/ASS1/IDH2/PGK1/PFKL/ENO2/ALDOC
hsa04146	Peroxisome	42	-0.666380488776734	-2.30986117508092	5.00759124063216e-07	8.46738155234165e-06	6.0378612088005e-06	887	tags=62%, list=20%, signal=50%	GNPAT/GSTK1/SCP2/SOD1/PEX14/PRDX5/CROT/ECI2/ACOT8/PEX11B/HSD17B4/ACSL3/DECR2/DHRS4/ECH1/HACL1/ACOX3/CAT/ACAA1/PEX10/HMGCL/SOD2/CRAT/ACOX1/IDH2/EHHADH
hsa01212	Fatty acid metabolism	37	-0.699510001749896	-2.37961930199947	9.21197315086777e-07	1.40126419119192e-05	9.99203667742964e-06	794	tags=70%, list=18%, signal=58%	PPT1/ACSF3/ACADM/SCP2/HADH/ECHS1/ACADVL/ACAT1/HADHB/HADHA/ACADS/CPT2/ACAA2/HSD17B4/ACSL3/CBR4/HACD3/MECR/ACOX3/ACADSB/ACAA1/HSD17B12/HSD17B8/ACOX1/EHHADH/SCD
hsa00071	Fatty acid degradation	28	-0.740762041904446	-2.33204629104547	9.79378198144889e-07	1.40126419119192e-05	9.99203667742964e-06	798	tags=75%, list=18%, signal=62%	ALDH3A2/ACADM/HADH/ECI2/ECHS1/ACADVL/ACAT1/HADHB/ECI1/HADHA/ACADS/CPT2/ACAA2/ACSL3/ALDH2/ACOX3/ACADSB/ACAA1/ALDH7A1/ACOX1/EHHADH
hsa04110	Cell cycle	54	0.581170037818883	2.2303821682279	1.42393557741577e-06	1.89180012428095e-05	1.34899159965704e-05	1173	tags=54%, list=26%, signal=40%	CDC20/PCNA/MCM7/MCM6/MCM3/MCM5/MCM2/ANAPC7/CCNB1/MCM4/CDK1/NDC80/PPP2R1B/CDK2/CDC26/BUB3/CDCA5/ORC3/PPP2R1A/SMC1A/PPP2R5E/WAPL/PDS5A/BUB1/MAD1L1/PPP2R5D/ORC2/ATRX/TTK
hsa03015	mRNA surveillance pathway	56	0.532965782316078	2.05856434041617	1.54058969152862e-05	0.000188289412542533	0.000134264097228971	1621	tags=79%, list=37%, signal=50%	RNPS1/CPSF2/PPP2R1B/PPP1CC/WDR33/PABPC1/NCBP2/CPSF3/NXF1/GSPT1/CSTF2/UPF1/ALYREF/CPSF6/PPP2R1A/PCF11/PPP1CA/ETF1/PPP2R5E/PNN/PAPOLA/PABPC4/ACIN1/PPP2R5D/FUS/PPP2R2A/EIF4A3/MAGOHB/NCBP1/SSU72/GSPT2/WDR82/CPSF7/TARDBP/NUDT21/CPSF4/CSTF3/CPSF1/CSTF1/SAP18/GLE1/PPP1CB/FIP1L1/PELO
