ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa03040	Spliceosome	91	0.755694634744018	2.58621411677037	1e-10	1.53220197744002e-08	1.30935200109475e-08	116	tags=21%, list=3%, signal=21%	SRSF2/SRSF3/SRSF6/SRSF1/TRA2A/ZMAT2/SNRNP70/PRPF40A/WBP11/PRPF38A/CCDC12/DDX23/U2SURP/ACIN1/CHERP/SF3B2/U2AF1/U2AF2/HNRNPC
hsa00280	Valine, leucine and isoleucine degradation	37	-0.779262365998902	-2.48569046503876	1.91490652262746e-10	1.53220197744002e-08	1.30935200109475e-08	820	tags=95%, list=18%, signal=78%	ALDH9A1/ACSF3/ALDH2/DLD/MMUT/ACADM/HADH/HADHB/HSD17B10/ACAT2/HADHA/HMGCS1/MCCC1/HMGCL/ACADS/MCCC2/PCCB/ECHS1/OXCT1/ACAT1/ALDH3A2/AACS/BCKDHB/IVD/HIBCH/ACAA1/ALDH1B1/ACAA2/BCKDHA/HIBADH/DBT/EHHADH/ACAD8/ALDH7A1/ACADSB
hsa01200	Carbon metabolism	77	-0.637480622952742	-2.35638503719459	2.47129351200003e-10	1.53220197744002e-08	1.30935200109475e-08	1229	tags=74%, list=28%, signal=54%	PKM/PGAM1/MDH1/G6PD/ADPGK/GOT2/PGP/SUCLG1/PCCA/SDHD/TALDO1/IDH3G/GLUD1/ESD/ENO1/HK1/DLD/MMUT/OGDH/CAT/SDHB/DLAT/TPI1/SHMT1/ALDOA/ACAT2/IDH1/ACOX3/ME2/PDHA1/FH/ACADS/PCCB/ACO2/ECHS1/PGK1/SUCLG2/ACAT1/PGLS/TKFC/ACO1/GAPDH/ENO2/MDH2/PDHB/HIBCH/GPI/DLST/SDHA/ACSS2/PC/PFKL/H6PD/ACOX1/ALDOC/IDH2/SDSL
hsa00071	Fatty acid degradation	28	-0.738558314321374	-2.20796184201934	4.88215395216672e-07	2.27020158775752e-05	1.94001380730835e-05	789	tags=86%, list=18%, signal=71%	ALDH9A1/ACSL3/ALDH2/ECI1/ACADM/HADH/HADHB/ACAT2/HADHA/ACOX3/ACADS/ACADVL/ECHS1/ACAT1/ALDH3A2/ACAA1/CPT2/ALDH1B1/GCDH/ACAA2/EHHADH/ACOX1/ALDH7A1/ACADSB
hsa03008	Ribosome biogenesis in eukaryotes	56	0.691180107795379	2.17870355272791	2.45340706452427e-06	9.1266742800303e-05	7.79925193143506e-05	1054	tags=71%, list=24%, signal=55%	TCOF1/UTP18/GNL2/MPHOSPH10/RBM28/DKC1/MDN1/GTPBP4/RPP30/RCL1/POP1/LSG1/WDR43/NOL6/NOP58/WDR36/GNL3/NAT10/TBL3/SBDS/UTP4/BMS1/UTP15/NVL/IMP3/UTP14A/NXF1/NOP56/RRP7A/RPP40/XRN2/WDR75/POP4/WDR3/PWP2/CSNK2A2/AK6/CSNK2B/CSNK2A1/EIF6
hsa04146	Peroxisome	42	-0.653575327506876	-2.14849762874312	8.39931752551789e-06	0.00017358589552737	0.000148338824134877	864	tags=64%, list=19%, signal=52%	PEX16/PECR/ACSL3/PEX14/PEX1/PRDX5/CAT/GNPAT/IDH1/HSD17B4/SOD1/ACOX3/PEX11B/HMGCL/MVK/ACAA1/DECR2/CROT/CRAT/HACL1/DHRS4/ECH1/PEX10/EHHADH/ACOX1/SCP2/IDH2
hsa01212	Fatty acid metabolism	37	-0.661743331282817	-2.11082834311416	6.75596607421079e-06	0.00017358589552737	0.000148338824134877	820	tags=78%, list=18%, signal=64%	CBR4/CPT1A/MCAT/ACSF3/ACSL3/PPT1/ACADM/MECR/HADH/HADHB/ACAT2/HSD17B4/HADHA/ACOX3/ACADS/HSD17B8/ACADVL/ECHS1/ACAT1/HSD17B12/ACAA1/HACD3/CPT2/ACAA2/EHHADH/ACOX1/SCP2/ACADSB/SCD
hsa00010	Glycolysis / Gluconeogenesis	36	-0.650495425187829	-2.05823548010003	7.96688910307337e-06	0.00017358589552737	0.000148338824134877	893	tags=78%, list=20%, signal=63%	MINPP1/PKM/PGAM1/ADPGK/LDHA/ALDH9A1/PGM1/ENO1/ALDH2/HK1/DLD/DLAT/TPI1/ALDOA/AKR1A1/PDHA1/PGK1/ALDH3A2/GAPDH/ENO2/PDHB/GPI/ALDH1B1/GALM/ACSS2/PFKL/ALDOC/ALDH7A1
hsa01240	Biosynthesis of cofactors	75	-0.551427502548261	-2.03435371253549	6.02721196330896e-06	0.00017358589552737	0.000148338824134877	923	tags=51%, list=21%, signal=41%	AK2/GPHN/GUSB/COASY/SPR/ALDH2/MMAB/DLD/VKORC1L1/COQ6/QPRT/DHODH/SHMT1/PDXK/AKR1A1/GSS/NFS1/CPOX/FECH/COQ5/GCLC/PNPO/AK3/GGH/CTPS2/AK1/ALDH3A2/NME3/NME4/NAPRT/COX15/UGDH/ALDH1B1/MPI/COQ7/AK4/UROS/VKORC1
hsa04141	Protein processing in endoplasmic reticulum	93	-0.503940356083906	-1.94274443050079	1.08349329116289e-05	0.000201529752156297	0.000172218407332207	1167	tags=47%, list=26%, signal=36%	RPN1/SEC24D/BCAP31/DAD1/CALR/DNAJC10/UBE2D4/DNAJC1/SEL1L/PRKCSH/PDIA4/CANX/HSPA5/LMAN1/GANAB/RPN2/UBE2G1/STUB1/WFS1/CAPN1/DDOST/PDIA6/TXNDC5/SIL1/STT3B/PDIA3/DNAJB2/MOGS/MAGT1/LMAN2/HSP90B1/MAN1B1/PREB/SEC62/FBXO6/P4HB/SEC23A/TMEM258/UBXN6/OS9/ERLEC1/CKAP4/ERO1A/FBXO2
