ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa03010	Ribosome	96	0.637442095176744	2.66462983086246	1e-10	1.86e-08	1.47368421052632e-08	1148	tags=75%, list=26%, signal=57%	RPS5/MRPS7/MRPL13/RPL36/MRPL15/MRPL32/RPL13/MRPL11/MRPL23/MRPL28/MRPL30/MRPL3/MRPS18A/MRPL19/MRPL17/RPL4/RPL27A/MRPL4/MRPL21/RPL14/MRPL9/RPL23/MRPL14/RPL17/RPL23A/MRPL12/MRPL24/MRPS18C/RPL8/RPL18/MRPL2/MRPL27/MRPS15/MRPL16/RPS21/RPL3/RPL6/RPS29/RPL21/RPL28/FAU/RPL26L1/RPL19/RPL13A/MRPL10/RPL35/RPS10/RPL7/RPS14/RPS4Y1/RPL27/MRPL1/RPS8/RPL24/RPSA/RPL5/RPS24/RPS20/MRPS5/RPL12/RPLP1/RPL32/RPS23/RPS7/RPS15/MRPS9/RPLP0/RPS4Y2/RPS2/RPL15/MRPS14/RPL11
hsa01200	Carbon metabolism	77	-0.630265153340315	-2.26750909433579	1.38253321095781e-08	1.28575588619076e-06	1.01870868175838e-06	434	tags=32%, list=10%, signal=30%	TPI1/PFKP/PKM/ACOX3/GAPDH/ACO2/CAT/PGAM1/ACSS2/ACOX1/IDH2/HK1/SDHA/ALDOA/SDHC/PHGDH/PSAT1/PFKL/H6PD/SDHB/SDHD/PGK1/ALDOC/GPI/ENO2
hsa01230	Biosynthesis of amino acids	47	-0.705252176031938	-2.31693743304902	4.39344765457077e-08	2.72393754583387e-06	2.1581848127716e-06	535	tags=47%, list=12%, signal=42%	PYCR2/SDSL/BCAT2/TPI1/PFKP/PKM/ASNS/GAPDH/ACO2/PGAM1/ASL/IDH2/PYCR1/ACY1/ALDOA/PHGDH/PSAT1/PFKL/ASS1/PGK1/ALDOC/ENO2
hsa00010	Glycolysis / Gluconeogenesis	36	-0.747744802075114	-2.33628861534837	7.63794172327371e-08	3.55164290132227e-06	2.81397852962716e-06	563	tags=53%, list=13%, signal=46%	PGM1/BPGM/ALDH7A1/TPI1/PFKP/PKM/GAPDH/ALDH2/PGAM1/ACSS2/HK1/LDHA/ALDOA/PFKL/PGK1/PCK2/ALDOC/GPI/ENO2
hsa04066	HIF-1 signaling pathway	42	-0.644002843353216	-2.08034289125685	1.3390311295917e-05	0.000498119580208114	0.000394661806616502	401	tags=33%, list=9%, signal=31%	MAP2K1/PFKP/GAPDH/SERPINE1/HK1/LDHA/ALDOA/EGLN1/PFKL/HMOX1/PGK1/ALDOC/ENO2/SLC2A1
hsa04142	Lysosome	64	-0.564308229877471	-1.94820709586263	3.00733930187466e-05	0.000932275183581145	0.000738644740811321	763	tags=42%, list=17%, signal=35%	NCOA7/LIPA/GM2A/GLA/DNASE2/SCARB2/CTSA/CTSL/GNS/CTSH/SGSH/GALNS/AGA/HEXB/CTSC/TPP1/MAN2B1/HEXA/CTSZ/CTSB/NAGA/GUSB/FUCA1/ARSA/GLB1/ARSB/GAA
hsa05168	Herpes simplex virus 1 infection	78	-0.540526980948802	-1.94416373703771	5.70992302952976e-05	0.00151720811927505	0.00120208905884837	417	tags=22%, list=9%, signal=20%	PDIA3/RIGI/HLA-A/TAP1/ITGA5/TRADD/OAS3/ZNF132/TAP2/CYCS/TAPBP/HLA-C/SRSF6/SRSF2/HLA-B/SRSF3/SRSF1
hsa04612	Antigen processing and presentation	30	-0.684789038633117	-2.06333796239794	8.58982261700748e-05	0.00190888012857838	0.00151241209960935	577	tags=50%, list=13%, signal=44%	HSPA5/PSME2/CTSL/HSPA1L/PDIA3/HLA-A/PSME1/TAP1/IFI30/TAP2/TAPBP/HLA-C/CTSB/HSPA2/HLA-B
hsa04110	Cell cycle	54	0.518428949061472	1.94869491637747	9.2365167511857e-05	0.00190888012857838	0.00151241209960935	1207	tags=50%, list=27%, signal=37%	PCNA/CDC20/MCM7/CDK6/CDK1/MCM6/MCM4/CDC26/MCM3/MCM2/MCM5/ANAPC7/PPP2R1B/PPP2R1A/CCNB1/BUB3/PPP2R5E/PPP2R5D/CDCA5/CDK2/CREBBP/YWHAB/ORC3/NDC80/PDS5A/ORC2/MAD1L1
hsa03030	DNA replication	25	0.639163187446506	1.99723641878158	0.000212925630253551	0.00396041672271605	0.00313785139321023	487	tags=48%, list=11%, signal=43%	POLA2/PCNA/RNASEH2C/MCM7/RNASEH2A/MCM6/MCM4/MCM3/MCM2/MCM5/RFC2/RFC4
hsa05169	Epstein-Barr virus infection	80	-0.49935860999133	-1.8108260003391	0.000239159361025978	0.00404396737734836	0.00320404885585043	536	tags=21%, list=12%, signal=19%	CD40/CASP8/PDIA3/RIGI/HLA-A/TAP1/TRADD/OAS3/TAP2/CYCS/NFKB2/NFKBIB/TAPBP/HLA-C/RELB/HLA-B/ICAM1
hsa03040	Spliceosome	91	-0.476146761670719	-1.76237568734231	0.000323059194790302	0.00500741751924968	0.00396739362023178	275	tags=16%, list=6%, signal=16%	CHERP/ACIN1/U2SURP/DDX23/PRPF38A/CCDC12/PRPF40A/WBP11/SNRNP70/TRA2A/SRSF6/SRSF2/ZMAT2/SRSF3/SRSF1
hsa05171	Coronavirus disease - COVID-19	88	0.430696703240123	1.76630437276969	0.00046371140533273	0.00663464010706829	0.00525664750984471	1347	tags=59%, list=30%, signal=42%	RPS5/RPL36/RPL13/RPL4/RPL27A/RPL14/RPL23/RPL17/RPL23A/RPL8/RPL18/RPS21/RPL3/RPL6/RPS29/RPL21/RPL28/FAU/RPL26L1/RPL19/RPL13A/RPL35/RPS10/RPL7/RPS14/RPS4Y1/RPL27/RPS8/RPL24/RPSA/RPL5/RPS24/RPS20/RPL12/PIK3CB/RPLP1/RPL32/RPS23/RPS7/RPS15/RPLP0/RPS4Y2/RPS2/RPL15/RPL11/CHUK/RPL37/RPS9/IKBKG/RPL29/TAB2/RPLP2
hsa00020	Citrate cycle (TCA cycle)	27	-0.665448372530928	-1.95173688840803	0.000564427210608217	0.00749881865522345	0.00594133905903386	340	tags=33%, list=8%, signal=31%	OGDH/SUCLG2/ACO2/IDH2/SDHA/SDHC/SDHB/SDHD/PCK2
hsa05416	Viral myocarditis	22	-0.691067258409126	-1.93675734225578	0.000865355495081042	0.0107304081390049	0.00850173819728743	536	tags=36%, list=12%, signal=32%	CD40/CASP8/HLA-A/CYCS/HLA-C/RAC3/HLA-B/ICAM1
hsa04922	Glucagon signaling pathway	38	-0.590831822363433	-1.86770750279839	0.00113287486230508	0.0131696702742966	0.0104343737317573	406	tags=26%, list=9%, signal=24%	ITPR3/PFKP/PKM/PGAM1/LDHA/PFKL/GYS1/PCK2/SLC2A1/PYGL
hsa03008	Ribosome biogenesis in eukaryotes	56	0.467445787479497	1.77571525206968	0.00129388581835303	0.014156633071392	0.0112163476513576	1353	tags=57%, list=31%, signal=40%	AK6/FBL/NOB1/NVL/RPP30/HEATR1/UTP6/UTP4/UTP14A/EIF6/GTPBP4/EMG1/WDR75/REXO2/WDR43/RPP40/WDR3/RRP7A/CSNK2B/UTP15/NXF1/CSNK2A1/RAN/IMP3/POP4/NOP58/PWP2/GNL3/NOL6/BMS1/XRN2/POP1
hsa03082	ATP-dependent chromatin remodeling	47	0.483042374182248	1.74785624476387	0.00144034077874666	0.0148835213803822	0.0117922636856452	1534	tags=60%, list=35%, signal=39%	ACTR5/H2AC11/RBBP4/RBBP7/H2AX/GATAD2A/MTA2/ACTL6A/GATAD2B/MBD3/ACTG1/SMARCC1/EP400/MTA3/BRD8/TRRAP/BAZ1B/SMARCB1/SS18/BPTF/BAZ2A/MRGBP/ARID2/DPF2/SMARCA1/ARID1B/CHD4/CHRAC1
hsa04650	Natural killer cell mediated cytotoxicity	29	-0.6038535463375	-1.80421248914615	0.00307109220645767	0.0300643763369014	0.0238201057564584	883	tags=41%, list=20%, signal=33%	PPP3CB/SHC1/PPP3CA/PLCG1/TNFRSF10B/MAPK3/MAP2K1/HLA-A/HLA-C/RAC3/HLA-B/ICAM1
hsa04514	Cell adhesion molecules	23	-0.625208109707347	-1.76168955725195	0.00429258221855402	0.0399210146325524	0.0316295531893454	324	tags=52%, list=7%, signal=49%	ALCAM/ITGB1/JAM3/HLA-F/ITGAV/CD40/HLA-A/CD99/CADM1/HLA-C/HLA-B/ICAM1
hsa00330	Arginine and proline metabolism	24	-0.601644305420552	-1.71282050283583	0.00471527588628086	0.0408902242790771	0.0323974612284708	535	tags=33%, list=12%, signal=29%	PYCR2/ALDH7A1/CKMT1A/ALDH2/PYCR1/CKB/P4HA2/P4HA1
hsa04932	Non-alcoholic fatty liver disease	81	-0.439977700950974	-1.60021104465286	0.00483647814053601	0.0408902242790771	0.0323974612284708	584	tags=25%, list=13%, signal=22%	NDUFA11/NDUFS6/NDUFA12/CASP8/NDUFS4/CYC1/NDUFA6/NDUFS1/NDUFV1/NDUFA7/NDUFA2/NDUFA9/NDUFV2/IRS1/CYCS/SDHA/NDUFV3/SDHC/SDHB/SDHD
