Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D1_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D1_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D2_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D2_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D3_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D3_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D4_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D4_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O1_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O1_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O2_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O2_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O3_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O3_2_repeat.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O4_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O4_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y1_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y1_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y2_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y2_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y3_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y3_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y4_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y4_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2A_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2A_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2B_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2B_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2C_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2C_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3A_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3A_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3B_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3B_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3C_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3C_2.mzML.dia
A0A024R1R8	A0A024R1R8	TMA7B_HUMAN	TMA7B	Translation machinery-associated protein 7B	943601	899787	846418	828199	926560	919062	780045	742227	583421	579437	698827	690297	611750	609316	427549	438730			757867	734953			562953	477666	722193	756831	862281	848059	1.01345e+06	927816	784723	814739	736756	745695	688068	785372
A0A024R3Z1	A0A024R3Z1	A0A024R3Z1_HUMAN	MAP2	Microtubule-associated protein	5.69542e+06	5.4787e+06	4.82914e+06	4.54963e+06	4.9807e+06	5.11431e+06	5.95245e+06	5.58994e+06	7.95673e+06	7.56004e+06	4.67969e+06	4.97181e+06	6.04032e+06	6.32523e+06	5.4757e+06	5.75145e+06	6.08708e+06	5.93773e+06	7.43579e+06	7.34189e+06	4.72409e+06	4.7236e+06	5.2007e+06	5.36048e+06	6.36783e+06	6.28041e+06	9.0047e+06	9.60044e+06	3.34562e+06	2.59355e+06	7.95893e+06	8.35142e+06	1.05965e+07	1.04304e+07	1.04262e+07	1.03661e+07
A0A024R4E5	A0A024R4E5	A0A024R4E5_HUMAN	HDLBP	High density lipoprotein binding protein	2.00063e+07	1.95826e+07	2.07675e+07	2.03105e+07	1.82074e+07	1.81392e+07	1.95989e+07	1.97597e+07	2.03052e+07	2.02117e+07	1.8182e+07	1.8252e+07	1.7298e+07	1.72319e+07	1.7558e+07	1.74502e+07	2.13882e+07	2.11297e+07	2.09756e+07	2.08401e+07	2.06826e+07	2.07609e+07	2.00547e+07	1.84132e+07	1.8929e+07	1.89589e+07	1.80755e+07	1.82164e+07	1.84038e+07	1.81083e+07	1.90323e+07	1.89842e+07	1.81403e+07	1.85012e+07	1.93534e+07	1.92392e+07
A0A024R571	A0A024R571	A0A024R571_HUMAN	EHD1	EH domain containing 1	5.39245e+07	5.18754e+07	3.7423e+07	3.51355e+07	3.78433e+07	3.80986e+07	3.08557e+07	3.23582e+07	5.15747e+07	4.85062e+07	2.57547e+07	2.74149e+07	3.96664e+07	3.74776e+07	3.70636e+07	3.37835e+07	4.13573e+07	3.97974e+07	3.98336e+07	3.93302e+07	3.22176e+07	3.2168e+07	3.21292e+07	3.55766e+07	4.25278e+07	4.13729e+07	2.86306e+07	3.11506e+07	5.38147e+07	5.22483e+07	5.04641e+07	4.57476e+07	3.43914e+07	4.00443e+07	6.1305e+07	5.79809e+07
A0A075B768;A0A075B785	A0A075B785;A0A075B768	A0A075B768_HUMAN;A0A075B785_HUMAN	RELCH	RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing (Fragment)	2.79205e+06	2.87204e+06	1.7609e+06	1.60864e+06	1.44017e+06	1.25748e+06	939810	785009	2.14151e+06	1.93387e+06	1.5191e+06	1.40204e+06	833758	783554	530375	487705	2.20221e+06	2.39972e+06	1.47268e+06	1.35084e+06	1.30449e+06	1.13012e+06		1.02164e+06	3.16293e+06	2.97805e+06	1.58574e+06	1.64414e+06	1.15067e+06	1.08428e+06	2.51606e+06	2.38398e+06	1.18305e+06	915192	1.98977e+06	1.82002e+06
A0A087WNT1;A0A087WQE6;A0A8I5KYG1;A0A8J9AD82;E5RHG8	A0A8I5KYG1;A0A8J9AD82;E5RHG8;R4GMY8;A0A087WNT1;A0A087WPE4;A0A087WQE6	A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;A0A8I5KYG1_HUMAN;A0A8J9AD82_HUMAN;E5RHG8_HUMAN	ELOC;Eloc	Elongin-C	2.72576e+06	2.7509e+06	2.7168e+06	2.82756e+06	2.67498e+06	2.70241e+06	2.78313e+06	2.64138e+06	2.65529e+06	2.48636e+06	2.28099e+06	2.41967e+06	2.12774e+06	2.11871e+06	2.1894e+06	2.1996e+06	3.00172e+06	2.98229e+06	2.7458e+06	2.63381e+06	2.79812e+06	2.87876e+06	2.84049e+06	2.24128e+06	1.88315e+06	1.95389e+06	2.06492e+06	2.11441e+06	2.32539e+06	2.41908e+06	2.18014e+06	2.1183e+06	2.43233e+06	2.36138e+06	2.3893e+06	2.04135e+06
A0A087WNU6;A0A087WSF5;G5E8E1	A0A087WNU6;A0A087WSF5;G5E8E1	A0A087WNU6_MOUSE;A0A087WSF5_MOUSE;G5E8E1_MOUSE	Lrrfip1	Leucine rich repeat (in FLII) interacting protein 1 (Fragment)	2.2709e+06	2.18119e+06	2.06588e+06	2.00294e+06	1.73934e+06	1.82772e+06	2.02628e+06	2.17996e+06	2.36143e+06	2.53377e+06	1.93302e+06	2.04049e+06	2.15893e+06	1.94846e+06	1.93266e+06	2.03927e+06	2.1839e+06	2.3636e+06	2.66632e+06	2.7122e+06	1.30157e+06	1.33041e+06	2.27042e+06	1.95185e+06	1.61501e+06	1.40202e+06	1.68164e+06	1.92596e+06	1.56078e+06	1.71216e+06	1.73767e+06	1.80813e+06	1.7186e+06	1.73369e+06	1.66464e+06	1.47643e+06
A0A087WQB0	A0A087WQB0	A0A087WQB0_MOUSE	Morf4l1	Mortality factor 4 like 1	1.2813e+06	1.25416e+06	1.44247e+06	1.37469e+06	1.29758e+06	1.37078e+06	1.35251e+06	1.3532e+06	953804	989493	872607	985725	1.0524e+06	1.03662e+06	1.04581e+06	1.10073e+06	1.03681e+06	1.02682e+06	1.27062e+06	1.22231e+06	1.29913e+06	1.17571e+06	1.21227e+06	1.04703e+06	1.31653e+06	1.23922e+06	1.31461e+06	1.38406e+06	1.18691e+06	1.15676e+06	1.26013e+06	1.27381e+06	1.36938e+06	1.37692e+06	1.2581e+06	1.16554e+06
A0A087WR50	A0A087WR50	A0A087WR50_MOUSE	Fn1	Fibronectin	1.15393e+07	9.1487e+06	1.18633e+07	1.33959e+07	6.05329e+06	6.40574e+06	1.34163e+07	1.35626e+07	1.25087e+07	1.22001e+07	7.31799e+06	8.13659e+06	7.54005e+06	6.17555e+06	6.09373e+06	1.10796e+07	8.2801e+06	8.09239e+06	5.37332e+06	7.35427e+06	8.39907e+06	8.10081e+06	6.91758e+06	1.27643e+07	3.98794e+07	4.02391e+07	5.24085e+07	5.26128e+07	5.24144e+07	5.29012e+07	4.19586e+07	4.23995e+07	3.94907e+07	3.7585e+07	5.85631e+07	5.83394e+07
A0A087WRB4;A0A087WSB0;A0A087WSL5	C9JEV8;C9JQ00;A0A087WRB4;A0A087WSB0;A0A087WSL5	A0A087WRB4_MOUSE;A0A087WSB0_MOUSE;A0A087WSL5_MOUSE	Tuba4a	Tubulin, alpha 4A (Fragment)	6.21029e+06	6.59042e+06	5.69432e+06	5.8617e+06	4.71688e+06	4.84394e+06	6.52183e+06	6.43044e+06	6.20175e+06	6.21782e+06	5.7055e+06	5.81002e+06	7.63863e+06	6.65088e+06	6.73901e+06	6.67585e+06	6.85919e+06	6.84437e+06	7.86885e+06	7.86225e+06	6.39822e+06	6.99306e+06	6.78891e+06	7.20289e+06	1.09743e+07	1.13386e+07	9.05697e+06	9.9787e+06	8.89006e+06	8.94002e+06	7.98084e+06	8.18803e+06	9.32325e+06	9.43136e+06	9.26095e+06	9.43982e+06
