ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	3/6	182/4252	0,00140227801837405	0,111287754478021	0,0805049371600799	SRSF2/SRSF6/SRSF3	3
GO:0000398	mRNA splicing, via spliceosome	3/6	182/4252	0,00140227801837405	0,111287754478021	0,0805049371600799	SRSF2/SRSF6/SRSF3	3
GO:0000375	RNA splicing, via transesterification reactions	3/6	185/4252	0,00147076327503992	0,111287754478021	0,0805049371600799	SRSF2/SRSF6/SRSF3	3
GO:0048024	regulation of mRNA splicing, via spliceosome	2/6	63/4252	0,00311934007615137	0,126853374806684	0,0917650195680166	SRSF6/SRSF3	2
GO:0008380	RNA splicing	3/6	256/4252	0,00376553730296411	0,126853374806684	0,0917650195680166	SRSF2/SRSF6/SRSF3	3
GO:0050684	regulation of mRNA processing	2/6	77/4252	0,00463226581315624	0,126853374806684	0,0917650195680166	SRSF6/SRSF3	2
GO:0006397	mRNA processing	3/6	280/4252	0,00486708274460898	0,126853374806684	0,0917650195680166	SRSF2/SRSF6/SRSF3	3
GO:0043484	regulation of RNA splicing	2/6	93/4252	0,00670445501453549	0,126853374806684	0,0917650195680166	SRSF6/SRSF3	2
GO:0016071	mRNA metabolic process	3/6	385/4252	0,0119683469741983	0,126853374806684	0,0917650195680166	SRSF2/SRSF6/SRSF3	3
GO:0031053	primary miRNA processing	1/6	10/4252	0,0140365060498857	0,126853374806684	0,0917650195680166	SRSF3	1
GO:0031145	anaphase-promoting complex-dependent catabolic process	1/6	10/4252	0,0140365060498857	0,126853374806684	0,0917650195680166	UBE2S	1
GO:0043616	keratinocyte proliferation	1/6	10/4252	0,0140365060498857	0,126853374806684	0,0917650195680166	SRSF6	1
GO:0045616	regulation of keratinocyte differentiation	1/6	11/4252	0,0154310795915406	0,126853374806684	0,0917650195680166	SRSF6	1
GO:0048704	embryonic skeletal system morphogenesis	1/6	11/4252	0,0154310795915406	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0070979	protein K11-linked ubiquitination	1/6	11/4252	0,0154310795915406	0,126853374806684	0,0917650195680166	UBE2S	1
GO:0048706	embryonic skeletal system development	1/6	12/4252	0,0168240089766976	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:1903311	regulation of mRNA metabolic process	2/6	150/4252	0,0168909073796178	0,126853374806684	0,0917650195680166	SRSF6/SRSF3	2
GO:0045604	regulation of epidermal cell differentiation	1/6	13/4252	0,0182152957564478	0,126853374806684	0,0917650195680166	SRSF6	1
GO:0051438	regulation of ubiquitin-protein transferase activity	1/6	13/4252	0,0182152957564478	0,126853374806684	0,0917650195680166	UBE2S	1
GO:0009887	animal organ morphogenesis	2/6	158/4252	0,0186517432115244	0,126853374806684	0,0917650195680166	SRSF6/FLVCR1	2
GO:0010171	body morphogenesis	1/6	14/4252	0,0196049414807841	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0030326	embryonic limb morphogenesis	1/6	14/4252	0,0196049414807841	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0035113	embryonic appendage morphogenesis	1/6	14/4252	0,0196049414807841	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0048025	negative regulation of mRNA splicing, via spliceosome	1/6	14/4252	0,0196049414807841	0,126853374806684	0,0917650195680166	SRSF6	1
GO:0048821	erythrocyte development	1/6	14/4252	0,0196049414807841	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0060428	lung epithelium development	1/6	14/4252	0,0196049414807841	0,126853374806684	0,0917650195680166	SRSF6	1
GO:1904036	negative regulation of epithelial cell apoptotic process	1/6	14/4252	0,0196049414807841	0,126853374806684	0,0917650195680166	SRSF6	1
GO:0006826	iron ion transport	1/6	15/4252	0,0209929476986025	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0014032	neural crest cell development	1/6	15/4252	0,0209929476986025	0,126853374806684	0,0917650195680166	NOLC1	1
GO:0033119	negative regulation of RNA splicing	1/6	15/4252	0,0209929476986025	0,126853374806684	0,0917650195680166	SRSF6	1
GO:0045682	regulation of epidermis development	1/6	15/4252	0,0209929476986025	0,126853374806684	0,0917650195680166	SRSF6	1
GO:0048864	stem cell development	1/6	15/4252	0,0209929476986025	0,126853374806684	0,0917650195680166	NOLC1	1
GO:0050686	negative regulation of mRNA processing	1/6	15/4252	0,0209929476986025	0,126853374806684	0,0917650195680166	SRSF6	1
GO:0043009	chordate embryonic development	2/6	169/4252	0,0211989029477125	0,126853374806684	0,0917650195680166	FLVCR1/NOLC1	2
GO:0006783	heme biosynthetic process	1/6	16/4252	0,0223793159577029	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0014033	neural crest cell differentiation	1/6	16/4252	0,0223793159577029	0,126853374806684	0,0917650195680166	NOLC1	1
GO:0046620	regulation of organ growth	1/6	16/4252	0,0223793159577029	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0060425	lung morphogenesis	1/6	16/4252	0,0223793159577029	0,126853374806684	0,0917650195680166	SRSF6	1
GO:0009792	embryo development ending in birth or egg hatching	2/6	174/4252	0,0224040990301457	0,126853374806684	0,0917650195680166	FLVCR1/NOLC1	2
GO:0006779	porphyrin-containing compound biosynthetic process	1/6	17/4252	0,0237640478047885	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0010458	exit from mitosis	1/6	17/4252	0,0237640478047885	0,126853374806684	0,0917650195680166	UBE2S	1
GO:0033014	tetrapyrrole biosynthetic process	1/6	17/4252	0,0237640478047885	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0006376	mRNA splice site selection	1/6	18/4252	0,0251471447854661	0,126853374806684	0,0917650195680166	SRSF6	1
GO:0035107	appendage morphogenesis	1/6	18/4252	0,0251471447854661	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0035108	limb morphogenesis	1/6	18/4252	0,0251471447854661	0,126853374806684	0,0917650195680166	FLVCR1	1
GO:0046148	pigment biosynthetic process	1/6	19/4252	0,0265286084442493	0,130912915583578	0,0947016685881669	FLVCR1	1
GO:0042168	heme metabolic process	1/6	21/4252	0,0292866419687074	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0006778	porphyrin-containing compound metabolic process	1/6	22/4252	0,0306632149179364	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0019725	cellular homeostasis	2/6	206/4252	0,0307944219263818	0,134537506152429	0,0973236770683	FLVCR1/UBE2S	2
GO:0035196	production of miRNAs involved in gene silencing by miRNA	1/6	23/4252	0,0320381607123792	0,134537506152429	0,0973236770683	SRSF3	1
GO:0033013	tetrapyrrole metabolic process	1/6	24/4252	0,03341148089108	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0042440	pigment metabolic process	1/6	24/4252	0,03341148089108	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0048736	appendage development	1/6	24/4252	0,03341148089108	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0060173	limb development	1/6	24/4252	0,03341148089108	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0061515	myeloid cell development	1/6	24/4252	0,03341148089108	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0006879	cellular iron ion homeostasis	1/6	25/4252	0,0347831769919914	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0000041	transition metal ion transport	1/6	26/4252	0,0361532505519743	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0035265	organ growth	1/6	26/4252	0,0361532505519743	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0048534	hematopoietic or lymphoid organ development	1/6	26/4252	0,0361532505519743	0,134537506152429	0,0973236770683	FLVCR1	1
GO:0048705	skeletal system morphogenesis	1/6	26/4252	0,0361532505519743	0,134537506152429	0,0973236770683	FLVCR1	1
GO:1904035	regulation of epithelial cell apoptotic process	1/6	26/4252	0,0361532505519743	0,134537506152429	0,0973236770683	SRSF6	1
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	1/6	27/4252	0,0375217031067988	0,137377848471667	0,0993783647650359	SRSF6	1
GO:0070534	protein K63-linked ubiquitination	1/6	28/4252	0,0388885361911443	0,140122185958568	0,101363603104737	UBE2S	1
GO:0030856	regulation of epithelial cell differentiation	1/6	29/4252	0,0402537513386	0,142775024279097	0,103282651460882	SRSF6	1
